# generated by .xlsx-source/extract.py from melodydata on 2026-04-19
# schema: melody_id|name|description|notes|partner_notes|turn|value
Graceful Melody|Graceful Melody|Grants the ability to evade all attacks for 1 turn (excluding skills that always hit). <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_SPEED|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|1|0
Mighty Melody|Mighty Melody|Grants Attack Up (L), Defense Up (L), and Dodge Up (L). <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_POWER|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|6|0
Sheltering Melody|Sheltering Melody|Increases all elemental resistances to the maximum. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_TECHNIQUE|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|6|0
Sundering Melody|Sundering Melody|Increases damage dealt to monster parts. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|6|130
Frozen Melody|Frozen Melody|Grants the ability to gain Power Charge when no attack is made. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_TECHNIQUE|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|6|0
Welcoming Melody|Welcoming Melody|Fills the Kinship Gauge. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_SPEED|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|0|50
Blood Moon Melody|Blood Moon Melody|Grants the ability to drain HP relative to damage dealt. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_POWER|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|6|50
Demonic Melody|Demonic Melody|Increases damage dealt to Elder Dragons. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|6|130
Abyssal Melody|Abyssal Melody|Stamina stops being consumed when using Active Skills. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_TECHNIQUE|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|2|0
Fettered Melody|Fettered Melody|Increases damage dealt by Synchro Rush. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_SPEED|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|6|200
Pulsing Melody|Pulsing Melody|Recovers 1 Heart. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_TECHNIQUE|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|0|0
