# generated by .xlsx-source/extract.py from weapondata (hunting-horn) + weaponparam base/max on 2026-04-19
# schema: name|element|skill|wyvernfell|defense|affinity|status|status_rate|melodies|partner_melodies|base_attack|max_attack|max_level|rarity
Blood Horn||HR_005_02 (Lyrical Legato_BREAK_1)|35|0|0||0|MELODY_WEAK_05 (Jolting Melody) MELODY_STRONG_04 (Revitalizing Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|68|148|3|1
Bariguiro||HR_000_00 (Rousing Riff_NONE)|15|0|15||0|MELODY_WEAK_06 (Frigid Melody) MELODY_STRONG_06 (Graceful Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|120|150|3|1
Poetic Bell||HR_006_02 (Soothing Song_HEAL_2)|15|0|10||0|MELODY_WEAK_04 (Torrential Melody) MELODY_STRONG_06 (Graceful Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|76|150|3|1
Rathalos Feroce||PS_074_00 (Hunting Horn Mastery (S))|25|0|0||0|MELODY_WEAK_03 (Blazing Melody) MELODY_STRONG_06 (Graceful Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|132|160|3|1
Emerald Flap||HR_002_01 (Critical Chant_EXTENSION_1)|15|0|20||0|MELODY_WEAK_05 (Jolting Melody) MELODY_STRONG_07 (Mighty Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|102|138|3|1
Duke's Grail||HR_007_02 (Rallying Refrain_SHARPNESS_1)|15|0|0||0|MELODY_WEAK_07 (Wyrmslayer Melody) MELODY_STRONG_12 (Blood Moon Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|138|174|3|1
Golm Drum||PS_075_00 (Mending Musician (S))|35|10|0||0|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_08 (Sheltering Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|84|148|3|1
Icespiel||PS_076_00 (Polychrome Performer (S))|25|0|0||0|MELODY_WEAK_06 (Frigid Melody) MELODY_STRONG_10 (Frozen Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|142|174|3|1
Raven Shamisen||HR_000_02 (Rousing Riff_SHARPNESS_1)|15|0|10||8|MELODY_WEAK_08 (Venomous Melody) MELODY_STRONG_05 (Fleet Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|76|138|3|1
Kut-Ku's Song||HR_015_00 (Magnificent Trio_NONE)|15|0|10||0|MELODY_WEAK_03 (Blazing Melody) MELODY_STRONG_03 (Plucky Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|26|88|3|1
Poisoned Capri||PS_076_00 (Polychrome Performer (S))|35|0|0||12|MELODY_WEAK_11 (Murky Melody) MELODY_STRONG_03 (Plucky Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|24|78|3|1
Dodotto Horn||HR_013_00 (Taunting Tremolo_NONE)|35|0|0||0|MELODY_WEAK_06 (Frigid Melody) MELODY_STRONG_09 (Sundering Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|42|150|3|1
Type 63 Warmonica||PS_074_00 (Hunting Horn Mastery (S))|35|0|20||0|MELODY_WEAK_11 (Murky Melody) MELODY_STRONG_04 (Revitalizing Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|62|134|3|1
Spirit Dragonwood Horn||HR_012_01 (Deceptive Melody_EXTENSION_2)|25|0|0||8|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_13 (Demonic Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|110|170|3|1
Veldian Sibilus||HR_004_00 (Springy Staccato_NONE)|25|0|0||0|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_15 (Fettered Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|140|170|3|1
Ajara Reverberator||HR_015_01 (Magnificent Trio_STRONG_2)|15|0|10||8|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_09 (Sundering Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|74|148|3|1
Rey Perun||PS_076_00 (Polychrome Performer (S))|15|0|0||0|MELODY_WEAK_05 (Jolting Melody) MELODY_STRONG_06 (Graceful Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|116|165|3|1
