# generated by .xlsx-source/extract.py from armorparam on 2026-04-19
# schema: name|armor_id|level|defense|slots|mat1|mat2|mat3
#N/A|Armor_P_001|0|0|0|||0 x9
#N/A|Armor_P_002|0|0|0|||0 x9
#N/A|Armor_P_003|0|0|0|||0 x9
#N/A|Armor_P_004|0|0|0|||0 x9
#N/A|Armor_P_005|0|0|0|||0 x9
#N/A|Armor_P_006|0|0|0|||0 x9
Alloy Armor|Armor_003 (Alloy)|1|50|1|MATERIAL_TYPE_197 (Low-Grade Ore) x8|MATERIAL_TYPE_200 (Crystalline) x10|
Alloy Armor|Armor_003 (Alloy)|2|68|2|MATERIAL_TYPE_198 (High-Grade Ore) x16|MATERIAL_TYPE_199 (Crystal) x15|MATERIAL_TYPE_203 (Armor Sphere) x5
Almudron Armor|Armor_046 (Almudron)|0|68|1|MATERIAL_TYPE_154 (Almudron) x6||
Almudron Armor|Armor_046 (Almudron)|1|100|2|MATERIAL_TYPE_154 (Almudron) x12|MATERIAL_TYPE_109 (Diablos) x6|
Almudron Armor|Armor_046 (Almudron)|2|118|3|MATERIAL_TYPE_154 (Almudron) x20|MATERIAL_TYPE_171 (Lunagaron) x12|MATERIAL_TYPE_203 (Armor Sphere) x8
Anja Armor|Armor_008 (Anja)|0|48|1|MATERIAL_TYPE_159 (Anjanath) x6||
Anja Armor|Armor_008 (Anja)|1|62|2|MATERIAL_TYPE_159 (Anjanath) x12|MATERIAL_TYPE_107 (Gravios) x6|
Anja Armor|Armor_008 (Anja)|2|82|2|MATERIAL_TYPE_159 (Anjanath) x20|MATERIAL_TYPE_139 (Brachydios) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Arkvulcan Armor|Armor_082 (Arkvulcan)|0|136|0|MATERIAL_TYPE_177 (Arkveld) x6||
Arkvulcan Armor|Armor_082 (Arkvulcan)|1|160|0|MATERIAL_TYPE_177 (Arkveld) x10|MATERIAL_TYPE_241 (Invasive Material) x3|
Arkvulcan Armor|Armor_082 (Arkvulcan)|2|170|1|MATERIAL_TYPE_177 (Arkveld) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_203 (Armor Sphere) x10
Artian Armor|Armor_033 (Artian)|0|104|1|MATERIAL_TYPE_215 (Artian Armor) x1|MATERIAL_TYPE_131 (Lagiacrus) x8|
Artian Armor|Armor_033 (Artian)|1|128|1|MATERIAL_TYPE_171 (Lunagaron) x8|MATERIAL_TYPE_197 (Low-Grade Ore) x10|
Artian Armor|Armor_033 (Artian)|2|136|3|MATERIAL_TYPE_171 (Lunagaron) x16|MATERIAL_TYPE_198 (High-Grade Ore) x15|MATERIAL_TYPE_203 (Armor Sphere) x10
Arzuros Armor|Armor_049 (Arzuros)|0|44|1|MATERIAL_TYPE_138 (Arzuros) x10||
Arzuros Armor|Armor_049 (Arzuros)|1|62|1|MATERIAL_TYPE_138 (Arzuros) x15|MATERIAL_TYPE_157 (G.Izuchi) x6|
Arzuros Armor|Armor_049 (Arzuros)|2|82|2|MATERIAL_TYPE_138 (Arzuros) x25|MATERIAL_TYPE_175 (Ajarakan) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Astalos Armor|Armor_059 (Astalos)|0|106|0|MATERIAL_TYPE_144 (Astalos) x6||
Astalos Armor|Armor_059 (Astalos)|1|132|1|MATERIAL_TYPE_144 (Astalos) x12|MATERIAL_TYPE_189 (Dracophage) x8|
Astalos Armor|Armor_059 (Astalos)|2|150|2|MATERIAL_TYPE_144 (Astalos) x20|MATERIAL_TYPE_110 (B.Diablos) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Azure Armor|Armor_064 (Azure)|0|68|0|MATERIAL_TYPE_212 (Azure Armor) x1|MATERIAL_TYPE_202 (High-Grade Bug) x8|
Azure Armor|Armor_064 (Azure)|1|98|0|MATERIAL_TYPE_173 (Espinas) x8|MATERIAL_TYPE_183 (Cephalos) x8|
Azure Armor|Armor_064 (Azure)|2|116|1|MATERIAL_TYPE_173 (Espinas) x16|MATERIAL_TYPE_189 (Dracophage) x10|MATERIAL_TYPE_203 (Armor Sphere) x8
Barioth Armor|Armor_031 (Barioth)|0|128|1|MATERIAL_TYPE_126 (Barioth) x6||
Barioth Armor|Armor_031 (Barioth)|1|138|2|MATERIAL_TYPE_126 (Barioth) x12|MATERIAL_TYPE_171 (Lunagaron) x6|
Barioth Armor|Armor_031 (Barioth)|2|160|3|MATERIAL_TYPE_126 (Barioth) x20|MATERIAL_TYPE_127 (S.Barioth) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Barioth U Armor|Armor_032 (Barioth U)|0|140|1|MATERIAL_TYPE_127 (S.Barioth) x6||
Barioth U Armor|Armor_032 (Barioth U)|1|152|2|MATERIAL_TYPE_127 (S.Barioth) x12|MATERIAL_TYPE_110 (B.Diablos) x6|
Barioth U Armor|Armor_032 (Barioth U)|2|164|2|MATERIAL_TYPE_127 (S.Barioth) x20|MATERIAL_TYPE_241 (Invasive Material) x3|MATERIAL_TYPE_203 (Armor Sphere) x10
Barroth Armor|Armor_006 (Barroth)|0|72|0|MATERIAL_TYPE_129 (Barroth) x10||
Barroth Armor|Armor_006 (Barroth)|1|104|1|MATERIAL_TYPE_129 (Barroth) x15|MATERIAL_TYPE_107 (Gravios) x6|
Barroth Armor|Armor_006 (Barroth)|2|122|2|MATERIAL_TYPE_129 (Barroth) x25|MATERIAL_TYPE_156 (Goss) x12|MATERIAL_TYPE_203 (Armor Sphere) x8
Barroth U Armor|Armor_081 (Barroth U)|0|112|1|MATERIAL_TYPE_130 (J.Barroth) x6||
Barroth U Armor|Armor_081 (Barroth U)|1|136|2|MATERIAL_TYPE_130 (J.Barroth) x12|MATERIAL_TYPE_167 (E.Odogaron) x6|
Barroth U Armor|Armor_081 (Barroth U)|2|154|3|MATERIAL_TYPE_130 (J.Barroth) x20|MATERIAL_TYPE_110 (B.Diablos) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Bishaten Armor|Armor_038 (Bishaten)|0|44|1|MATERIAL_TYPE_147 (Bishaten) x10||
Bishaten Armor|Armor_038 (Bishaten)|1|62|2|MATERIAL_TYPE_147 (Bishaten) x15|MATERIAL_TYPE_159 (Anjanath) x6|
Bishaten Armor|Armor_038 (Bishaten)|2|82|3|MATERIAL_TYPE_147 (Bishaten) x25|MATERIAL_TYPE_166 (Odogaron) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Bishaten U Armor|Armor_039 (Bishaten U)|0|98|1|MATERIAL_TYPE_148 (Orangaten) x6||
Bishaten U Armor|Armor_039 (Bishaten U)|1|118|2|MATERIAL_TYPE_148 (Orangaten) x12|MATERIAL_TYPE_156 (Goss) x6|
Bishaten U Armor|Armor_039 (Bishaten U)|2|138|3|MATERIAL_TYPE_148 (Orangaten) x20|MATERIAL_TYPE_126 (Barioth) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Blango Armor|Armor_068 (Blango)|0|106|1|MATERIAL_TYPE_120 (Blangonga) x10||
Blango Armor|Armor_068 (Blango)|1|132|2|MATERIAL_TYPE_120 (Blangonga) x15|MATERIAL_TYPE_156 (Goss) x6|
Blango Armor|Armor_068 (Blango)|2|138|3|MATERIAL_TYPE_120 (Blangonga) x25|MATERIAL_TYPE_126 (Barioth) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Bnahabra Armor|Armor_048 (Bnahabra)|0|22|0|MATERIAL_TYPE_187 (Bnahabra) x3|MATERIAL_TYPE_201 (Low-Grade Bug) x8|
Bnahabra Armor|Armor_048 (Bnahabra)|1|44|1|MATERIAL_TYPE_187 (Bnahabra) x8|MATERIAL_TYPE_200 (Crystalline) x10|
Bnahabra Armor|Armor_048 (Bnahabra)|2|62|1|MATERIAL_TYPE_187 (Bnahabra) x16|MATERIAL_TYPE_132 (I.Lagiacrus) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Bone Armor|Armor_002 (Bone)|0|20|1|MATERIAL_TYPE_207 (Bone Armor) x1|MATERIAL_TYPE_196 (Brute Bone) x8|
Bone Armor|Armor_002 (Bone)|1|38|1|MATERIAL_TYPE_196 (Brute Bone) x8|MATERIAL_TYPE_185 (Ludroth) x8|
Bone Armor|Armor_002 (Bone)|2|54|2|MATERIAL_TYPE_196 (Brute Bone) x16|MATERIAL_TYPE_182 (Blango) x10|MATERIAL_TYPE_203 (Armor Sphere) x5
Brachydios Armor|Armor_026 (Brachydios)|0|98|0|MATERIAL_TYPE_139 (Brachydios) x6||
Brachydios Armor|Armor_026 (Brachydios)|1|120|1|MATERIAL_TYPE_139 (Brachydios) x10|MATERIAL_TYPE_103 (Rathalos) x6|
Brachydios Armor|Armor_026 (Brachydios)|2|150|2|MATERIAL_TYPE_139 (Brachydios) x18|MATERIAL_TYPE_146 (Magnamalo) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Ceanataur Armor|Armor_057 (Ceanataur)|0|68|1|MATERIAL_TYPE_119 (S.Ceanataur) x10||
Ceanataur Armor|Armor_057 (Ceanataur)|1|100|1|MATERIAL_TYPE_119 (S.Ceanataur) x15|MATERIAL_TYPE_148 (Orangaten) x6|
Ceanataur Armor|Armor_057 (Ceanataur)|2|118|2|MATERIAL_TYPE_119 (S.Ceanataur) x25|MATERIAL_TYPE_171 (Lunagaron) x12|MATERIAL_TYPE_203 (Armor Sphere) x8
Chatacabra Armor|Armor_084 (Chatacabra)|0|26|0|MATERIAL_TYPE_174 (Chatacabra) x6||
Chatacabra Armor|Armor_084 (Chatacabra)|1|44|1|MATERIAL_TYPE_174 (Chatacabra) x15|MATERIAL_TYPE_161 (Pukei) x6|
Chatacabra Armor|Armor_084 (Chatacabra)|2|62|1|MATERIAL_TYPE_174 (Chatacabra) x25|MATERIAL_TYPE_115 (Plesioth) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Damascus Armor|Armor_021 (Damascus)|0|134|1|MATERIAL_TYPE_217 (Damascus Armor) x1|MATERIAL_TYPE_200 (Crystalline) x8|
Damascus Armor|Armor_021 (Damascus)|1|144|1|MATERIAL_TYPE_121 (Yama) x8|MATERIAL_TYPE_123 (B.Tigrex) x8|
Damascus Armor|Armor_021 (Damascus)|2|164|1|MATERIAL_TYPE_121 (Yama) x16|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_203 (Armor Sphere) x10
Death Garon Armor|Armor_016 (Death Garon)|0|124|1|MATERIAL_TYPE_167 (E.Odogaron) x6||
Death Garon Armor|Armor_016 (Death Garon)|1|146|1|MATERIAL_TYPE_167 (E.Odogaron) x10|MATERIAL_TYPE_137 (S.Zinogre) x6|
Death Garon Armor|Armor_016 (Death Garon)|2|164|1|MATERIAL_TYPE_167 (E.Odogaron) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_203 (Armor Sphere) x10
Diablos Armor|Armor_019 (Diablos)|0|100|0|MATERIAL_TYPE_109 (Diablos) x6||
Diablos Armor|Armor_019 (Diablos)|1|120|0|MATERIAL_TYPE_109 (Diablos) x12|MATERIAL_TYPE_167 (E.Odogaron) x6|
Diablos Armor|Armor_019 (Diablos)|2|140|1|MATERIAL_TYPE_109 (Diablos) x20|MATERIAL_TYPE_110 (B.Diablos) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Diablos Nero Armor|Armor_020 (Diablos Nero)|0|116|1|MATERIAL_TYPE_110 (B.Diablos) x6||
Diablos Nero Armor|Armor_020 (Diablos Nero)|1|132|1|MATERIAL_TYPE_110 (B.Diablos) x10|MATERIAL_TYPE_160 (F.Anjanath) x6|
Diablos Nero Armor|Armor_020 (Diablos Nero)|2|162|2|MATERIAL_TYPE_110 (B.Diablos) x18|MATERIAL_TYPE_127 (S.Barioth) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Edel Armor|Armor_056 (Edel)|0|42|1|MATERIAL_TYPE_210 (Edel Armor) x1|MATERIAL_TYPE_201 (Low-Grade Bug) x8|
Edel Armor|Armor_056 (Edel)|1|60|2|MATERIAL_TYPE_133 (R.Ludroth) x8|MATERIAL_TYPE_178 (Slagtoth) x8|
Edel Armor|Armor_056 (Edel)|2|82|3|MATERIAL_TYPE_133 (R.Ludroth) x16|MATERIAL_TYPE_184 (Remobra) x10|MATERIAL_TYPE_203 (Armor Sphere) x5
Espinas Armor|Armor_063 (Espinas)|0|98|0|MATERIAL_TYPE_173 (Espinas) x6||
Espinas Armor|Armor_063 (Espinas)|1|132|1|MATERIAL_TYPE_173 (Espinas) x10|MATERIAL_TYPE_126 (Barioth) x6|
Espinas Armor|Armor_063 (Espinas)|2|150|2|MATERIAL_TYPE_173 (Espinas) x18|MATERIAL_TYPE_137 (S.Zinogre) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Fulgur Anja Armor|Armor_009 (Fulgur Anja)|0|118|0|MATERIAL_TYPE_160 (F.Anjanath) x6||
Fulgur Anja Armor|Armor_009 (Fulgur Anja)|1|132|0|MATERIAL_TYPE_160 (F.Anjanath) x12|MATERIAL_TYPE_144 (Astalos) x6|
Fulgur Anja Armor|Armor_009 (Fulgur Anja)|2|150|1|MATERIAL_TYPE_160 (F.Anjanath) x20|MATERIAL_TYPE_104 (A.Rathalos) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Garuga Armor|Armor_036 (Garuga)|0|78|0|MATERIAL_TYPE_118 (Garuga) x6||
Garuga Armor|Armor_036 (Garuga)|1|106|1|MATERIAL_TYPE_118 (Garuga) x12|MATERIAL_TYPE_165 (Legiana) x6|
Garuga Armor|Armor_036 (Garuga)|2|132|2|MATERIAL_TYPE_118 (Garuga) x20|MATERIAL_TYPE_142 (Seregios) x12|MATERIAL_TYPE_203 (Armor Sphere) x8
Glavenus Armor|Armor_025 (Glavenus)|0|96|0|MATERIAL_TYPE_143 (Glavenus) x6||
Glavenus Armor|Armor_025 (Glavenus)|1|130|2|MATERIAL_TYPE_143 (Glavenus) x12|MATERIAL_TYPE_160 (F.Anjanath) x6|
Glavenus Armor|Armor_025 (Glavenus)|2|148|3|MATERIAL_TYPE_143 (Glavenus) x20|MATERIAL_TYPE_104 (A.Rathalos) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Golm Armor|Armor_062 (Golm)|0|82|2|MATERIAL_TYPE_172 (Garangolm) x6||
Golm Armor|Armor_062 (Golm)|1|110|3|MATERIAL_TYPE_172 (Garangolm) x12|MATERIAL_TYPE_120 (Blangonga) x6|
Golm Armor|Armor_062 (Golm)|2|134|3|MATERIAL_TYPE_172 (Garangolm) x20|MATERIAL_TYPE_167 (E.Odogaron) x12|MATERIAL_TYPE_203 (Armor Sphere) x8
Goss Harag Armor|Armor_045 (Goss Harag)|0|108|0|MATERIAL_TYPE_156 (Goss) x6||
Goss Harag Armor|Armor_045 (Goss Harag)|1|140|2|MATERIAL_TYPE_156 (Goss) x12|MATERIAL_TYPE_170 (Malzeno) x6|
Goss Harag Armor|Armor_045 (Goss Harag)|2|164|3|MATERIAL_TYPE_156 (Goss) x20|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_203 (Armor Sphere) x10
Gravios Armor|Armor_079 (Gravios)|0|104|0|MATERIAL_TYPE_107 (Gravios) x6||
Gravios Armor|Armor_079 (Gravios)|1|124|1|MATERIAL_TYPE_107 (Gravios) x12|MATERIAL_TYPE_160 (F.Anjanath) x6|
Gravios Armor|Armor_079 (Gravios)|2|144|2|MATERIAL_TYPE_107 (Gravios) x20|MATERIAL_TYPE_103 (Rathalos) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Gravios U Armor|Armor_080 (Gravios U)|0|120|1|MATERIAL_TYPE_108 (B.Gravios) x6||
Gravios U Armor|Armor_080 (Gravios U)|1|136|1|MATERIAL_TYPE_108 (B.Gravios) x10|MATERIAL_TYPE_167 (E.Odogaron) x6|
Gravios U Armor|Armor_080 (Gravios U)|2|170|2|MATERIAL_TYPE_108 (B.Gravios) x18|MATERIAL_TYPE_104 (A.Rathalos) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Guardian Armor|Armor_065 (Guardian)|0|68|1|MATERIAL_TYPE_213 (Guardian Armor) x1|MATERIAL_TYPE_200 (Crystalline) x8|
Guardian Armor|Armor_065 (Guardian)|1|98|2|MATERIAL_TYPE_166 (Odogaron) x8|MATERIAL_TYPE_198 (High-Grade Ore) x10|
Guardian Armor|Armor_065 (Guardian)|2|116|3|MATERIAL_TYPE_122 (Tigrex) x16|MATERIAL_TYPE_198 (High-Grade Ore) x15|MATERIAL_TYPE_203 (Armor Sphere) x8
Gypceros Armor|Armor_073 (Gypceros)|0|26|0|MATERIAL_TYPE_113 (Gypceros) x6||
Gypceros Armor|Armor_073 (Gypceros)|1|44|1|MATERIAL_TYPE_113 (Gypceros) x15|MATERIAL_TYPE_200 (Crystalline) x10|
Gypceros Armor|Armor_073 (Gypceros)|2|62|2|MATERIAL_TYPE_113 (Gypceros) x25|MATERIAL_TYPE_132 (I.Lagiacrus) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Gypceros U Armor|Armor_074 (Gypceros U)|0|36|0|MATERIAL_TYPE_114 (P.Gypceros) x6||
Gypceros U Armor|Armor_074 (Gypceros U)|1|54|0|MATERIAL_TYPE_114 (P.Gypceros) x15|MATERIAL_TYPE_105 (Khezu) x6|
Gypceros U Armor|Armor_074 (Gypceros U)|2|68|1|MATERIAL_TYPE_114 (P.Gypceros) x25|MATERIAL_TYPE_106 (R.Khezu) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
High Metal Armor|Armor_013 (High Metal)|0|106|2|MATERIAL_TYPE_216 (High Metal Armor) x1|MATERIAL_TYPE_199 (Crystal) x8|
High Metal Armor|Armor_013 (High Metal)|1|130|2|MATERIAL_TYPE_122 (Tigrex) x8|MATERIAL_TYPE_200 (Crystalline) x10|
High Metal Armor|Armor_013 (High Metal)|2|138|3|MATERIAL_TYPE_122 (Tigrex) x16|MATERIAL_TYPE_198 (High-Grade Ore) x15|MATERIAL_TYPE_203 (Armor Sphere) x10
Hunter Armor|Armor_001 (Hunter)|0|20|1|MATERIAL_TYPE_206 (Hunter Armor) x1|MATERIAL_TYPE_199 (Crystal) x8|
Hunter Armor|Armor_001 (Hunter)|1|38|1|MATERIAL_TYPE_197 (Low-Grade Ore) x8|MATERIAL_TYPE_187 (Bnahabra) x8|
Hunter Armor|Armor_001 (Hunter)|2|54|2|MATERIAL_TYPE_197 (Low-Grade Ore) x16|MATERIAL_TYPE_179 (Gargwa) x10|MATERIAL_TYPE_203 (Armor Sphere) x5
Izuchi Armor|Armor_047 (Izuchi)|0|44|0|MATERIAL_TYPE_157 (G.Izuchi) x10||
Izuchi Armor|Armor_047 (Izuchi)|1|62|0|MATERIAL_TYPE_157 (G.Izuchi) x15|MATERIAL_TYPE_147 (Bishaten) x6|
Izuchi Armor|Armor_047 (Izuchi)|2|82|1|MATERIAL_TYPE_157 (G.Izuchi) x25|MATERIAL_TYPE_162 (Kulu) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Kadachi Armor|Armor_007 (Kadachi)|0|38|0|MATERIAL_TYPE_163 (Tobi) x6||
Kadachi Armor|Armor_007 (Kadachi)|1|52|1|MATERIAL_TYPE_163 (Tobi) x15|MATERIAL_TYPE_147 (Bishaten) x6|
Kadachi Armor|Armor_007 (Kadachi)|2|64|2|MATERIAL_TYPE_163 (Tobi) x25|MATERIAL_TYPE_175 (Ajarakan) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Khezu Armor|Armor_053 (Khezu)|0|54|0|MATERIAL_TYPE_105 (Khezu) x10||
Khezu Armor|Armor_053 (Khezu)|1|68|1|MATERIAL_TYPE_105 (Khezu) x15|MATERIAL_TYPE_135 (Nibelsnarf) x6|
Khezu Armor|Armor_053 (Khezu)|2|100|1|MATERIAL_TYPE_105 (Khezu) x25|MATERIAL_TYPE_107 (Gravios) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Khezu U Armor|Armor_054 (Khezu U)|0|62|1|MATERIAL_TYPE_106 (R.Khezu) x6||
Khezu U Armor|Armor_054 (Khezu U)|1|82|2|MATERIAL_TYPE_106 (R.Khezu) x12|MATERIAL_TYPE_166 (Odogaron) x6|
Khezu U Armor|Armor_054 (Khezu U)|2|108|3|MATERIAL_TYPE_106 (R.Khezu) x20|MATERIAL_TYPE_160 (F.Anjanath) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Kululu Armor|Armor_004 (Kululu)|0|68|1|MATERIAL_TYPE_162 (Kulu) x10||
Kululu Armor|Armor_004 (Kululu)|1|100|2|MATERIAL_TYPE_162 (Kulu) x15|MATERIAL_TYPE_143 (Glavenus) x6|
Kululu Armor|Armor_004 (Kululu)|2|118|3|MATERIAL_TYPE_162 (Kulu) x25|MATERIAL_TYPE_176 (Rey Dau) x12|MATERIAL_TYPE_203 (Armor Sphere) x8
Kut-Ku Armor|Armor_071 (Kut-Ku)|0|26|1|MATERIAL_TYPE_111 (Kut-Ku) x6||
Kut-Ku Armor|Armor_071 (Kut-Ku)|1|44|1|MATERIAL_TYPE_111 (Kut-Ku) x15|MATERIAL_TYPE_138 (Arzuros) x6|
Kut-Ku Armor|Armor_071 (Kut-Ku)|2|62|2|MATERIAL_TYPE_111 (Kut-Ku) x25|MATERIAL_TYPE_149 (Aknosom) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Kut-Ku U Armor|Armor_072 (Kut-Ku U)|0|36|0|MATERIAL_TYPE_112 (B.Kut-Ku) x6||
Kut-Ku U Armor|Armor_072 (Kut-Ku U)|1|54|1|MATERIAL_TYPE_112 (B.Kut-Ku) x15|MATERIAL_TYPE_149 (Aknosom) x6|
Kut-Ku U Armor|Armor_072 (Kut-Ku U)|2|68|2|MATERIAL_TYPE_112 (B.Kut-Ku) x25|MATERIAL_TYPE_118 (Garuga) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Lagiacrus Armor|Armor_077 (Lagiacrus)|0|48|0|MATERIAL_TYPE_131 (Lagiacrus) x6||
Lagiacrus Armor|Armor_077 (Lagiacrus)|1|70|0|MATERIAL_TYPE_131 (Lagiacrus) x12|MATERIAL_TYPE_119 (S.Ceanataur) x6|
Lagiacrus Armor|Armor_077 (Lagiacrus)|2|110|1|MATERIAL_TYPE_131 (Lagiacrus) x20|MATERIAL_TYPE_130 (J.Barroth) x12|MATERIAL_TYPE_203 (Armor Sphere) x8
Lagiacrus U Armor|Armor_078 (Lagiacrus U)|0|58|0|MATERIAL_TYPE_132 (I.Lagiacrus) x6||
Lagiacrus U Armor|Armor_078 (Lagiacrus U)|1|120|1|MATERIAL_TYPE_132 (I.Lagiacrus) x10|MATERIAL_TYPE_160 (F.Anjanath) x6|
Lagiacrus U Armor|Armor_078 (Lagiacrus U)|2|150|2|MATERIAL_TYPE_132 (I.Lagiacrus) x18|MATERIAL_TYPE_144 (Astalos) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Leather Armor|Armor_000 (Leather)|0|20|1|MATERIAL_TYPE_208 (Leather Armor) x1|MATERIAL_TYPE_197 (Low-Grade Ore) x8|
Leather Armor|Armor_000 (Leather)|1|38|1|MATERIAL_TYPE_181 (Velociprey) x8|MATERIAL_TYPE_201 (Low-Grade Bug) x10|
Leather Armor|Armor_000 (Leather)|2|54|2|MATERIAL_TYPE_181 (Velociprey) x16|MATERIAL_TYPE_178 (Slagtoth) x10|MATERIAL_TYPE_203 (Armor Sphere) x5
Legiana Armor|Armor_014 (Legiana)|0|118|0|MATERIAL_TYPE_165 (Legiana) x6||
Legiana Armor|Armor_014 (Legiana)|1|138|1|MATERIAL_TYPE_165 (Legiana) x12|MATERIAL_TYPE_126 (Barioth) x6|
Legiana Armor|Armor_014 (Legiana)|2|160|2|MATERIAL_TYPE_165 (Legiana) x20|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_203 (Armor Sphere) x10
Ludroth Armor|Armor_050 (Ludroth)|0|26|1|MATERIAL_TYPE_133 (R.Ludroth) x6||
Ludroth Armor|Armor_050 (Ludroth)|1|44|1|MATERIAL_TYPE_133 (R.Ludroth) x15|MATERIAL_TYPE_150 (Tetranadon) x6|
Ludroth Armor|Armor_050 (Ludroth)|2|62|2|MATERIAL_TYPE_133 (R.Ludroth) x25|MATERIAL_TYPE_152 (A.Somnacanth) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Ludroth U Armor|Armor_051 (Ludroth U)|0|60|0|MATERIAL_TYPE_134 (P.Ludroth) x10||
Ludroth U Armor|Armor_051 (Ludroth U)|1|82|1|MATERIAL_TYPE_134 (P.Ludroth) x15|MATERIAL_TYPE_172 (Garangolm) x6|
Ludroth U Armor|Armor_051 (Ludroth U)|2|108|2|MATERIAL_TYPE_134 (P.Ludroth) x25|MATERIAL_TYPE_130 (J.Barroth) x12|MATERIAL_TYPE_203 (Armor Sphere) x8
Lumu Armor|Armor_012 (Lumu)|0|26|0|MATERIAL_TYPE_164 (Paolumu) x6||
Lumu Armor|Armor_012 (Lumu)|1|44|1|MATERIAL_TYPE_164 (Paolumu) x15|MATERIAL_TYPE_157 (G.Izuchi) x6|
Lumu Armor|Armor_012 (Lumu)|2|62|1|MATERIAL_TYPE_164 (Paolumu) x25|MATERIAL_TYPE_149 (Aknosom) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Lunagaron Armor|Armor_061 (Lunagaron)|0|112|1|MATERIAL_TYPE_171 (Lunagaron) x6||
Lunagaron Armor|Armor_061 (Lunagaron)|1|144|1|MATERIAL_TYPE_171 (Lunagaron) x12|MATERIAL_TYPE_123 (B.Tigrex) x6|
