# generated by .xlsx-source/extract.py from nesttabledata on 2026-04-19
# schema: area|nest_type|nest_rarity|begin_story_flag|end_story_flag|nest_env_type|enemy_appearance_rate|enemy_wakeup_rate|enemy_list|fes_rate|egg_fes_rate|pop_fes_rate|cat_fes_rate
A001|RETURNING|RARE|M_1F0|INVALID|nt100|100|0|RETURN_EM|100|100|0|0
A001|PREDATOR|SUPERRARE|M_1F0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
A002|RANDOM|NORMAL|M_1F0|INVALID|nt100|30|10|LOT_LIST_03|30|50|30|20
A002|RANDOM|RARE|M_1F0|INVALID|nt100|50|30|LOT_LIST_03|20|40|40|20
A002|RANDOM|SUPERRARE|M_1F0|INVALID|nt100|70|50|LOT_LIST_03|10|20|50|30
A002|RETURNING|RARE|M_1F0|INVALID|nt100|100|0|RETURN_EM|100|100|0|0
A002|PREDATOR|SUPERRARE|M_1F0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
A003|RANDOM|NORMAL|M_1F0|INVALID|nt100|30|10|LOT_LIST_04|15|50|30|20
A003|RANDOM|RARE|M_1F0|INVALID|nt100|50|30|LOT_LIST_04|10|40|40|20
A003|RANDOM|SUPERRARE|M_1F0|INVALID|nt100|70|50|LOT_LIST_04|5|20|50|30
A003|RETURNING|RARE|M_1F0|INVALID|nt100|100|0|RETURN_EM|100|100|0|0
A003|PREDATOR|SUPERRARE|M_1F0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
B000|RANDOM|NORMAL|CHARA_MAKE|M_2C0|nt101|10|0|LOT_LIST_05|15|50|30|20
B000|RANDOM|RARE|CHARA_MAKE|M_2C0|nt101|20|10|LOT_LIST_05|10|40|40|20
B000|RANDOM|SUPERRARE|CHARA_MAKE|M_2C0|nt101|30|20|LOT_LIST_05|5|20|50|30
B000|RETURNING|RARE|CHARA_MAKE|M_2C0|nt101|100|0|RETURN_EM|100|100|0|0
B000|PREDATOR|SUPERRARE|CHARA_MAKE|M_2C0|nt108|100|0|RETURN_EM|0|0|0|0
B001|RANDOM|NORMAL|CHARA_MAKE|M_2C0|nt101|10|0|LOT_LIST_06|15|50|30|20
B001|RANDOM|RARE|CHARA_MAKE|M_2C0|nt101|20|10|LOT_LIST_06|10|40|40|20
B001|RANDOM|SUPERRARE|CHARA_MAKE|M_2C0|nt101|30|20|LOT_LIST_06|5|20|50|30
B001|RETURNING|RARE|CHARA_MAKE|M_2C0|nt101|100|0|RETURN_EM|100|100|0|0
B001|PREDATOR|SUPERRARE|CHARA_MAKE|M_2C0|nt108|100|0|RETURN_EM|0|0|0|0
B002|RANDOM|NORMAL|CHARA_MAKE|M_2C0|nt101|10|0|LOT_LIST_07|15|50|30|20
B002|RANDOM|RARE|CHARA_MAKE|M_2C0|nt101|20|10|LOT_LIST_07|10|40|40|20
B002|RANDOM|SUPERRARE|CHARA_MAKE|M_2C0|nt101|30|20|LOT_LIST_07|5|20|50|30
B002|RETURNING|RARE|CHARA_MAKE|M_2C0|nt101|100|0|RETURN_EM|100|100|0|0
B002|PREDATOR|SUPERRARE|CHARA_MAKE|M_2C0|nt108|100|0|RETURN_EM|0|0|0|0
B003|RANDOM|NORMAL|CHARA_MAKE|M_2C0|nt101|10|0|LOT_LIST_08|15|50|30|20
B003|RANDOM|RARE|CHARA_MAKE|M_2C0|nt101|20|10|LOT_LIST_08|10|40|40|20
B003|RANDOM|SUPERRARE|CHARA_MAKE|M_2C0|nt101|30|20|LOT_LIST_08|5|20|50|30
B003|RETURNING|RARE|CHARA_MAKE|M_2C0|nt101|100|0|RETURN_EM|100|100|0|0
B003|PREDATOR|SUPERRARE|CHARA_MAKE|M_2C0|nt108|100|0|RETURN_EM|0|0|0|0
B004|RANDOM|NORMAL|CHARA_MAKE|M_2C0|nt101|10|0|LOT_LIST_09|30|50|30|20
B004|RANDOM|RARE|CHARA_MAKE|M_2C0|nt101|20|10|LOT_LIST_09|20|40|40|20
B004|RANDOM|SUPERRARE|CHARA_MAKE|M_2C0|nt101|30|20|LOT_LIST_09|10|20|50|30
B004|RETURNING|RARE|CHARA_MAKE|M_2C0|nt101|100|0|RETURN_EM|100|100|0|0
B004|PREDATOR|SUPERRARE|CHARA_MAKE|M_2C0|nt108|100|0|RETURN_EM|0|0|0|0
B000|RANDOM|NORMAL|M_2C0|INVALID|nt101|30|10|LOT_LIST_05|30|50|30|20
B000|RANDOM|RARE|M_2C0|INVALID|nt101|50|30|LOT_LIST_05|20|40|40|20
B000|RANDOM|SUPERRARE|M_2C0|INVALID|nt101|70|50|LOT_LIST_05|10|20|50|30
B000|RETURNING|RARE|M_2C0|INVALID|nt101|100|0|RETURN_EM|100|100|0|0
B000|PREDATOR|SUPERRARE|M_2C0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
B001|RANDOM|NORMAL|M_2C0|INVALID|nt101|30|10|LOT_LIST_06|30|50|30|20
B001|RANDOM|RARE|M_2C0|INVALID|nt101|50|30|LOT_LIST_06|20|40|40|20
B001|RANDOM|SUPERRARE|M_2C0|INVALID|nt101|70|50|LOT_LIST_06|10|20|50|30
B001|RETURNING|RARE|M_2C0|INVALID|nt101|100|0|RETURN_EM|100|100|0|0
B001|PREDATOR|SUPERRARE|M_2C0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
B002|RANDOM|NORMAL|M_2C0|INVALID|nt101|30|10|LOT_LIST_07|30|50|30|20
B002|RANDOM|RARE|M_2C0|INVALID|nt101|50|30|LOT_LIST_07|20|40|40|20
B002|RANDOM|SUPERRARE|M_2C0|INVALID|nt101|70|50|LOT_LIST_07|10|20|50|30
B002|RETURNING|RARE|M_2C0|INVALID|nt101|100|0|RETURN_EM|100|100|0|0
B002|PREDATOR|SUPERRARE|M_2C0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
B003|RANDOM|NORMAL|M_2C0|INVALID|nt101|30|10|LOT_LIST_08|30|50|30|20
B003|RANDOM|RARE|M_2C0|INVALID|nt101|50|30|LOT_LIST_08|20|40|40|20
B003|RANDOM|SUPERRARE|M_2C0|INVALID|nt101|70|50|LOT_LIST_08|10|20|50|30
B003|RETURNING|RARE|M_2C0|INVALID|nt101|100|0|RETURN_EM|100|100|0|0
B003|PREDATOR|SUPERRARE|M_2C0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
B004|RANDOM|NORMAL|M_2C0|INVALID|nt101|30|10|LOT_LIST_09|30|50|30|20
B004|RANDOM|RARE|M_2C0|INVALID|nt101|50|30|LOT_LIST_09|20|40|40|20
B004|RANDOM|SUPERRARE|M_2C0|INVALID|nt101|70|50|LOT_LIST_09|10|20|50|30
B004|RETURNING|RARE|M_2C0|INVALID|nt101|100|0|RETURN_EM|100|100|0|0
B004|PREDATOR|SUPERRARE|M_2C0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
C000|RANDOM|NORMAL|CHARA_MAKE|M_3C0|nt106|10|0|LOT_LIST_10|15|50|30|20
C000|RANDOM|RARE|CHARA_MAKE|M_3C0|nt106|20|10|LOT_LIST_10|10|40|40|20
C000|RANDOM|SUPERRARE|CHARA_MAKE|M_3C0|nt106|30|20|LOT_LIST_10|5|20|50|30
C000|RETURNING|RARE|CHARA_MAKE|M_3C0|nt106|100|0|RETURN_EM|100|100|0|0
C000|PREDATOR|SUPERRARE|CHARA_MAKE|M_3C0|nt108|100|0|RETURN_EM|0|0|0|0
C002|RANDOM|NORMAL|CHARA_MAKE|M_3C0|nt106|10|0|LOT_LIST_12|15|50|30|20
C002|RANDOM|RARE|CHARA_MAKE|M_3C0|nt106|20|10|LOT_LIST_12|10|40|40|20
C002|RANDOM|SUPERRARE|CHARA_MAKE|M_3C0|nt106|30|20|LOT_LIST_12|5|20|50|30
C002|RETURNING|RARE|CHARA_MAKE|M_3C0|nt106|100|0|RETURN_EM|100|100|0|0
C002|PREDATOR|SUPERRARE|CHARA_MAKE|M_3C0|nt108|100|0|RETURN_EM|0|0|0|0
C001|RANDOM|NORMAL|CHARA_MAKE|M_3C0|nt106|10|0|LOT_LIST_11|15|50|30|20
C001|RANDOM|RARE|CHARA_MAKE|M_3C0|nt106|20|10|LOT_LIST_11|10|40|40|20
C001|RANDOM|SUPERRARE|CHARA_MAKE|M_3C0|nt106|30|20|LOT_LIST_11|5|20|50|30
C001|RETURNING|RARE|CHARA_MAKE|M_3C0|nt106|100|0|RETURN_EM|100|100|0|0
C001|PREDATOR|SUPERRARE|CHARA_MAKE|M_3C0|nt108|100|0|RETURN_EM|0|0|0|0
C003|RANDOM|NORMAL|CHARA_MAKE|M_3C0|nt106|10|0|LOT_LIST_13|15|50|30|20
C003|RANDOM|RARE|CHARA_MAKE|M_3C0|nt106|20|10|LOT_LIST_13|10|40|40|20
C003|RANDOM|SUPERRARE|CHARA_MAKE|M_3C0|nt106|30|20|LOT_LIST_13|5|20|50|30
C003|RETURNING|RARE|CHARA_MAKE|M_3C0|nt106|100|0|RETURN_EM|100|100|0|0
C003|PREDATOR|SUPERRARE|CHARA_MAKE|M_3C0|nt108|100|0|RETURN_EM|0|0|0|0
C000|RANDOM|NORMAL|M_3C0|INVALID|nt106|30|10|LOT_LIST_10|30|50|30|20
C000|RANDOM|RARE|M_3C0|INVALID|nt106|50|30|LOT_LIST_10|20|40|40|20
C000|RANDOM|SUPERRARE|M_3C0|INVALID|nt106|70|50|LOT_LIST_10|10|20|50|30
C000|RETURNING|RARE|M_3C0|INVALID|nt106|100|0|RETURN_EM|100|100|0|0
C000|PREDATOR|SUPERRARE|M_3C0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
C002|RANDOM|NORMAL|M_3C0|INVALID|nt106|30|10|LOT_LIST_12|30|50|30|20
C002|RANDOM|RARE|M_3C0|INVALID|nt106|50|30|LOT_LIST_12|20|40|40|20
C002|RANDOM|SUPERRARE|M_3C0|INVALID|nt106|70|50|LOT_LIST_12|10|20|50|30
C002|RETURNING|RARE|M_3C0|INVALID|nt106|100|0|RETURN_EM|100|100|0|0
C002|PREDATOR|SUPERRARE|M_3C0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
C001|RANDOM|NORMAL|M_3C0|INVALID|nt106|30|10|LOT_LIST_11|30|50|30|20
C001|RANDOM|RARE|M_3C0|INVALID|nt106|50|30|LOT_LIST_11|20|40|40|20
C001|RANDOM|SUPERRARE|M_3C0|INVALID|nt106|70|50|LOT_LIST_11|10|20|50|30
C001|RETURNING|RARE|M_3C0|INVALID|nt106|100|0|RETURN_EM|100|100|0|0
C001|PREDATOR|SUPERRARE|M_3C0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
C003|RANDOM|NORMAL|M_3C0|INVALID|nt104|30|10|LOT_LIST_13|30|50|30|20
C003|RANDOM|RARE|M_3C0|INVALID|nt104|50|30|LOT_LIST_13|20|40|40|20
C003|RANDOM|SUPERRARE|M_3C0|INVALID|nt104|70|50|LOT_LIST_13|10|20|50|30
C003|RETURNING|RARE|M_3C0|INVALID|nt104|100|0|RETURN_EM|100|100|0|0
C003|PREDATOR|SUPERRARE|M_3C0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
D000|RANDOM|NORMAL|CHARA_MAKE|M_4B0|nt105|10|0|LOT_LIST_14|15|50|30|20
D000|RANDOM|RARE|CHARA_MAKE|M_4B0|nt105|20|10|LOT_LIST_14|10|40|40|20
D000|RANDOM|SUPERRARE|CHARA_MAKE|M_4B0|nt105|30|20|LOT_LIST_14|5|20|50|30
D000|RETURNING|RARE|CHARA_MAKE|M_4B0|nt105|100|0|RETURN_EM|100|100|0|0
D000|PREDATOR|SUPERRARE|CHARA_MAKE|M_4B0|nt108|100|0|RETURN_EM|0|0|0|0
D001|RANDOM|NORMAL|CHARA_MAKE|M_4B0|nt105|10|0|LOT_LIST_15|15|50|30|20
D001|RANDOM|RARE|CHARA_MAKE|M_4B0|nt105|20|10|LOT_LIST_15|10|40|40|20
D001|RANDOM|SUPERRARE|CHARA_MAKE|M_4B0|nt105|30|20|LOT_LIST_15|5|20|50|30
D001|RETURNING|RARE|CHARA_MAKE|M_4B0|nt105|100|0|RETURN_EM|100|100|0|0
D001|PREDATOR|SUPERRARE|CHARA_MAKE|M_4B0|nt108|100|0|RETURN_EM|0|0|0|0
D002|RANDOM|NORMAL|CHARA_MAKE|M_4B0|nt105|10|0|LOT_LIST_16|15|50|30|20
D002|RANDOM|RARE|CHARA_MAKE|M_4B0|nt105|20|10|LOT_LIST_16|10|40|40|20
D002|RANDOM|SUPERRARE|CHARA_MAKE|M_4B0|nt105|30|20|LOT_LIST_16|5|20|50|30
D002|RETURNING|RARE|CHARA_MAKE|M_4B0|nt105|100|0|RETURN_EM|100|100|0|0
D002|PREDATOR|SUPERRARE|CHARA_MAKE|M_4B0|nt108|100|0|RETURN_EM|0|0|0|0
D000|RANDOM|NORMAL|M_4B0|INVALID|nt105|30|10|LOT_LIST_14|30|50|30|20
D000|RANDOM|RARE|M_4B0|INVALID|nt105|50|30|LOT_LIST_14|20|40|40|20
D000|RANDOM|SUPERRARE|M_4B0|INVALID|nt105|70|50|LOT_LIST_14|10|20|50|30
D000|RETURNING|RARE|M_4B0|INVALID|nt105|100|0|RETURN_EM|100|100|0|0
D000|PREDATOR|SUPERRARE|M_4B0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
D001|RANDOM|NORMAL|M_4B0|INVALID|nt105|30|10|LOT_LIST_15|30|50|30|20
D001|RANDOM|RARE|M_4B0|INVALID|nt105|50|30|LOT_LIST_15|20|40|40|20
D001|RANDOM|SUPERRARE|M_4B0|INVALID|nt105|70|50|LOT_LIST_15|10|20|50|30
D001|RETURNING|RARE|M_4B0|INVALID|nt105|100|0|RETURN_EM|100|100|0|0
D001|PREDATOR|SUPERRARE|M_4B0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
D002|RANDOM|NORMAL|M_4B0|INVALID|nt105|30|10|LOT_LIST_16|30|50|30|20
D002|RANDOM|RARE|M_4B0|INVALID|nt105|50|30|LOT_LIST_16|20|40|40|20
D002|RANDOM|SUPERRARE|M_4B0|INVALID|nt105|70|50|LOT_LIST_16|10|20|50|30
D002|RETURNING|RARE|M_4B0|INVALID|nt105|100|0|RETURN_EM|100|100|0|0
D002|PREDATOR|SUPERRARE|M_4B0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
