# generated by .xlsx-source/extract.py from weaponparam (hammer) on 2026-04-19
# schema: name|weapon_id|level|attack|slots|mat1|mat2|mat3
Calamitous Portent|Hammer_015 (Calamitous Portent)|2|128|2|MATERIAL_TYPE_184 (Remobra) x12|MATERIAL_TYPE_127 (S.Barioth) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Ceanataur Head Axe|Hammer_018 (Ceanataur Head Axe)|0|74|1|MATERIAL_TYPE_180 (Ceanataur) x10|MATERIAL_TYPE_195 (Monster Bone) x8|
Ceanataur Head Axe|Hammer_018 (Ceanataur Head Axe)|1|118|1|MATERIAL_TYPE_119 (S.Ceanataur) x15|MATERIAL_TYPE_173 (Espinas) x6|
Ceanataur Head Axe|Hammer_018 (Ceanataur Head Axe)|2|148|2|MATERIAL_TYPE_119 (S.Ceanataur) x25|MATERIAL_TYPE_127 (S.Barioth) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Chata Clobberer|Hammer_035 (Chata Clobberer)|0|28|1|MATERIAL_TYPE_174 (Chatacabra) x6||
Chata Clobberer|Hammer_035 (Chata Clobberer)|1|52|1|MATERIAL_TYPE_174 (Chatacabra) x15|MATERIAL_TYPE_161 (Pukei) x6|
Chata Clobberer|Hammer_035 (Chata Clobberer)|2|100|2|MATERIAL_TYPE_174 (Chatacabra) x25|MATERIAL_TYPE_116 (G.Plesioth) x12|MATERIAL_TYPE_204 (Weapon Sphere) x3
Cluster Hammer|Hammer_030 (Cluster Hammer)|0|36|1|MATERIAL_TYPE_140 (Nerscylla) x6||
Cluster Hammer|Hammer_030 (Cluster Hammer)|1|65|2|MATERIAL_TYPE_140 (Nerscylla) x15|MATERIAL_TYPE_119 (S.Ceanataur) x6|
Cluster Hammer|Hammer_030 (Cluster Hammer)|2|135|2|MATERIAL_TYPE_140 (Nerscylla) x25|MATERIAL_TYPE_146 (Magnamalo) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Conehead Hammer|Hammer_029 (Conehead Hammer)|0|42|0|MATERIAL_TYPE_182 (Blango) x10|MATERIAL_TYPE_196 (Brute Bone) x8|
Conehead Hammer|Hammer_029 (Conehead Hammer)|1|106|0|MATERIAL_TYPE_120 (Blangonga) x15|MATERIAL_TYPE_130 (J.Barroth) x6|
Conehead Hammer|Hammer_029 (Conehead Hammer)|2|150|1|MATERIAL_TYPE_120 (Blangonga) x25|MATERIAL_TYPE_170 (Malzeno) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Devil's Due|Hammer_001 (Devil's Due)|0|142|0|MATERIAL_TYPE_128 (Deviljho) x6||
Devil's Due|Hammer_001 (Devil's Due)|1|154|0|MATERIAL_TYPE_128 (Deviljho) x10|MATERIAL_TYPE_241 (Invasive Material) x3|
Devil's Due|Hammer_001 (Devil's Due)|2|164|1|MATERIAL_TYPE_128 (Deviljho) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Diablos Hammer|Hammer_017 (Diablos Hammer)|0|98|0|MATERIAL_TYPE_109 (Diablos) x6||
Diablos Hammer|Hammer_017 (Diablos Hammer)|1|132|0|MATERIAL_TYPE_109 (Diablos) x12|MATERIAL_TYPE_167 (E.Odogaron) x6|
Diablos Hammer|Hammer_017 (Diablos Hammer)|2|160|1|MATERIAL_TYPE_109 (Diablos) x20|MATERIAL_TYPE_137 (S.Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Dios Tailhammer|Hammer_002 (Dios Tailhammer)|0|80|0|MATERIAL_TYPE_139 (Brachydios) x6||
Dios Tailhammer|Hammer_002 (Dios Tailhammer)|1|120|1|MATERIAL_TYPE_139 (Brachydios) x10|MATERIAL_TYPE_122 (Tigrex) x6|
Dios Tailhammer|Hammer_002 (Dios Tailhammer)|2|140|1|MATERIAL_TYPE_139 (Brachydios) x18|MATERIAL_TYPE_146 (Magnamalo) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Duke Smiter|Hammer_021 (Duke Smiter)|0|138|1|MATERIAL_TYPE_170 (Malzeno) x6||
Duke Smiter|Hammer_021 (Duke Smiter)|1|162|1|MATERIAL_TYPE_170 (Malzeno) x10|MATERIAL_TYPE_128 (Deviljho) x6|
Duke Smiter|Hammer_021 (Duke Smiter)|2|174|2|MATERIAL_TYPE_170 (Malzeno) x18|MATERIAL_TYPE_194 (Elder Dragon Blood) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Emerald Beater|Hammer_020 (Emerald Beater)|0|102|0|MATERIAL_TYPE_144 (Astalos) x6||
Emerald Beater|Hammer_020 (Emerald Beater)|1|118|0|MATERIAL_TYPE_144 (Astalos) x12|MATERIAL_TYPE_103 (Rathalos) x6|
Emerald Beater|Hammer_020 (Emerald Beater)|2|138|1|MATERIAL_TYPE_144 (Astalos) x20|MATERIAL_TYPE_137 (S.Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Five-Pronged Hammer|Hammer_005 (Five-Pronged Hammer)|0|46|1|MATERIAL_TYPE_147 (Bishaten) x10||
Five-Pronged Hammer|Hammer_005 (Five-Pronged Hammer)|1|80|2|MATERIAL_TYPE_147 (Bishaten) x15|MATERIAL_TYPE_159 (Anjanath) x6|
Five-Pronged Hammer|Hammer_005 (Five-Pronged Hammer)|2|126|2|MATERIAL_TYPE_147 (Bishaten) x25|MATERIAL_TYPE_120 (Blangonga) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Frilled Blow|Hammer_006 (Frilled Blow)|0|40|0|MATERIAL_TYPE_151 (Somnacanth) x6||
Frilled Blow|Hammer_006 (Frilled Blow)|1|102|1|MATERIAL_TYPE_151 (Somnacanth) x12|MATERIAL_TYPE_145 (Mizutsune) x6|
Frilled Blow|Hammer_006 (Frilled Blow)|2|128|1|MATERIAL_TYPE_151 (Somnacanth) x20|MATERIAL_TYPE_156 (Goss) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Frozen Core|Hammer_000 (Frozen Core)|0|68|1|MATERIAL_TYPE_229 (Frozen Core) x1|MATERIAL_TYPE_200 (Crystalline) x8|
Frozen Core|Hammer_000 (Frozen Core)|1|107|2|MATERIAL_TYPE_198 (High-Grade Ore) x8|MATERIAL_TYPE_199 (Crystal) x10|
Frozen Core|Hammer_000 (Frozen Core)|2|136|3|MATERIAL_TYPE_198 (High-Grade Ore) x12|MATERIAL_TYPE_130 (J.Barroth) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Golm Gavel|Hammer_023 (Golm Gavel)|0|72|2|MATERIAL_TYPE_172 (Garangolm) x6||
Golm Gavel|Hammer_023 (Golm Gavel)|1|102|2|MATERIAL_TYPE_172 (Garangolm) x12|MATERIAL_TYPE_143 (Glavenus) x6|
Golm Gavel|Hammer_023 (Golm Gavel)|2|148|3|MATERIAL_TYPE_172 (Garangolm) x20|MATERIAL_TYPE_146 (Magnamalo) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Graceful Death|Hammer_013 (Graceful Death)|0|58|2|MATERIAL_TYPE_230 (Graceful Death) x1|MATERIAL_TYPE_195 (Monster Bone) x8|
Graceful Death|Hammer_013 (Graceful Death)|1|126|2|MATERIAL_TYPE_118 (Garuga) x8|MATERIAL_TYPE_189 (Dracophage) x8|
Graceful Death|Hammer_013 (Graceful Death)|2|144|3|MATERIAL_TYPE_118 (Garuga) x12|MATERIAL_TYPE_167 (E.Odogaron) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Gunhammer Prototype|Hammer_011 (Gunhammer Prototype)|0|48|3|MATERIAL_TYPE_228 (Gunhammer Prototype) x1|MATERIAL_TYPE_197 (Low-Grade Ore) x8|
Gunhammer Prototype|Hammer_011 (Gunhammer Prototype)|1|72|3|MATERIAL_TYPE_198 (High-Grade Ore) x8|MATERIAL_TYPE_199 (Crystal) x10|
Gunhammer Prototype|Hammer_011 (Gunhammer Prototype)|2|138|3|MATERIAL_TYPE_198 (High-Grade Ore) x12|MATERIAL_TYPE_103 (Rathalos) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Hammer of Winter Moon|Hammer_022 (Hammer of Winter Moon)|0|128|1|MATERIAL_TYPE_171 (Lunagaron) x6||
Hammer of Winter Moon|Hammer_022 (Hammer of Winter Moon)|1|150|2|MATERIAL_TYPE_171 (Lunagaron) x12|MATERIAL_TYPE_123 (B.Tigrex) x6|
Hammer of Winter Moon|Hammer_022 (Hammer of Winter Moon)|2|164|2|MATERIAL_TYPE_171 (Lunagaron) x20|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Kulu Beak|Hammer_004 (Kulu Beak)|0|62|0|MATERIAL_TYPE_162 (Kulu) x10||
Kulu Beak|Hammer_004 (Kulu Beak)|1|106|1|MATERIAL_TYPE_162 (Kulu) x15|MATERIAL_TYPE_176 (Rey Dau) x6|
Kulu Beak|Hammer_004 (Kulu Beak)|2|132|2|MATERIAL_TYPE_162 (Kulu) x25|MATERIAL_TYPE_127 (S.Barioth) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Kut-Ku Pick|Hammer_025 (Kut-Ku Pick)|0|26|1|MATERIAL_TYPE_111 (Kut-Ku) x6||
Kut-Ku Pick|Hammer_025 (Kut-Ku Pick)|1|46|2|MATERIAL_TYPE_111 (Kut-Ku) x15|MATERIAL_TYPE_149 (Aknosom) x6|
Kut-Ku Pick|Hammer_025 (Kut-Ku Pick)|2|76|2|MATERIAL_TYPE_111 (Kut-Ku) x25|MATERIAL_TYPE_153 (Rakna) x12|MATERIAL_TYPE_204 (Weapon Sphere) x3
Ludroth Splashhammer|Hammer_014 (Ludroth Splashhammer)|0|32|1|MATERIAL_TYPE_185 (Ludroth) x10|MATERIAL_TYPE_195 (Monster Bone) x8|
Ludroth Splashhammer|Hammer_014 (Ludroth Splashhammer)|1|42|1|MATERIAL_TYPE_133 (R.Ludroth) x15|MATERIAL_TYPE_151 (Somnacanth) x6|
Ludroth Splashhammer|Hammer_014 (Ludroth Splashhammer)|2|132|2|MATERIAL_TYPE_133 (R.Ludroth) x25|MATERIAL_TYPE_156 (Goss) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Matraca Hammer|Hammer_019 (Matraca Hammer)|0|120|1|MATERIAL_TYPE_142 (Seregios) x6||
Matraca Hammer|Hammer_019 (Matraca Hammer)|1|130|1|MATERIAL_TYPE_142 (Seregios) x10|MATERIAL_TYPE_125 (G.Nargacuga) x6|
Matraca Hammer|Hammer_019 (Matraca Hammer)|2|140|1|MATERIAL_TYPE_142 (Seregios) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Plesioth Head|Hammer_026 (Plesioth Head)|0|48|1|MATERIAL_TYPE_115 (Plesioth) x6||
Plesioth Head|Hammer_026 (Plesioth Head)|1|80|1|MATERIAL_TYPE_115 (Plesioth) x12|MATERIAL_TYPE_154 (Almudron) x6|
Plesioth Head|Hammer_026 (Plesioth Head)|2|160|2|MATERIAL_TYPE_115 (Plesioth) x20|MATERIAL_TYPE_170 (Malzeno) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Rosenhammer|Hammer_024 (Rosenhammer)|0|76|1|MATERIAL_TYPE_173 (Espinas) x6||
Rosenhammer|Hammer_024 (Rosenhammer)|1|102|1|MATERIAL_TYPE_173 (Espinas) x10|MATERIAL_TYPE_139 (Brachydios) x6|
Rosenhammer|Hammer_024 (Rosenhammer)|2|148|2|MATERIAL_TYPE_173 (Espinas) x18|MATERIAL_TYPE_137 (S.Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Scorching Isshata|Hammer_003 (Scorching Isshata)|0|116|0|MATERIAL_TYPE_143 (Glavenus) x6||
Scorching Isshata|Hammer_003 (Scorching Isshata)|1|150|1|MATERIAL_TYPE_143 (Glavenus) x12|MATERIAL_TYPE_104 (A.Rathalos) x6|
Scorching Isshata|Hammer_003 (Scorching Isshata)|2|164|2|MATERIAL_TYPE_143 (Glavenus) x20|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Shell Hammer|Hammer_027 (Shell Hammer)|0|96|0|MATERIAL_TYPE_107 (Gravios) x6||
Shell Hammer|Hammer_027 (Shell Hammer)|1|124|0|MATERIAL_TYPE_107 (Gravios) x12|MATERIAL_TYPE_160 (F.Anjanath) x6|
Shell Hammer|Hammer_027 (Shell Hammer)|2|156|1|MATERIAL_TYPE_107 (Gravios) x20|MATERIAL_TYPE_104 (A.Rathalos) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Sinister Hammer|Hammer_007 (Sinister Hammer)|0|142|1|MATERIAL_TYPE_146 (Magnamalo) x6||
Sinister Hammer|Hammer_007 (Sinister Hammer)|1|150|2|MATERIAL_TYPE_146 (Magnamalo) x10|MATERIAL_TYPE_108 (B.Gravios) x6|
Sinister Hammer|Hammer_007 (Sinister Hammer)|2|160|3|MATERIAL_TYPE_146 (Magnamalo) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Type 42 Shellbuster|Hammer_031 (Type 42 Shellbuster)|0|62|1|MATERIAL_TYPE_135 (Nibelsnarf) x6||
Type 42 Shellbuster|Hammer_031 (Type 42 Shellbuster)|1|98|1|MATERIAL_TYPE_135 (Nibelsnarf) x12|MATERIAL_TYPE_109 (Diablos) x6|
Type 42 Shellbuster|Hammer_031 (Type 42 Shellbuster)|2|130|2|MATERIAL_TYPE_135 (Nibelsnarf) x20|MATERIAL_TYPE_142 (Seregios) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Usurper's Thunder|Hammer_016 (Usurper's Thunder)|0|120|0|MATERIAL_TYPE_136 (Zinogre) x6||
Usurper's Thunder|Hammer_016 (Usurper's Thunder)|1|132|0|MATERIAL_TYPE_136 (Zinogre) x12|MATERIAL_TYPE_160 (F.Anjanath) x6|
Usurper's Thunder|Hammer_016 (Usurper's Thunder)|2|160|1|MATERIAL_TYPE_136 (Zinogre) x20|MATERIAL_TYPE_241 (Invasive Material) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Veldian Malleus|Hammer_034 (Veldian Malleus)|0|140|1|MATERIAL_TYPE_177 (Arkveld) x6||
Veldian Malleus|Hammer_034 (Veldian Malleus)|1|160|2|MATERIAL_TYPE_177 (Arkveld) x10|MATERIAL_TYPE_241 (Invasive Material) x3|
Veldian Malleus|Hammer_034 (Veldian Malleus)|2|170|3|MATERIAL_TYPE_177 (Arkveld) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Venom Monster|Hammer_028 (Venom Monster)|0|24|0|MATERIAL_TYPE_113 (Gypceros) x6||
Venom Monster|Hammer_028 (Venom Monster)|1|48|1|MATERIAL_TYPE_113 (Gypceros) x15|MATERIAL_TYPE_105 (Khezu) x6|
Venom Monster|Hammer_028 (Venom Monster)|2|78|1|MATERIAL_TYPE_113 (Gypceros) x25|MATERIAL_TYPE_154 (Almudron) x12|MATERIAL_TYPE_204 (Weapon Sphere) x3
Vortex Hammer|Hammer_033 (Vortex Hammer)|0|52|1|MATERIAL_TYPE_131 (Lagiacrus) x6||
Vortex Hammer|Hammer_033 (Vortex Hammer)|1|108|1|MATERIAL_TYPE_131 (Lagiacrus) x12|MATERIAL_TYPE_148 (Orangaten) x6|
Vortex Hammer|Hammer_033 (Vortex Hammer)|2|150|2|MATERIAL_TYPE_131 (Lagiacrus) x20|MATERIAL_TYPE_137 (S.Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Yeti Hammer|Hammer_008 (Yeti Hammer)|0|120|0|MATERIAL_TYPE_156 (Goss) x6||
Yeti Hammer|Hammer_008 (Yeti Hammer)|1|140|0|MATERIAL_TYPE_156 (Goss) x12|MATERIAL_TYPE_170 (Malzeno) x6|
Yeti Hammer|Hammer_008 (Yeti Hammer)|2|154|1|MATERIAL_TYPE_156 (Goss) x20|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
