# generated by .xlsx-source/extract.py from weaponparam (great-sword) on 2026-04-19
# schema: name|weapon_id|level|attack|slots|mat1|mat2|mat3
Carapace Sword|GreatSword_014 (Carapace Sword)|0|64|0|MATERIAL_TYPE_129 (Barroth) x10||
Carapace Sword|GreatSword_014 (Carapace Sword)|1|105|0|MATERIAL_TYPE_129 (Barroth) x15|MATERIAL_TYPE_120 (Blangonga) x6|
Carapace Sword|GreatSword_014 (Carapace Sword)|2|134|1|MATERIAL_TYPE_129 (Barroth) x25|MATERIAL_TYPE_167 (E.Odogaron) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Cat's Soul|GreatSword_013 (Cat's Soul)|0|40|1|MATERIAL_TYPE_219 (Cat's Soul) x1|MATERIAL_TYPE_188 (Pawprint Stamp) x4|
Cat's Soul|GreatSword_013 (Cat's Soul)|1|74|1|MATERIAL_TYPE_188 (Pawprint Stamp) x5|MATERIAL_TYPE_184 (Remobra) x8|
Cat's Soul|GreatSword_013 (Cat's Soul)|2|142|1|MATERIAL_TYPE_188 (Pawprint Stamp) x8|MATERIAL_TYPE_177 (Arkveld) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Ceanataur Blade|GreatSword_018 (Ceanataur Blade)|0|74|1|MATERIAL_TYPE_180 (Ceanataur) x10|MATERIAL_TYPE_195 (Monster Bone) x8|
Ceanataur Blade|GreatSword_018 (Ceanataur Blade)|1|118|1|MATERIAL_TYPE_119 (S.Ceanataur) x15|MATERIAL_TYPE_173 (Espinas) x6|
Ceanataur Blade|GreatSword_018 (Ceanataur Blade)|2|148|2|MATERIAL_TYPE_119 (S.Ceanataur) x25|MATERIAL_TYPE_127 (S.Barioth) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Cheda Blade|GreatSword_019 (Cheda Blade)|0|120|1|MATERIAL_TYPE_142 (Seregios) x6||
Cheda Blade|GreatSword_019 (Cheda Blade)|1|130|1|MATERIAL_TYPE_142 (Seregios) x10|MATERIAL_TYPE_125 (G.Nargacuga) x6|
Cheda Blade|GreatSword_019 (Cheda Blade)|2|140|1|MATERIAL_TYPE_142 (Seregios) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Chicken Decapitator|GreatSword_030 (Chicken Decapitator)|0|30|1|MATERIAL_TYPE_111 (Kut-Ku) x6||
Chicken Decapitator|GreatSword_030 (Chicken Decapitator)|1|60|2|MATERIAL_TYPE_111 (Kut-Ku) x15|MATERIAL_TYPE_149 (Aknosom) x6|
Chicken Decapitator|GreatSword_030 (Chicken Decapitator)|2|88|2|MATERIAL_TYPE_111 (Kut-Ku) x25|MATERIAL_TYPE_153 (Rakna) x12|MATERIAL_TYPE_204 (Weapon Sphere) x3
Chrome Razor|GreatSword_003 (Chrome Razor)|0|100|1|MATERIAL_TYPE_220 (Chrome Razor) x1|MATERIAL_TYPE_198 (High-Grade Ore) x8|
Chrome Razor|GreatSword_003 (Chrome Razor)|1|126|2|MATERIAL_TYPE_198 (High-Grade Ore) x8|MATERIAL_TYPE_177 (Arkveld) x8|
Chrome Razor|GreatSword_003 (Chrome Razor)|2|145|2|MATERIAL_TYPE_198 (High-Grade Ore) x16|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Donnerzahn|GreatSword_029 (Donnerzahn)|0|110|0|MATERIAL_TYPE_160 (F.Anjanath) x6||
Donnerzahn|GreatSword_029 (Donnerzahn)|1|120|1|MATERIAL_TYPE_160 (F.Anjanath) x12|MATERIAL_TYPE_144 (Astalos) x6|
Donnerzahn|GreatSword_029 (Donnerzahn)|2|140|2|MATERIAL_TYPE_160 (F.Anjanath) x20|MATERIAL_TYPE_136 (Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Epitaph Blade|GreatSword_023 (Epitaph Blade)|0|50|0|MATERIAL_TYPE_222 (Epitaph Blade) x1|MATERIAL_TYPE_199 (Crystal) x8|
Epitaph Blade|GreatSword_023 (Epitaph Blade)|1|120|0|MATERIAL_TYPE_198 (High-Grade Ore) x8|MATERIAL_TYPE_156 (Goss) x6|
Epitaph Blade|GreatSword_023 (Epitaph Blade)|2|136|0|MATERIAL_TYPE_198 (High-Grade Ore) x16|MATERIAL_TYPE_108 (B.Gravios) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Flammenzahn|GreatSword_028 (Flammenzahn)|0|52|0|MATERIAL_TYPE_159 (Anjanath) x6||
Flammenzahn|GreatSword_028 (Flammenzahn)|1|62|1|MATERIAL_TYPE_159 (Anjanath) x12|MATERIAL_TYPE_149 (Aknosom) x6|
Flammenzahn|GreatSword_028 (Flammenzahn)|2|136|1|MATERIAL_TYPE_159 (Anjanath) x20|MATERIAL_TYPE_108 (B.Gravios) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Frozen Speartuna|GreatSword_012 (Frozen Speartuna)|0|36|3|MATERIAL_TYPE_221 (Frozen Speartuna) x1|MATERIAL_TYPE_240 (Speartuna) x4|
Frozen Speartuna|GreatSword_012 (Frozen Speartuna)|1|56|3|MATERIAL_TYPE_240 (Speartuna) x5|MATERIAL_TYPE_115 (Plesioth) x8|
Frozen Speartuna|GreatSword_012 (Frozen Speartuna)|2|72|3|MATERIAL_TYPE_240 (Speartuna) x8|MATERIAL_TYPE_119 (S.Ceanataur) x12|MATERIAL_TYPE_204 (Weapon Sphere) x3
Golm Blade|GreatSword_021 (Golm Blade)|0|84|2|MATERIAL_TYPE_172 (Garangolm) x6||
Golm Blade|GreatSword_021 (Golm Blade)|1|102|2|MATERIAL_TYPE_172 (Garangolm) x12|MATERIAL_TYPE_143 (Glavenus) x6|
Golm Blade|GreatSword_021 (Golm Blade)|2|148|3|MATERIAL_TYPE_172 (Garangolm) x20|MATERIAL_TYPE_123 (B.Tigrex) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Gossblade|GreatSword_009 (Gossblade)|0|120|0|MATERIAL_TYPE_156 (Goss) x6||
Gossblade|GreatSword_009 (Gossblade)|1|140|0|MATERIAL_TYPE_156 (Goss) x12|MATERIAL_TYPE_170 (Malzeno) x6|
Gossblade|GreatSword_009 (Gossblade)|2|154|1|MATERIAL_TYPE_156 (Goss) x20|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Hanayako Yohino|GreatSword_017 (Hanayako Yohino)|0|76|0|MATERIAL_TYPE_145 (Mizutsune) x6||
Hanayako Yohino|GreatSword_017 (Hanayako Yohino)|1|124|1|MATERIAL_TYPE_145 (Mizutsune) x12|MATERIAL_TYPE_124 (Nargacuga) x6|
Hanayako Yohino|GreatSword_017 (Hanayako Yohino)|2|150|2|MATERIAL_TYPE_145 (Mizutsune) x20|MATERIAL_TYPE_241 (Invasive Material) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Iron Sword|GreatSword_011 (Iron Sword)|0|20|0|MATERIAL_TYPE_218 (Iron Sword) x1|MATERIAL_TYPE_197 (Low-Grade Ore) x8|
Iron Sword|GreatSword_011 (Iron Sword)|1|34|1|MATERIAL_TYPE_197 (Low-Grade Ore) x8|MATERIAL_TYPE_199 (Crystal) x10|
Iron Sword|GreatSword_011 (Iron Sword)|2|72|2|MATERIAL_TYPE_197 (Low-Grade Ore) x16|MATERIAL_TYPE_180 (Ceanataur) x10|MATERIAL_TYPE_204 (Weapon Sphere) x3
Izuchi Blade|GreatSword_005 (Izuchi Blade)|0|36|1|MATERIAL_TYPE_192 (Izuchi) x10|MATERIAL_TYPE_196 (Brute Bone) x8|
Izuchi Blade|GreatSword_005 (Izuchi Blade)|1|72|1|MATERIAL_TYPE_157 (G.Izuchi) x15|MATERIAL_TYPE_162 (Kulu) x6|
Izuchi Blade|GreatSword_005 (Izuchi Blade)|2|102|2|MATERIAL_TYPE_157 (G.Izuchi) x25|MATERIAL_TYPE_143 (Glavenus) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Khezu Shock Sword|GreatSword_015 (Khezu Shock Sword)|0|50|1|MATERIAL_TYPE_105 (Khezu) x10||
Khezu Shock Sword|GreatSword_015 (Khezu Shock Sword)|1|68|2|MATERIAL_TYPE_105 (Khezu) x15|MATERIAL_TYPE_135 (Nibelsnarf) x6|
Khezu Shock Sword|GreatSword_015 (Khezu Shock Sword)|2|134|2|MATERIAL_TYPE_105 (Khezu) x25|MATERIAL_TYPE_137 (S.Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Lagiacrus Blade|GreatSword_026 (Lagiacrus Blade)|0|52|1|MATERIAL_TYPE_131 (Lagiacrus) x6||
Lagiacrus Blade|GreatSword_026 (Lagiacrus Blade)|1|108|1|MATERIAL_TYPE_131 (Lagiacrus) x12|MATERIAL_TYPE_148 (Orangaten) x6|
Lagiacrus Blade|GreatSword_026 (Lagiacrus Blade)|2|160|2|MATERIAL_TYPE_131 (Lagiacrus) x20|MATERIAL_TYPE_137 (S.Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Rathalos Firesword|GreatSword_000 (Rathalos Firesword)|0|132|0|MATERIAL_TYPE_103 (Rathalos) x6||
Rathalos Firesword|GreatSword_000 (Rathalos Firesword)|1|144|0|MATERIAL_TYPE_103 (Rathalos) x12|MATERIAL_TYPE_108 (B.Gravios) x6|
Rathalos Firesword|GreatSword_000 (Rathalos Firesword)|2|160|1|MATERIAL_TYPE_103 (Rathalos) x20|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Rosenbrett|GreatSword_022 (Rosenbrett)|0|76|1|MATERIAL_TYPE_173 (Espinas) x6||
Rosenbrett|GreatSword_022 (Rosenbrett)|1|102|1|MATERIAL_TYPE_173 (Espinas) x10|MATERIAL_TYPE_141 (S.Nerscylla) x6|
Rosenbrett|GreatSword_022 (Rosenbrett)|2|148|2|MATERIAL_TYPE_173 (Espinas) x18|MATERIAL_TYPE_137 (S.Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Scorching Blazer|GreatSword_004 (Scorching Blazer)|0|116|0|MATERIAL_TYPE_143 (Glavenus) x6||
Scorching Blazer|GreatSword_004 (Scorching Blazer)|1|150|1|MATERIAL_TYPE_143 (Glavenus) x12|MATERIAL_TYPE_104 (A.Rathalos) x6|
Scorching Blazer|GreatSword_004 (Scorching Blazer)|2|164|2|MATERIAL_TYPE_143 (Glavenus) x20|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Scylla Blade|GreatSword_025 (Scylla Blade)|0|36|1|MATERIAL_TYPE_140 (Nerscylla) x6||
Scylla Blade|GreatSword_025 (Scylla Blade)|1|65|2|MATERIAL_TYPE_140 (Nerscylla) x15|MATERIAL_TYPE_119 (S.Ceanataur) x6|
Scylla Blade|GreatSword_025 (Scylla Blade)|2|135|2|MATERIAL_TYPE_140 (Nerscylla) x25|MATERIAL_TYPE_125 (G.Nargacuga) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Sentoryu Raven|GreatSword_031 (Sentoryu Raven)|0|76|0|MATERIAL_TYPE_118 (Garuga) x6||
Sentoryu Raven|GreatSword_031 (Sentoryu Raven)|1|102|1|MATERIAL_TYPE_118 (Garuga) x12|MATERIAL_TYPE_109 (Diablos) x6|
Sentoryu Raven|GreatSword_031 (Sentoryu Raven)|2|138|1|MATERIAL_TYPE_118 (Garuga) x20|MATERIAL_TYPE_110 (B.Diablos) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Sinister Blade|GreatSword_008 (Sinister Blade)|0|142|1|MATERIAL_TYPE_146 (Magnamalo) x6||
Sinister Blade|GreatSword_008 (Sinister Blade)|1|150|2|MATERIAL_TYPE_146 (Magnamalo) x10|MATERIAL_TYPE_108 (B.Gravios) x6|
Sinister Blade|GreatSword_008 (Sinister Blade)|2|160|3|MATERIAL_TYPE_146 (Magnamalo) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Sword of Winter Moon|GreatSword_020 (Sword of Winter Moon)|0|128|1|MATERIAL_TYPE_171 (Lunagaron) x6||
Sword of Winter Moon|GreatSword_020 (Sword of Winter Moon)|1|150|2|MATERIAL_TYPE_171 (Lunagaron) x12|MATERIAL_TYPE_123 (B.Tigrex) x6|
Sword of Winter Moon|GreatSword_020 (Sword of Winter Moon)|2|164|2|MATERIAL_TYPE_171 (Lunagaron) x20|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Tetranadon Edge|GreatSword_007 (Tetranadon Edge)|0|42|1|MATERIAL_TYPE_150 (Tetranadon) x10||
Tetranadon Edge|GreatSword_007 (Tetranadon Edge)|1|100|1|MATERIAL_TYPE_150 (Tetranadon) x15|MATERIAL_TYPE_116 (G.Plesioth) x6|
Tetranadon Edge|GreatSword_007 (Tetranadon Edge)|2|136|2|MATERIAL_TYPE_150 (Tetranadon) x25|MATERIAL_TYPE_110 (B.Diablos) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Tiger Jawblade|GreatSword_002 (Tiger Jawblade)|0|105|0|MATERIAL_TYPE_122 (Tigrex) x6||
Tiger Jawblade|GreatSword_002 (Tiger Jawblade)|1|120|0|MATERIAL_TYPE_122 (Tigrex) x12|MATERIAL_TYPE_167 (E.Odogaron) x6|
Tiger Jawblade|GreatSword_002 (Tiger Jawblade)|2|154|1|MATERIAL_TYPE_122 (Tigrex) x20|MATERIAL_TYPE_241 (Invasive Material) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Valkyrie Blade|GreatSword_016 (Valkyrie Blade)|0|32|0|MATERIAL_TYPE_101 (Rathian) x6||
Valkyrie Blade|GreatSword_016 (Valkyrie Blade)|1|110|1|MATERIAL_TYPE_101 (Rathian) x12|MATERIAL_TYPE_107 (Gravios) x6|
Valkyrie Blade|GreatSword_016 (Valkyrie Blade)|2|128|1|MATERIAL_TYPE_101 (Rathian) x20|MATERIAL_TYPE_167 (E.Odogaron) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Veldian Gladius|GreatSword_027 (Veldian Gladius)|0|140|1|MATERIAL_TYPE_177 (Arkveld) x6||
Veldian Gladius|GreatSword_027 (Veldian Gladius)|1|160|2|MATERIAL_TYPE_177 (Arkveld) x10|MATERIAL_TYPE_241 (Invasive Material) x3|
Veldian Gladius|GreatSword_027 (Veldian Gladius)|2|170|3|MATERIAL_TYPE_177 (Arkveld) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
