# generated by .xlsx-source/extract.py from enemyleveldata on 2026-04-19
# schema: enemy|stage|stage_area_levels|level_scale|level_fluctuation|scale_max|night_add|is_eco
Tobi-Kadachi|Canalta Timberland|18 18 18 18 18|False|0|0|10|False
Pukei-Pukei|Canalta Timberland|20 20 20 20 20|False|0|0|10|False
Purple Ludroth|Canalta Timberland|30 30 30 30 24|False|0|0|10|False
Khezu|Canalta Timberland|27 27 27 27 27|False|0|0|10|False
Aknosom|Canalta Timberland|27 27 27 27 27|False|0|0|10|False
Tetranadon|Canalta Timberland|18 18 18 18 18|False|0|0|10|False
Bishaten|Canalta Timberland|20 20 20 20 20|False|0|0|10|False
Somnacanth|Canalta Timberland|23 23 23 23 23|False|0|0|10|False
Aurora Somnacanth|Canalta Timberland|30 30 30 30 30|False|0|0|10|False
Yian Garuga|Canalta Timberland|42 42 42 42 42|False|0|0|10|False
Garangolm|Canalta Timberland|42 42 42 42 42|False|0|0|10|False
Seregios|Canalta Timberland|56 50 50 50 50|False|0|0|10|False
Deviljho|Canalta Timberland|63 63 63 63 63|False|0|0|10|False
Great Thunderbugs|Canalta Timberland|18 18 18 18 18|False|0|0|10|False
Green Bnahabra|Canalta Timberland|18 18 18 18 18|False|0|0|10|False
Green Slagtoth|Canalta Timberland|18 18 18 18 18|False|0|0|10|False
Gargwa|Canalta Timberland|18 18 18 18 18|False|0|0|10|False
Blango|Canalta Timberland|18 18 18 18 18|False|0|0|10|False
Red Khezu|Canalta Timberland|34 34 34 34 34|False|0|0|10|False
Feral Tobi-Kadachi|Canalta Timberland|20 20 20 20 20|False|0|0|10|False
Feral Bishaten|Canalta Timberland|42 42 42 42 42|False|0|0|10|False
Feral Espinas|Canalta Timberland|54 54 54 54 54|False|0|0|10|False
Feral Tetranadon|Canalta Timberland|30 30 30 30 30|False|0|0|10|False
Tetranadon|Narrow Passage|25 0 0 0 0|False|0|0|0|False
Great Izuchi|Narrow Passage|25 0 0 0 0|False|0|0|0|False
Izuchi|Narrow Passage|25 0 0 0 0|False|0|0|0|False
Tobi-Kadachi|Narrow Passage|25 0 0 0 0|False|0|0|0|False
Green Bnahabra|Narrow Passage|25 0 0 0 0|False|0|0|0|False
Somnacanth|Narrow Passage|25 0 0 0 0|False|0|0|0|False
Aurora Somnacanth|Narrow Passage|30 0 0 0 0|False|0|0|0|False
Purple Ludroth|Narrow Passage|30 0 0 0 0|False|0|0|0|False
Arzuros|Narrow Passage|25 0 0 0 0|False|0|0|0|False
Yian Garuga|Narrow Passage|42 0 0 0 0|False|0|0|0|False
Green Slagtoth|Dragonreach Mountains|27 0 0 0 0|False|0|0|0|False
Pukei-Pukei|Dragonreach Mountains|27 0 0 0 0|False|0|0|0|False
Aknosom|Dragonreach Mountains|27 0 0 0 0|False|0|0|0|False
Great Thunderbugs|Dragonreach Mountains|27 0 0 0 0|False|0|0|0|False
Bishaten|Dragonreach Mountains|27 0 0 0 0|False|0|0|0|False
Arzuros|Dragonreach Mountains|27 0 0 0 0|False|0|0|0|False
Aurora Somnacanth|Dragonreach Mountains|30 0 0 0 0|False|0|0|0|False
Gargwa|Dragonreach Mountains|27 0 0 0 0|False|0|0|0|False
Green Bnahabra|Dragonreach Mountains|27 0 0 0 0|False|0|0|0|False
Garangolm|Dragonreach Mountains|42 0 0 0 0|False|0|0|0|False
Purple Ludroth|Dragonreach Mountains|30 0 0 0 0|False|0|0|0|False
Seregios|Dragonreach Mountains|50 0 0 0 0|False|0|0|0|False
Brown Slagtoth|Muddled Marsh|27 0 0 0 0|False|0|0|0|False
Barroth|Muddled Marsh|30 0 0 0 0|False|0|0|0|False
Shogun Ceanataur|Muddled Marsh|30 0 0 0 0|False|0|0|0|False
Ceanataur|Muddled Marsh|27 0 0 0 0|False|0|0|0|False
Pukei-Pukei|Muddled Marsh|30 0 0 0 0|False|0|0|0|False
Somnacanth|Muddled Marsh|30 0 0 0 0|False|0|0|0|False
Garangolm|Muddled Marsh|48 0 0 0 0|False|0|0|0|False
Yellow Bnahabra|Muddled Marsh|27 0 0 0 0|False|0|0|0|False
Remobra|Muddled Marsh|27 0 0 0 0|False|0|0|0|False
Anjanath|Muddled Marsh|32 0 0 0 0|False|0|0|0|False
Aknosom|Muddled Marsh|30 0 0 0 0|False|0|0|0|False
Invasive Nerscylla|None|0 0 0 0 0|False|-3|80|0|False
Invasive Shogun Ceanataur|None|0 0 0 0 0|False|-3|80|0|False
Feral Tobi-Kadachi|Canalta Timberland|20 20 20 20 20|False|0|0|0|False
Feral Tetranadon|Canalta Timberland|30 30 30 30 30|False|0|0|0|False
Feral Bishaten|Canalta Timberland|42 42 42 42 42|False|0|0|0|False
Feral Espinas|Canalta Timberland|54 54 54 54 54|False|0|0|0|False
INVALID|Azuria|14 18 32 48 0|False|0|0|10|True
INVALID|Canalta Timberland|58 22 46 24 34|False|0|0|10|True
INVALID|Tarkuan|40 48 64 44 0|False|0|0|10|True
INVALID|Serathis|50 58 70 0 0|False|0|0|10|True
Shrouded Nerscylla|Tarkuan|44 44 44 44 0|False|0|0|10|False
Kulu-Ya-Ku|Tarkuan|36 36 36 36 0|False|0|0|10|False
Barroth|Tarkuan|36 42 36 36 0|False|0|0|10|False
Shogun Ceanataur|Tarkuan|36 36 36 36 0|False|0|0|10|False
Blood Orange Bishaten|Tarkuan|44 44 44 44 0|False|0|0|10|False
Nibelsnarf|Tarkuan|32 32 32 32 0|False|0|0|10|False
Dune|Tarkuan|32 32 32 32 0|False|0|0|10|False
Green Plesioth|Tarkuan|44 44 44 44 0|False|0|0|10|False
Diablos|Tarkuan|44 44 44 44 0|False|0|0|10|False
Black Diablos|Tarkuan|58 58 58 58 0|False|0|0|10|False
Gravios|Tarkuan|44 44 44 44 0|False|0|0|10|False
Black Gravios|Tarkuan|58 58 58 58 0|False|0|0|10|False
Almudron|Tarkuan|36 36 36 36 0|False|0|0|10|False
Rakna-Kadaki|Tarkuan|40 40 40 40 0|False|0|0|10|False
Odogaron|Tarkuan|36 36 36 36 0|False|0|0|10|False
Glavenus|Tarkuan|44 44 44 44 0|False|0|0|10|False
Espinas|Tarkuan|50 50 50 50 0|False|0|0|10|False
Garangolm|Tarkuan|48 48 48 48 0|False|0|0|10|False
Seregios|Tarkuan|56 56 56 56 0|False|0|0|10|False
Ajarakan|Tarkuan|32 42 32 32 0|False|0|0|10|False
Rey Dau|Tarkuan|44 44 44 44 0|False|0|0|10|False
Chatacabra|Tarkuan|32 32 32 32 0|False|0|0|10|False
Rachnoid|Tarkuan|30 30 30 30 0|False|0|0|10|False
Cephalos|Tarkuan|30 30 30 30 0|False|0|0|10|False
Remobra|Tarkuan|30 30 30 30 0|False|0|0|10|False
Ceanataur|Tarkuan|33 33 33 33 0|False|0|0|10|False
Yellow Bnahabra|Tarkuan|30 30 30 30 0|False|0|0|10|False
Brown Slagtoth|Tarkuan|30 30 30 30 0|False|0|0|10|False
Great Barrel Felyne|Tarkuan|1 1 1 1 0|False|0|0|0|False
Invasive Diablos|None|0 0 0 0 0|False|-3|80|0|False
Invasive Odogaron|None|0 0 0 0 0|False|-3|80|0|False
Feral Barroth|Tarkuan|36 36 36 36 0|False|0|0|0|False
Feral Glavenus|Tarkuan|60 60 60 60 0|False|0|0|0|False
Feral Gravios|Tarkuan|44 44 44 44 0|False|0|0|0|False
Odogaron|Death's Maw|42 0 0 0 0|False|0|0|0|False
Rakna-Kadaki|Death's Maw|42 0 0 0 0|False|0|0|0|False
Rey Dau|Death's Maw|44 0 0 0 0|False|0|0|0|False
Black Gravios|Death's Maw|58 0 0 0 0|False|0|0|0|False
Black Diablos|Death's Maw|58 0 0 0 0|False|0|0|0|False
Seregios|Death's Maw|56 0 0 0 0|False|0|0|0|False
Remobra|Death's Maw|40 0 0 0 0|False|0|0|0|False
Rachnoid|Death's Maw|40 0 0 0 0|False|0|0|0|False
Great Izuchi|Serathis|45 45 45 0 0|False|0|0|10|False
Jade Barroth|Serathis|45 45 45 0 0|False|0|0|10|False
Khezu|Serathis|45 45 45 0 0|False|0|0|10|False
Red Khezu|Serathis|45 45 45 0 0|False|0|0|10|False
Blangonga|Serathis|45 45 45 0 0|False|0|0|10|False
Somnacanth|Serathis|45 45 45 0 0|False|0|0|10|False
Brachydios|Serathis|50 50 50 0 0|False|0|0|10|False
Aurora Somnacanth|Serathis|47 47 47 0 0|False|0|0|10|False
Goss Harag|Serathis|50 50 54 0 0|False|0|0|10|False
Lunagaron|Serathis|50 50 54 0 0|False|0|0|10|False
Legiana|Serathis|50 50 54 0 0|False|0|0|10|False
Fulgur Anjanath|Serathis|54 54 54 0 0|False|0|0|10|False
Ebony Odogaron|Serathis|54 54 54 0 0|False|0|0|10|False
Deviljho|Serathis|63 63 63 0 0|False|0|0|10|False
Izuchi|Serathis|45 45 45 0 0|False|0|0|10|False
Blango|Serathis|45 45 45 0 0|False|0|0|10|False
Blue Bnahabra|Serathis|45 45 45 0 0|False|0|0|10|False
Seregios|Serathis|56 56 56 0 0|False|0|0|10|False
Magnamalo|Serathis|58 58 58 0 0|False|0|0|10|False
Malzeno|Serathis|68 68 68 0 0|False|0|0|10|False
Arkveld|Serathis|68 68 68 0 0|False|0|0|10|False
Remobra|Serathis|45 45 45 0 0|False|0|0|10|False
Great Dracophage Bugs|Serathis|45 45 45 0 0|False|0|0|10|False
Invasive Khezu|None|0 0 0 0 0|False|-3|80|0|False
Feral Legiana|Serathis|54 54 54 0 0|False|0|0|0|False
Feral Magnamalo|Serathis|64 64 64 0 0|False|0|0|0|False
Feral Deviljho|Serathis|64 64 64 0 0|False|0|0|0|False
Legiana|Terra Nativitas|58 0 0 0 0|False|0|0|0|False
Seregios|Terra Nativitas|58 0 0 0 0|False|0|0|0|False
Fulgur Anjanath|Terra Nativitas|58 0 0 0 0|False|0|0|0|False
Magnamalo|Terra Nativitas|64 0 0 0 0|False|0|0|0|False
Ebony Odogaron|Terra Nativitas|61 0 0 0 0|False|0|0|0|False
Malzeno|Terra Nativitas|68 0 0 0 0|False|0|0|0|False
Arkveld|Terra Nativitas|68 0 0 0 0|False|0|0|0|False
Blue Bnahabra|Terra Nativitas|56 0 0 0 0|False|0|0|0|False
Remobra|Terra Nativitas|56 0 0 0 0|False|0|0|0|False
Great Dracophage Bugs|Terra Nativitas|56 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
