# generated by .xlsx-source/extract.py from monsterpicturebookdata on 2026-04-19
# schema: name|enemy_id|otomon_id|regions|areas|dungeons|habitat|main_flavour|trace_items|mutation_monster
Velociprey|Velociprey||R0 (Azuria) R0 (Azuria)|A000 NONE|None dg100 (Ashen Pass)||Small Bird Wyverns characterized by their blue and black stripes and yellow bill. These monsters often form groups centered around a Velocidrome. Their swift, slender bodies boast razor-sharp claws.|IT_BOOK_TRACE_131 (Sharp Fang) IT_BOOK_TRACE_132 (Blue and Black Scales)|0
Velocidrome|Velocidrome|Velocidrome|NONE NONE|NONE NONE|None None||The alpha monster of a Velociprey pack, it is distinguishable by its larger size and bright orange crest. It patrols its expansive territory for prey and intruders alike.|IT_BOOK_TRACE_029 (Bloodstained Nest) IT_BOOK_TRACE_030 (Supple Blue Hide)|0
Exotic Velocidrome|Exotic Velocidrome||R0 (Azuria) NONE|A000 NONE|None None||This agile and elusive monster combs through areas for bugs and small prey. It may have developed this inefficient feeding behavior as a means to avoid competition with others of its species.|INVALID INVALID|0
EM0014_10_00 (Feral Velocidrome (Red))|EM0014_10_00 (Feral Velocidrome (Red))||NONE NONE|NONE NONE|None None|Unknown|A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Izuchi|Izuchi||R1 (Canalta) R3 (Serathis)|B002 D001|None None||This Bird Wyvern commonly appears in a pack led by a Great Izuchi. The distinctive sickle-shaped tail is used not only as a weapon, but to climb trees and gather fruit as well.|IT_BOOK_TRACE_153 (Clipped-Tree Berry) IT_BOOK_TRACE_154 (Pale Orange Hide)|0
Great Izuchi|Great Izuchi|Great Izuchi|NONE NONE|NONE NONE|None None||The leader of an Izuchi pack, this monster is identifiable by its larger build, bristled fur, and scythe-like tail. It rarely acts alone, instead patrolling its territory with two elite Izuchi.|#N/A|0
Feral Great Izuchi|Feral Great Izuchi||R1 (Canalta) NONE|B002 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Kulu-Ya-Ku|Kulu-Ya-Ku|Kulu-Ya-Ku|NONE NONE|NONE NONE|None None||A Flying Wyvern whose forelimbs have developed to carry objects. Often seen stealing eggs from monster nests, it is also known to dig up rocks to use as a weapon or shield against threats.|#N/A|0
Yian Kut-Ku|Yian Kut-Ku|Yian Kut-Ku|NONE NONE|NONE NONE|None None||A Bird Wyvern commonly found in warm regions, it has a distinctive large beak and wide ears that splay out to intimidate potential threats. It is docile by nature and flees more than it fights.|IT_BOOK_TRACE_017 (Fanned Ears) IT_BOOK_TRACE_018 (Yellow Beak)|0
Blue Yian Kut-Ku|Blue Yian Kut-Ku|Blue Yian Kut-Ku|NONE NONE|NONE NONE|None None||A Yian Kut-Ku subspecies with a blue coloration. It shares similar behavioral patterns with its pink counterpart, but boasts higher physical capabilities.|IT_BOOK_TRACE_019 (Shimmering Blue Scale) IT_BOOK_TRACE_020 (Black Beak)|0
Feral Yian Kut-Ku|Feral Yian Kut-Ku||R0 (Azuria) NONE|A000 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.||0
Gypceros|Gypceros|Gypceros|NONE NONE|NONE NONE|None None||A Bird Wyvern with an oddly-shaped crest and poisonous saliva. It often runs about due to its skittish nature, seldom remaining in one place for long.|IT_BOOK_TRACE_023 (Potent Fluid) IT_BOOK_TRACE_024 (Curious Crest)|0
Purple Gypceros|Purple Gypceros|Purple Gypceros|NONE NONE|NONE NONE|None None||A purple-skinned subspecies of Gypceros. It boasts higher immunity to poison than its standard cousins, which allows it to hold more potent venom and in greater amounts.|#N/A|0
Feral Gypceros|Feral Gypceros||NONE NONE|NONE NONE|None None|Unknown|A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Aknosom|Aknosom|Aknosom|NONE NONE|NONE NONE|None None||A Bird Wyvern often seen standing on one leg, giving it the unique appearance of a parasol. Highly territorial, it intimidates trespassers with outstretched wings and an eye-patterned crest.|IT_BOOK_TRACE_069 (Eyeball Crest) IT_BOOK_TRACE_070 (Flammable Liquid)|0
Feral Aknosom|Feral Aknosom||NONE NONE|NONE NONE|None None|Unknown|A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Pukei-Pukei|Pukei-Pukei|Pukei-Pukei|NONE NONE|NONE NONE|None None||A venomous, forest-dwelling Bird Wyvern that uses its extendable tongue like a whip to lash out and grab food. It tends to harass weaker monsters but cowers before stronger ones.|IT_BOOK_TRACE_093 (Unusual Venom) IT_BOOK_TRACE_094 (Dusty Feather)|0
Yian Garuga|Yian Garuga|Yian Garuga|NONE NONE|NONE NONE|None None||A Bird Wyvern known for its hard body and long mane. Quick to anger and extremely aggressive, it will unleash a flurry of attacks using its crushing beak and poison-filled tail.|IT_BOOK_TRACE_031 (A Yian Kut-Ku Scale?) IT_BOOK_TRACE_032 (Three Spikes)|0
INVALID||Deadeye Yian Garuga|NONE NONE|NONE NONE|None None||From among the ferocious Yian Garuga species stands a Deviant with even more love for the fight. Its one remaining eye burns with the fervor of the countless life-and-death struggles it has endured.|INVALID INVALID|0
Invasive Yian Garuga|Invasive Yian Garuga||R0 (Azuria) NONE|A000 NONE|None None||This invasive subspecies of Yian Garuga is far deadlier than the regular species in terms of combat and toxicity. The body markings are caused by venom seeping out from its numerous venom glands.|IT_BOOK_TRACE_167 (Magenta Venom) IT_BOOK_TRACE_168 (Signs of Battle)|0
Arzuros|Arzuros|Arzuros|NONE NONE|NONE NONE|None None||Found in warm, humid environments, this Fanged Beast is known to gather fish and honey while standing on its hind legs. The sturdy, clawed forearms pose a real threat when used offensively.|#N/A|0
Invasive Arzuros|Invasive Arzuros||R1 (Canalta) NONE|B003 NONE|None None||The mighty blows dealt by this invasive subspecies of Arzuros can shatter rock with ease. Highly intelligent as well as strong, some have been sighted leading regular Arzuros on hunts.|IT_BOOK_TRACE_171 (Honey Residue) IT_BOOK_TRACE_172 (Spilled Honey)|0
Bishaten|Bishaten|Bishaten|NONE NONE|NONE NONE|None None||This monster's winged arms enable versatile aerial movement and the prehensile tail allows it to spin like a top. It can be described as both endearingly inquisitive and insufferably mischievous.|IT_BOOK_TRACE_065 (Half-Eaten Fruit) IT_BOOK_TRACE_066 (Rolling Tracks)|0
Blood Orange Bishaten|Blood Orange Bishaten|Blood Orange Bishaten|NONE NONE|NONE NONE|None None||This subspecies shares the curved horns, beaked mouth, and winged arms of the regular Bishaten, but as the name suggests, its body is mottled with unique, fiery-red patches.|IT_BOOK_TRACE_067 (Red Arm Feather) IT_BOOK_TRACE_068 (Singed Pinecone)|0
Feral Bishaten|Feral Bishaten||R1 (Canalta) NONE|B002 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Blango|Blango||R1 (Canalta) R3 (Serathis)|B004 D001|None None||A white-furred Fanged Beast found in mountainous regions. Packs are often led by a Blangonga, to whose call this monster will answer immediately.|IT_BOOK_TRACE_141 (Pure-White Pelt) IT_BOOK_TRACE_142 (Nutritious Rib Meat)|0
Blangonga|Blangonga|Blangonga|NONE NONE|NONE NONE|None None||This Blango pack leader is found on snowy peaks and is recognizable by its giant fangs and whiskers. Twice as large as a Blango, it has far greater strength and mobility.|IT_BOOK_TRACE_035 (Clump of Snow) IT_BOOK_TRACE_036 (White Fang)|0
Feral Blangonga|Feral Blangonga||R3 (Serathis) NONE|D000 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Garangolm|Garangolm|Garangolm|NONE NONE|NONE NONE|None None||A giant Fanged Beast often mistaken for a pile of boulders. Its bodily fluids can promote plant growth, forming a unique symbiotic relationship with the flora that grows on its body.|IT_BOOK_TRACE_115 (Small Flower) IT_BOOK_TRACE_116 (Mossy Scale)|0
Ajarakan|Ajarakan|Ajarakan|NONE NONE|NONE NONE|None None||This Fanged Beast affixes molten metals to its carapace, and the friction resulting from those minerals rubbing together allows it to accumulate heat and cause explosions.|IT_BOOK_TRACE_123 (Melted Metal) IT_BOOK_TRACE_124 (Flame-Like Shell)|0
Feral Ajarakan|Feral Ajarakan||NONE NONE|NONE NONE|None None|Unknown|A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Goss Harag|Goss Harag|Goss Harag|NONE NONE|NONE NONE|None None||This Fanged Beast thrives in harsh snowy regions with thick fur that staves off the bitter cold. Its aggressive hunting behavior and horned visage make it appear like some kind of arctic demon.|IT_BOOK_TRACE_083 (Strange Fluid) IT_BOOK_TRACE_084 (Red Claw)|0
INVALID||Canyne|NONE NONE|NONE NONE|None None||A blue-furred Fanged Beast that is both clever and highly athletic. Relatively gentle for a Fanged Beast, it plays an integral role in Sheparden life as a hunting partner and means of transportation.|INVALID INVALID|0
Chatacabra|Chatacabra|Chatacabra|NONE NONE|NONE NONE|None None||Using its long tongue, this Amphibian can grab objects and food from a distance. Its adhesive saliva can also be used to attach rocks and debris to its forelegs, enhancing its combat abilities.|IT_BOOK_TRACE_119 (Ore Fragment) IT_BOOK_TRACE_120 (Barrel Fragment)|0
Feral Chatacabra|Feral Chatacabra||NONE NONE|NONE NONE|None None|Unknown|A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Tetranadon|Tetranadon|Tetranadon|NONE NONE|NONE NONE|None None||This gluttonous Amphibian waits in deep waters for prey, which it will swallow whole along with nearby rocks and dirt. It is also known to flatten prey beneath its crushing weight.|IT_BOOK_TRACE_071 (Gravel Mound) IT_BOOK_TRACE_072 (Shimmering Blue Disc)|0
Feral Tetranadon|Feral Tetranadon||R1 (Canalta) NONE|B004 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Ceanataur|Ceanataur||R2 (Tarkuan) R2 (Tarkuan)|NONE C002|dg300 (Muddled Marsh) None||A small Carapaceon that uses other creatures' shells to protect itself. It mainly spends its time buried underground, but it will rise from below to ambush threats that get too close.|IT_BOOK_TRACE_139 (Small Claws) IT_BOOK_TRACE_140 (High-Quality Brain)|0
Shogun Ceanataur|Shogun Ceanataur|Shogun Ceanataur|NONE NONE|NONE NONE|None None||A giant Carapaceon found in caves and marshlands, this fully grown form of the Ceanataur has a giant monster's skull on its back and highly-developed pincers that it wields like scythes.|IT_BOOK_TRACE_033 (Flying Wyvern Skull) IT_BOOK_TRACE_034 (Sharpened Claw)|0
Invasive Shogun Ceanataur|Invasive Shogun Ceanataur||R1 (Canalta) NONE|B004 NONE|None None||Like any true warrior, this invasive subspecies of Shogun Ceanataur excels at both offense and defense. It uses large, mutated claws to eviscerate prey while its sturdy black shell wards off attacks.|IT_BOOK_TRACE_169 (Scratch Marks) IT_BOOK_TRACE_170 (Cleanly Sheared Stone)|0
Nerscylla|Nerscylla|Nerscylla|NONE NONE|NONE NONE|None None||A Temnoceran that weaves nests to defend its territory and hunt. It ensnares prey, weakening them with abnormal statuses, then feasts using its razor-sharp mandibles.|IT_BOOK_TRACE_055 (Purple Coat) IT_BOOK_TRACE_056 (Crystalline Spike)|0
Shrouded Nerscylla|Shrouded Nerscylla|Shrouded Nerscylla|NONE NONE|NONE NONE|None None||A subspecies of Nerscylla that mostly inhabits desert areas and wraps itself in Khezu hides. Rather than spinning webs, it instead lurks beneath the sands to pounce on unsuspecting prey.|IT_BOOK_TRACE_057 (Resilient Silk) IT_BOOK_TRACE_058 (Pearl Coat)|0
Feral Nerscylla|Feral Nerscylla||R0 (Azuria) NONE|A002 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Invasive Nerscylla|Invasive Nerscylla||R1 (Canalta) NONE|B003 NONE|None None||An invasive subspecies of Nerscylla that stealthily hunts any who wander into its territory. Prey is seized and immobilized by this monster's massive chelicera before being mercilessly devoured.|IT_BOOK_TRACE_173 (Signs of a Turf War) IT_BOOK_TRACE_174 (Carapace Fragments)|0
Rachnoid|Rachnoid||R2 (Tarkuan) R2 (Tarkuan)|C003 NONE|None sd102 (Scaling Cave)||These juvenile Rakna-Kadaki cling to their mother's abdomen and primarily feed off scraps of regurgitated prey. Covered in silk, they can almost be mistaken for large cotton balls.|IT_BOOK_TRACE_155 (Sturdy Silk) IT_BOOK_TRACE_156 (Warm Glowgut)|0
Rakna-Kadaki|Rakna-Kadaki|Rakna-Kadaki|NONE NONE|NONE NONE|None None||Distinctly swathed in its own webbing and attended by several Rachnoid offspring, this Temnoceran almost appears to be part of a royal procession as it strolls about in a gown of pure white.|IT_BOOK_TRACE_077 (Unhatched Egg) IT_BOOK_TRACE_078 (Rachnoid-Like Body)|0
Feral Rakna-Kadaki|Feral Rakna-Kadaki||R2 (Tarkuan) NONE|C003 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Barroth|Barroth|Barroth|NONE NONE|NONE NONE|None None||A Brute Wyvern that lives in hot, arid environments. Mud is vital to its survival, as it often remains beneath the mud to keep cool and sometimes uses it as a means of attack.|IT_BOOK_TRACE_041 (Mud Flakes) IT_BOOK_TRACE_042 (Stony Flesh)|0
Jade Barroth|Jade Barroth|Jade Barroth|NONE NONE|NONE NONE|None None||Just as the regular species coats itself in mud, this subspecies of Barroth found in colder climates coats itself in a protective layer of snow and ice.|IT_BOOK_TRACE_043 (Frozen Bnahabra) IT_BOOK_TRACE_044 (Aged Tail Meat)|0
Feral Barroth|Feral Barroth||R2 (Tarkuan) NONE|C002 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Anjanath|Anjanath|Anjanath|NONE NONE|NONE NONE|None None||A belligerent Brute Wyvern that tries to sink its fangs into anything that moves. It is recognizable by the large membranes on its hips and the downy fur that runs along its back and tail.|IT_BOOK_TRACE_089 (Large Back Membrane) IT_BOOK_TRACE_090 (Warm Mucus)|0
Fulgur Anjanath|Fulgur Anjanath|Fulgur Anjanath|NONE NONE|NONE NONE|None None||This savage subspecies of Anjanath electrifies its jaws and dorsal membranes with every attack, further enhancing its already powerful body.|IT_BOOK_TRACE_091 (Electrified Pelt) IT_BOOK_TRACE_092 (Electrified Webbing)|0
Glavenus|Glavenus|Glavenus|NONE NONE|NONE NONE|None None||A Brute Wyvern that brandishes its heavy blue tail like a blade. The combustible metals contained inside increase in temperature with every swing, sharpening the tail and making it red-hot.|IT_BOOK_TRACE_061 (Red-Hot Tail) IT_BOOK_TRACE_062 (Red-Hot Sac)|0
INVALID||Hellblade Glavenus|NONE NONE|NONE NONE|None None||Deep within this Glavenus Deviant burns a searing heat. A single sweep of its tail is enough to lay waste to everything before it, even incinerating entire mountains.|INVALID INVALID|0
EM0080_00_10 (Honed Glavenus (Blue))|EM0080_00_10 (Honed Glavenus (Blue))||NONE NONE|NONE NONE|None None|Unknown|A Glavenus spotted near Azuria's border. It is stronger than the regular species, and its whole body is covered in armor. While some think it has been artificially enhanced, details are unknown.|INVALID INVALID|0
Feral Glavenus|Feral Glavenus||R2 (Tarkuan) NONE|C000 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Brachydios|Brachydios|Brachydios|NONE NONE|NONE NONE|None None||An aggressive species of Brute Wyvern with a deep-blue carapace. The volatile green slime covering its head and powerful forearms can be primed to explode by a chemical agent in its saliva.|IT_BOOK_TRACE_053 (Green Slime Mold) IT_BOOK_TRACE_054 (Yellow Slime Mold)|0
Feral Brachydios|Feral Brachydios||R0 (Azuria) NONE|A003 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Deviljho|Deviljho|Deviljho|NONE NONE|NONE NONE|None None||This exceedingly aggressive Brute Wyvern roams the land in search of sustenance. Its insatiable appetite is said to have driven other species to extinction.|IT_BOOK_TRACE_039 (Highly Acidic Saliva) IT_BOOK_TRACE_040 (Jaw Spike)|0
Feral Deviljho|Feral Deviljho||NONE NONE|NONE NONE|None None|Unknown|A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Cephalos|Cephalos||R2 (Tarkuan) NONE|C002 NONE|None None||A species of Piscine Wyvern that swims through desert sand like a fish through water. Unlike most Piscine Wyverns, it often lives in groups that can be led by a larger monster called a Cephadrome.|IT_BOOK_TRACE_133 (Beautiful Blue Scale) IT_BOOK_TRACE_134 (Sonic Bomb Fragment)|0
Plesioth|Plesioth|Plesioth|NONE NONE|NONE NONE|None None||This massive Piscine Wyvern is mainly seen around bodies of water. Though once capable of flight, its wings have adapted to aquatic locomotion, for which it relies on sound rather than sight.|IT_BOOK_TRACE_025 (Webbed Prints) IT_BOOK_TRACE_026 (Portly Frog)|0
Green Plesioth|Green Plesioth|Green Plesioth|NONE NONE|NONE NONE|None None||Named after its jade-green scales, this subspecies is more agile than the common Plesioth, boasting incredible mobility both on land and in water. It is also more hostile than the regular species.|IT_BOOK_TRACE_027 (Jade-Green Fin) IT_BOOK_TRACE_028 (Jade-Green Scale)|0
Invasive Plesioth|Invasive Plesioth||R0 (Azuria) NONE|A002 NONE|None None||This invasive subspecies of Plesioth has evolved to absorb water through its skin for storage. This water can then be violently expelled from the mouth with the force of a cannon blast.|IT_BOOK_TRACE_165 (Damp Scale) IT_BOOK_TRACE_166 (Surface Protrusions)|0
Ludroth|Ludroth||R0 (Azuria) R0 (Azuria)|A000 A002|None None||As the female counterpart to the male Royal Ludroth, the Ludroth will gather in groups in the larger Royal Ludroth's territory, forming harems of several females to one male.|IT_BOOK_TRACE_145 (Hydrated Hide) IT_BOOK_TRACE_146 (Drenched Hide)|0
Royal Ludroth|Royal Ludroth|Royal Ludroth|NONE NONE|NONE NONE|None None||A male Ludroth that has grown larger and taken control of the pack. This aquatic creature is found in both freshwater and saltwater, and its absorbent mane retains moisture, enabling movement on land.|IT_BOOK_TRACE_045 (Spongy Scale) IT_BOOK_TRACE_046 (Aqua Sac)|0
Purple Ludroth|Purple Ludroth|Purple Ludroth|NONE NONE|NONE NONE|None None||This subspecies of Royal Ludroth sports a spongy, purple mane that stores toxins produced in the body. With each step, poison seeps out and permeates the vicinity.|IT_BOOK_TRACE_047 (Milk-White Scale) IT_BOOK_TRACE_048 (Purple Fluid)|0
Nibelsnarf|Nibelsnarf||R2 (Tarkuan) NONE|C002 NONE|None None||A Leviathan that has adapted to sandy environments. It blends in with sand dunes and locates prey aurally to then suck both the target and the surrounding sand into its maw.|IT_BOOK_TRACE_049 (Mass of Sand) IT_BOOK_TRACE_050 (Dazzling Fluid)|0
Exotic Nibelsnarf|Exotic Nibelsnarf||R3 (Serathis) NONE|D001 NONE|None None||Upon noticing <COLOR preset="Text_Red">a curious spattering of round patches</COLOR> throughout a particular area of the Glacial Caps, I decided to investigate. As expected, a monster was lurking nearby.|INVALID INVALID|0
Somnacanth|Somnacanth|Somnacanth|NONE NONE|NONE NONE|None None||A bellicose Leviathan that lives in the water and spreads soporific dust via its neck gills and tail to ensnare prey. When seen under the moonlight, it is said to resemble a maiden or mermaid.|IT_BOOK_TRACE_073 (Blue Powder) IT_BOOK_TRACE_074 (Shed Spike)|0
Aurora Somnacanth|Aurora Somnacanth|Aurora Somnacanth|NONE NONE|NONE NONE|None None||This subspecies of Somnacanth resembles a frighteningly beautiful phantasm veiled in frost. It uses the cold that emanates from its body to freeze surfaces, on which it swiftly chases down prey.|IT_BOOK_TRACE_075 (Frozen Sac) IT_BOOK_TRACE_076 (Gray Head Fin)|0
Feral Somnacanth|Feral Somnacanth||R1 (Canalta) NONE|B001 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Lagiacrus|Lagiacrus|Lagiacrus|NONE NONE|NONE NONE|None None||This Leviathan sits atop the aquatic food chain. Electricity generated by its scales is stored in dorsal organs to later be released in a discharge that can electrify the very ocean.|INVALID INVALID|0
Ivory Lagiacrus|Ivory Lagiacrus|Ivory Lagiacrus|NONE NONE|NONE NONE|None None||A subspecies of Lagiacrus with a beautiful ivory carapace. Its blue shockspikes are far more evolved than that of the regular species and capable of storing vast amounts of electricity.|INVALID INVALID|0
Mizutsune|Mizutsune|Mizutsune|NONE NONE|NONE NONE|None None||This Leviathan has evolved in such a way as to be particularly mobile on land. After immobilizing its prey with bubbles produced by an internal fluid, it gracefully runs it down.|INVALID INVALID|0
INVALID||Soulseer Mizutsune|NONE NONE|NONE NONE|None None||A Mizutsune Deviant that has been rendered blind by past conflicts. Such an affliction would normally spell the end for a monster, but it has adapted by using bubbles for perception.|INVALID INVALID|0
Almudron|Almudron|Almudron|NONE NONE|NONE NONE|None None||A giant Leviathan believed to reside in marshlands deep in the mountains. Slipping between pools of mud, it stealthily approaches and then dispatches unsuspecting prey.|IT_BOOK_TRACE_079 (Golden Muck) IT_BOOK_TRACE_080 (Long Red Whisker)|0
Tobi-Kadachi|Tobi-Kadachi|Tobi-Kadachi|NONE NONE|NONE NONE|None None||This Fanged Wyvern flits from tree to tree in its forest canopy home. Its fur brushes against tree bark and the ground as it moves, building up static electricity.|IT_BOOK_TRACE_097 (Bristly Fur) IT_BOOK_TRACE_098 (Sizable Tail)|0
Feral Tobi-Kadachi|Feral Tobi-Kadachi||R1 (Canalta) NONE|B003 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Odogaron|Odogaron|Odogaron|NONE NONE|NONE NONE|None None||This Fanged Wyvern is so aggressive in its wide-ranging hunt for meat that it will attack stronger monsters without hesitation. Its distinctive claws rend grisly gouges into the flesh of foes.|IT_BOOK_TRACE_103 (Half-Eaten Carrion) IT_BOOK_TRACE_104 (Sawtooth Claw)|0
Ebony Odogaron|Ebony Odogaron|Ebony Odogaron|NONE NONE|NONE NONE|None None||A jet-black subspecies of Odogaron whose fangs and unique claws hold dragon energy, allowing it to reave elemental power from its target.|IT_BOOK_TRACE_105 (Strange Chunk of Meat) IT_BOOK_TRACE_106 (Scorched Ground)|0
Invasive Odogaron|Invasive Odogaron||R2 (Tarkuan) NONE|C001 NONE|None None||An invasive subspecies of Odogaron that seeks only to butcher any creature it sees. The flaming arms are said to have dragged many a hunter to hell, lending to its horrifying presence.|IT_BOOK_TRACE_177 (Oily Traces) IT_BOOK_TRACE_178 (Gouged Earth)|0
Zinogre|Zinogre|Zinogre|NONE NONE|NONE NONE|None None||Pale-blue sparks course across this Fanged Wyvern's body. With the help of its electrified carapace and shockfur, it can amass profound stores of electricity to then enter a supercharged state.|INVALID INVALID|0
Stygian Zinogre|Stygian Zinogre|Stygian Zinogre|NONE NONE|NONE NONE|None None||A subspecies of Zinogre endowed with dragon-element power. Its jet-black shell and silver-white fur combine with the red glow distinctive of dragons to instill fear in all who see it.|INVALID INVALID|0
INVALID||Thunderlord Zinogre|NONE NONE|NONE NONE|None None||A Zinogre Deviant cloaked in dazzling, golden electricity. With its command over blinding lights and crashing bolts of lightning, the title "Thunderlord" is certainly appropriate.|INVALID INVALID|0
Lunagaron|Lunagaron|Lunagaron|NONE NONE|NONE NONE|None None||A Fanged Wyvern with distinctive azure scales. Although normally quadrupedal, it can change its body composition by inhibiting its thermoregulatory organs to increase heat and enlarge muscles.|IT_BOOK_TRACE_113 (Tough Claw) IT_BOOK_TRACE_114 (Cobalt Core)|0
Magnamalo|Magnamalo|Magnamalo|NONE NONE|NONE NONE|None None||A Fanged Wyvern clad in a heavy carapace. It consumes even the bones of its prey to satiate its voracious appetite, and the hellfire expelled from its body is a byproduct of metabolism.|IT_BOOK_TRACE_063 (Thick Purple Gas) IT_BOOK_TRACE_064 (Valorous Horns)|0
Feral Magnamalo|Feral Magnamalo||R3 (Serathis) NONE|D002 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Paolumu|Paolumu|Paolumu|NONE NONE|NONE NONE|None None||After sucking in a large volume of air, this Flying Wyvern takes on its unique, rotund appearance. That air can then be expelled to propel itself. It is just as mild-mannered as it looks.|IT_BOOK_TRACE_099 (Soft Feathers) IT_BOOK_TRACE_100 (Swollen Neck Pouch)|0
Feral Paolumu|Feral Paolumu||R0 (Azuria) NONE|A001 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
