# generated by .xlsx-source/extract.py from enemydata on 2026-04-19
# schema: name|species|element|level|non_elem|fire|water|thunder|ice|dragon|atk_rank|def_rank|hp_rank|heal_rank|crit_rate|speed|slash_dmg|blunt_dmg|pierce_dmg|monster_dmg|poison_hit|burn_hit|paralysis_hit|sleep_hit|blast_hit|bleed_hit|blind_hit|sonic_bomb_rate|status_type_1|status_type_2|status_type_3|monstie_id|exp_rate|materials|break_materials
Feral Gravios|RACE_02 (Flying Wyvern)||1|||||||ATTACK_RANK_03|DEFENCE_RANK_03|HP_RANK_03|HEAL_RANK_01|0|8|0|0|0|0|30|0|70|0|100|30|100|30||||INVALID|26.60000038|IT_WEAPON_019 (Gravios Shell) IT_WEAPON_020 (Gravios Scalp) IT_WEAPON_021 (Gravios Marrow) INVALID|IT_WEAPON_019 (Gravios Shell)
Diablos|RACE_02 (Flying Wyvern)||44|||||||ATTACK_RANK_07|DEFENCE_RANK_02|HP_RANK_06|HEAL_RANK_01|0|10|0|0|0|0|70|30|70|30|70|30|100|70||||Diablos|8.899999619|IT_WEAPON_025 (Diablos Shell) IT_WEAPON_026 (Diablos Tail) IT_WEAPON_027 (Twisted Horn) IT_MATERIAL_025 (Dash Extract)|IT_WEAPON_025 (Diablos Shell)
Diablos|RACE_02 (Flying Wyvern)||24|||||||ATTACK_RANK_10|DEFENCE_RANK_01|HP_RANK_03|HEAL_RANK_01|0|10|0|0|0|0|70|30|70|30|70|30|100|70||||INVALID|8.899999619|IT_MATERIAL_025 (Dash Extract) IT_MATERIAL_025 (Dash Extract) IT_MATERIAL_025 (Dash Extract) IT_MATERIAL_025 (Dash Extract)|IT_MATERIAL_025 (Dash Extract)
Diablos|RACE_02 (Flying Wyvern)||1|||||||ATTACK_RANK_06|DEFENCE_RANK_04|HP_RANK_07|HEAL_RANK_01|0|10|0|0|0|0|70|30|70|30|70|30|100|30||||INVALID|8.899999619|IT_WEAPON_025 (Diablos Shell) IT_WEAPON_026 (Diablos Tail) IT_WEAPON_027 (Twisted Horn) IT_MATERIAL_025 (Dash Extract)|IT_WEAPON_025 (Diablos Shell)
Black Diablos|RACE_02 (Flying Wyvern)||58|||||||ATTACK_RANK_08|DEFENCE_RANK_02|HP_RANK_07|HEAL_RANK_01|0|10|0|0|0|0|70|30|70|30|70|30|100|30||||Black Diablos|14.10000038|IT_WEAPON_028 (Black Diablos Shell) IT_WEAPON_029 (Black Diablos Tail) IT_WEAPON_030 (Twisted B. Diablos Horn) IT_WEAPON_248 (Wyvern Stone)|IT_WEAPON_028 (Black Diablos Shell)
Yian Kut-Ku|RACE_01 (Bird Wyvern)||7|||||||ATTACK_RANK_04|DEFENCE_RANK_04|HP_RANK_03|HEAL_RANK_01|0|10|0|0|0|0|70|30|70|70|70|70|70|100||||Yian Kut-Ku|1.5|IT_WEAPON_031 (Kut-Ku Scale) IT_WEAPON_032 (Kut-Ku Webbing) IT_WEAPON_033 (Giant Beak) IT_NORMAL_003 (Screamer Sac)|IT_WEAPON_031 (Kut-Ku Scale)
Blue Yian Kut-Ku|RACE_01 (Bird Wyvern)||14|||||||ATTACK_RANK_05|DEFENCE_RANK_04|HP_RANK_04|HEAL_RANK_01|0|10|0|0|0|0|70|30|70|70|70|70|70|70||||Blue Yian Kut-Ku|4.099999905|IT_WEAPON_034 (Blue Kut-Ku Scale) IT_WEAPON_035 (Blue Kut-Ku Shell) IT_WEAPON_036 (Blue Kut-Ku Ear) IT_NORMAL_003 (Screamer Sac)|IT_WEAPON_034 (Blue Kut-Ku Scale)
Feral Yian Kut-Ku|RACE_01 (Bird Wyvern)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|10|0|0|0|0|30|30|70|70|70|70|70|30||||INVALID|19|IT_WEAPON_031 (Kut-Ku Scale) IT_WEAPON_032 (Kut-Ku Webbing) IT_WEAPON_033 (Giant Beak) IT_WEAPON_274 (Monster Bone M)|IT_WEAPON_031 (Kut-Ku Scale)
Gypceros|RACE_01 (Bird Wyvern)||9|||||||ATTACK_RANK_04|DEFENCE_RANK_04|HP_RANK_05|HEAL_RANK_01|0|10|0|0|0|0|0|70|30|70|70|30|30|100||||Gypceros|2.900000095|IT_WEAPON_037 (Rubbery Hide) IT_WEAPON_038 (Gypceros Webbing) IT_WEAPON_039 (Gypceros Head) IT_MATERIAL_025 (Dash Extract)|IT_WEAPON_037 (Rubbery Hide)
Gypceros|RACE_01 (Bird Wyvern)||1|||||||ATTACK_RANK_09|DEFENCE_RANK_07|HP_RANK_08|HEAL_RANK_01|0|10|0|0|0|0|0|70|30|70|70|30|30|100||||Gypceros|2.799999952|IT_WEAPON_037 (Rubbery Hide) IT_WEAPON_038 (Gypceros Webbing) IT_WEAPON_039 (Gypceros Head) IT_MATERIAL_025 (Dash Extract)|IT_WEAPON_037 (Rubbery Hide)
Purple Gypceros|RACE_01 (Bird Wyvern)||14|||||||ATTACK_RANK_05|DEFENCE_RANK_04|HP_RANK_05|HEAL_RANK_01|0|10|0|0|0|0|0|70|30|70|70|30|30|70||||Purple Gypceros|4.199999809|IT_WEAPON_040 (Rubbery Purple Hide) IT_WEAPON_041 (Purple Gypceros Webbing) IT_WEAPON_042 (Rubbery Purple Tail) IT_MATERIAL_025 (Dash Extract)|IT_WEAPON_040 (Rubbery Purple Hide)
Feral Gypceros|RACE_01 (Bird Wyvern)||1|||||||ATTACK_RANK_03|DEFENCE_RANK_03|HP_RANK_03|HEAL_RANK_01|0|10|0|0|0|0|0|70|30|70|70|30|30|30||||INVALID|25|IT_WEAPON_037 (Rubbery Hide) IT_WEAPON_038 (Gypceros Webbing) IT_WEAPON_039 (Gypceros Head) INVALID|IT_WEAPON_037 (Rubbery Hide)
Plesioth|RACE_06 (Piscine Wyvern)||30|||||||ATTACK_RANK_06|DEFENCE_RANK_04|HP_RANK_06|HEAL_RANK_01|0|10|0|0|0|0|70|70|100|30|30|70|100|70||||Plesioth|5|IT_WEAPON_043 (Plesioth Scale) IT_WEAPON_044 (Plesioth Fang) IT_WEAPON_045 (Plesioth Fin) INVALID|IT_WEAPON_043 (Plesioth Scale)
Green Plesioth|RACE_06 (Piscine Wyvern)||44|||||||ATTACK_RANK_07|DEFENCE_RANK_04|HP_RANK_06|HEAL_RANK_01|0|10|0|0|0|0|70|70|100|30|30|70|100|30||||Green Plesioth|8.600000381|IT_WEAPON_046 (Green Plesioth Scale) IT_WEAPON_047 (Green Plesioth Fang) IT_WEAPON_048 (Green Plesioth Fin) INVALID|IT_WEAPON_046 (Green Plesioth Scale)
Velocidrome|RACE_01 (Bird Wyvern)||5|||||||ATTACK_RANK_06|DEFENCE_RANK_03|HP_RANK_03|HEAL_RANK_01|0|13|0|0|0|0|100|70|70|70|100|100|70|100||||Velocidrome|0.8999999762|IT_WEAPON_049 (Velocidrome Hide) IT_WEAPON_050 (Velocidrome Claw) IT_WEAPON_051 (Velocidrome Head) IT_NORMAL_003 (Screamer Sac)|IT_NORMAL_004 (Wyvern Barbs)
Velocidrome|RACE_01 (Bird Wyvern)||1|||||||ATTACK_RANK_06|DEFENCE_RANK_03|HP_RANK_03|HEAL_RANK_01|0|13|0|0|0|0|100|70|70|70|100|100|70|0||||INVALID|0.8999999762|IT_WEAPON_049 (Velocidrome Hide) IT_WEAPON_050 (Velocidrome Claw) IT_WEAPON_051 (Velocidrome Head) IT_NORMAL_003 (Screamer Sac)|IT_NORMAL_004 (Wyvern Barbs)
Feral Velocidrome|RACE_01 (Bird Wyvern)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|13|0|0|0|0|100|30|70|70|100|100|70|70||||INVALID|0|IT_WEAPON_049 (Velocidrome Hide) IT_WEAPON_050 (Velocidrome Claw) IT_WEAPON_051 (Velocidrome Head) IT_NORMAL_003 (Screamer Sac)|IT_NORMAL_004 (Wyvern Barbs)
Feral Velocidrome|RACE_01 (Bird Wyvern)||1|||||||ATTACK_RANK_02|DEFENCE_RANK_02|HP_RANK_02|HEAL_RANK_01|0|13|0|0|0|0|100|100|70|30|100|100|70|70||||INVALID|0|IT_WEAPON_049 (Velocidrome Hide) IT_WEAPON_050 (Velocidrome Claw) IT_WEAPON_051 (Velocidrome Head) IT_NORMAL_003 (Screamer Sac)|IT_NORMAL_004 (Wyvern Barbs)
Yian Garuga|RACE_01 (Bird Wyvern)||42|||||||ATTACK_RANK_07|DEFENCE_RANK_06|HP_RANK_05|HEAL_RANK_01|0|12|0|0|0|0|30|30|70|30|100|30|70|30||||Yian Garuga|8.399999619|IT_WEAPON_052 (Garuga Scale) IT_WEAPON_053 (Garuga Ear) IT_WEAPON_054 (Sharpened Beak) IT_WEAPON_275 (Monster Bone L)|IT_WEAPON_052 (Garuga Scale)
Yian Garuga|RACE_01 (Bird Wyvern)||1|||||||ATTACK_RANK_10|DEFENCE_RANK_06|HP_RANK_07|HEAL_RANK_01|0|12|0|0|0|0|30|30|70|30|100|30|70|30||||INVALID|8.399999619|IT_WEAPON_052 (Garuga Scale) IT_WEAPON_053 (Garuga Ear) IT_WEAPON_054 (Sharpened Beak) IT_WEAPON_275 (Monster Bone L)|IT_WEAPON_052 (Garuga Scale)
Shogun Ceanataur|RACE_08 (Carapaceon)||30|||||||ATTACK_RANK_07|DEFENCE_RANK_04|HP_RANK_04|HEAL_RANK_01|0|13|0|0|0|0|30|70|70|30|70|30|70|70||||Shogun Ceanataur|5|IT_WEAPON_055 (Shogun Ceanataur Shell) IT_WEAPON_056 (Shogun Ceanataur Leg) IT_WEAPON_057 (Shogun Ceanataur Claw) INVALID|IT_WEAPON_055 (Shogun Ceanataur Shell)
Shogun Ceanataur|RACE_08 (Carapaceon)||1|||||||ATTACK_RANK_09|DEFENCE_RANK_03|HP_RANK_03|HEAL_RANK_01|0|13|0|0|0|0|30|70|70|30|70|30|70|70||||INVALID|5|IT_WEAPON_055 (Shogun Ceanataur Shell) IT_WEAPON_056 (Shogun Ceanataur Leg) IT_WEAPON_057 (Shogun Ceanataur Claw) INVALID|IT_WEAPON_055 (Shogun Ceanataur Shell)
Blangonga|RACE_03 (Fanged Beast)||45|||||||ATTACK_RANK_06|DEFENCE_RANK_04|HP_RANK_06|HEAL_RANK_01|0|10|0|0|0|0|100|100|100|70|100|100|100|70||||Blangonga|8.600000381|IT_WEAPON_058 (Blangonga Pelt) IT_WEAPON_059 (Blangonga Fang) IT_WEAPON_060 (Blangonga Whisker) IT_WEAPON_278 (Brute Bone L)|IT_WEAPON_058 (Blangonga Pelt)
Blangonga|RACE_03 (Fanged Beast)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|10|0|0|0|0|100|100|100|70|100|100|100|70||||Blangonga|8.600000381|IT_WEAPON_058 (Blangonga Pelt) IT_WEAPON_059 (Blangonga Fang) IT_WEAPON_060 (Blangonga Whisker) IT_WEAPON_278 (Brute Bone L)|IT_WEAPON_058 (Blangonga Pelt)
Feral Blangonga|RACE_03 (Fanged Beast)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|10|0|0|0|0|70|100|30|70|70|70|100|30||||INVALID|30.89999962|IT_WEAPON_058 (Blangonga Pelt) IT_WEAPON_059 (Blangonga Fang) IT_WEAPON_060 (Blangonga Whisker) IT_WEAPON_278 (Brute Bone L)|IT_WEAPON_058 (Blangonga Pelt)
Yama Tsukami|RACE_13 (Elder Dragon)||1|||||||ATTACK_RANK_06|DEFENCE_RANK_06|HP_RANK_06|HEAL_RANK_01|0|6|0|0|0|0|70|0|0|0|0|70|100|30||||INVALID|77.5|IT_WEAPON_061 (Dragonwood) IT_WEAPON_062 (Dragonmoss) IT_WEAPON_063 (Tsukami Hide) IT_WEAPON_272 (Elder Dragon Blood)|IT_WEAPON_061 (Dragonwood)
Yama Tsukami|RACE_13 (Elder Dragon)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|6|0|0|0|0|0|0|0|0|0|70|100|30||||INVALID|25.29999924|IT_TRADE_070 (Crystallized Dragonwood) IT_TRADE_070 (Crystallized Dragonwood) IT_TRADE_070 (Crystallized Dragonwood) IT_TRADE_070 (Crystallized Dragonwood)|IT_TRADE_070 (Crystallized Dragonwood)
Tigrex|RACE_02 (Flying Wyvern)||48|||||||ATTACK_RANK_07|DEFENCE_RANK_04|HP_RANK_07|HEAL_RANK_01|0|12|0|0|0|0|70|30|100|30|70|30|100|70||||Tigrex|9.300000191|IT_WEAPON_064 (Tigrex Scale) IT_WEAPON_065 (Tigrex Claw) IT_WEAPON_066 (Tigrex Scalp) INVALID|IT_WEAPON_064 (Tigrex Scale)
Brute Tigrex|RACE_02 (Flying Wyvern)||64|||||||ATTACK_RANK_08|DEFENCE_RANK_03|HP_RANK_07|HEAL_RANK_01|0|12|0|0|0|0|70|30|100|30|70|30|100|30||||Brute Tigrex|10.5|IT_WEAPON_067 (Brute Tigrex Scale) IT_WEAPON_068 (Brute Tigrex Claw) IT_WEAPON_069 (Brute Tigrex Tail) INVALID|IT_WEAPON_067 (Brute Tigrex Scale)
Nargacuga|RACE_02 (Flying Wyvern)||40|||||||ATTACK_RANK_05|DEFENCE_RANK_04|HP_RANK_05|HEAL_RANK_01|15|15|0|0|0|0|100|70|70|30|30|30|100|70||||Nargacuga|8.100000381|IT_WEAPON_070 (Nargacuga Scale) IT_WEAPON_071 (Nargacuga Blackfur) IT_WEAPON_072 (Nargacuga Cutwing) INVALID|IT_WEAPON_070 (Nargacuga Scale)
Green Nargacuga|RACE_02 (Flying Wyvern)||62|||||||ATTACK_RANK_05|DEFENCE_RANK_04|HP_RANK_06|HEAL_RANK_01|15|15|0|0|0|0|100|70|70|30|30|30|100|30||||Green Nargacuga|8.899999619|IT_WEAPON_073 (Green Narga Scale) IT_WEAPON_074 (G. Narga Mottlefur) IT_WEAPON_075 (Green Narga Cutwing) INVALID|IT_WEAPON_073 (Green Narga Scale)
Barioth|RACE_02 (Flying Wyvern)||56|||||||ATTACK_RANK_07|DEFENCE_RANK_04|HP_RANK_06|HEAL_RANK_01|0|12|0|0|0|0|30|100|30|70|100|70|70|70||||Barioth|9.199999809|IT_WEAPON_076 (Barioth Shell) IT_WEAPON_077 (Barioth Spike) IT_WEAPON_078 (Amber Tusks) INVALID|IT_WEAPON_076 (Barioth Shell)
Sand Barioth|RACE_02 (Flying Wyvern)||62|||||||ATTACK_RANK_08|DEFENCE_RANK_03|HP_RANK_08|HEAL_RANK_01|0|12|0|0|0|0|30|30|70|70|70|70|30|30||||Sand Barioth|10.39999962|IT_WEAPON_079 (Sand Barioth Shell) IT_WEAPON_080 (Sand Barioth Pelt) IT_WEAPON_081 (Indigo Tusks) INVALID|IT_WEAPON_079 (Sand Barioth Shell)
Deviljho|RACE_04 (Brute Wyvern)||63|||||||ATTACK_RANK_06|DEFENCE_RANK_01|HP_RANK_10|HEAL_RANK_01|0|10|0|0|0|0|70|30|70|70|70|100|100|70||||Deviljho|15.89999962|IT_WEAPON_082 (Deviljho Scale) IT_WEAPON_083 (Deviljho Fang) IT_WEAPON_084 (Deviljho Talon) IT_WEAPON_248 (Wyvern Stone)|IT_WEAPON_082 (Deviljho Scale)
Feral Deviljho|RACE_04 (Brute Wyvern)||1|||||||ATTACK_RANK_05|DEFENCE_RANK_05|HP_RANK_05|HEAL_RANK_01|0|10|0|0|0|0|30|30|70|30|100|70|70|30||||INVALID|49|IT_WEAPON_082 (Deviljho Scale) IT_WEAPON_083 (Deviljho Fang) IT_WEAPON_084 (Deviljho Talon) IT_WEAPON_248 (Wyvern Stone)|IT_WEAPON_082 (Deviljho Scale)
Barroth|RACE_04 (Brute Wyvern)||30|||||||ATTACK_RANK_05|DEFENCE_RANK_07|HP_RANK_03|HEAL_RANK_01|0|10|0|0|0|0|70|70|30|70|70|30|100|70||||Barroth|4.800000191|IT_WEAPON_085 (Barroth Shell) IT_WEAPON_086 (Barroth Claw) IT_WEAPON_087 (Barroth Scalp) IT_WEAPON_275 (Monster Bone L)|IT_WEAPON_085 (Barroth Shell)
Jade Barroth|RACE_04 (Brute Wyvern)||45|||||||ATTACK_RANK_06|DEFENCE_RANK_07|HP_RANK_06|HEAL_RANK_01|0|10|0|0|0|0|70|100|30|70|70|30|70|30||||Jade Barroth|8.699999809|IT_WEAPON_088 (Jade Barroth Shell) IT_WEAPON_089 (Jade Barroth Claw) IT_WEAPON_090 (Jade Barroth Scalp) IT_WEAPON_275 (Monster Bone L)|IT_WEAPON_088 (Jade Barroth Shell)
Feral Barroth|RACE_04 (Brute Wyvern)||1|||||||ATTACK_RANK_06|DEFENCE_RANK_06|HP_RANK_06|HEAL_RANK_01|0|10|0|0|0|0|70|100|30|70|70|30|100|30||||INVALID|21.29999924|IT_WEAPON_085 (Barroth Shell) IT_WEAPON_086 (Barroth Claw) IT_WEAPON_087 (Barroth Scalp) IT_WEAPON_275 (Monster Bone L)|IT_WEAPON_085 (Barroth Shell)
Lagiacrus|RACE_07 (Leviathan)||24|||||||ATTACK_RANK_08|DEFENCE_RANK_05|HP_RANK_05|HEAL_RANK_01|0|11|0|0|0|0|70|70|30|70|70|70|70|70||||Lagiacrus|4.400000095|IT_WEAPON_091 (Lagiacrus Scale) IT_WEAPON_092 (Lagiacrus Horn) IT_WEAPON_093 (Lagiacrus Shockshell) INVALID|IT_WEAPON_091 (Lagiacrus Scale)
Ivory Lagiacrus|RACE_07 (Leviathan)||32|||||||ATTACK_RANK_08|DEFENCE_RANK_04|HP_RANK_06|HEAL_RANK_01|0|11|0|0|0|0|70|70|30|70|70|70|70|30||||Ivory Lagiacrus|5.699999809|IT_WEAPON_094 (Ivory Lagi Scale) IT_WEAPON_095 (Ivory Lagi Horn) IT_WEAPON_096 (I. Lagi Shockshell) INVALID|IT_WEAPON_094 (Ivory Lagi Scale)
Royal Ludroth|RACE_07 (Leviathan)||12|||||||ATTACK_RANK_05|DEFENCE_RANK_04|HP_RANK_04|HEAL_RANK_01|0|10|0|0|0|0|70|100|70|70|100|70|70|100||||Royal Ludroth|3.799999952|IT_WEAPON_097 (Royal Ludroth Scale) IT_WEAPON_098 (Royal Ludroth Tail) IT_WEAPON_099 (Royal Ludroth Crest) IT_MATERIAL_025 (Dash Extract)|IT_WEAPON_097 (Royal Ludroth Scale)
Royal Ludroth|RACE_07 (Leviathan)||30|||||||ATTACK_RANK_08|DEFENCE_RANK_04|HP_RANK_06|HEAL_RANK_01|0|10|0|0|0|0|70|100|70|70|100|70|70|100||||INVALID|3.799999952|IT_WEAPON_097 (Royal Ludroth Scale) IT_WEAPON_098 (Royal Ludroth Tail) IT_WEAPON_099 (Royal Ludroth Crest) IT_MATERIAL_025 (Dash Extract)|IT_WEAPON_097 (Royal Ludroth Scale)
Purple Ludroth|RACE_07 (Leviathan)||30|||||||ATTACK_RANK_07|DEFENCE_RANK_04|HP_RANK_05|HEAL_RANK_01|0|10|0|0|0|0|30|100|70|70|100|70|70|70||||Purple Ludroth|5.099999905|IT_WEAPON_100 (P. Ludroth Scale) IT_WEAPON_101 (P. Ludroth Claw) IT_WEAPON_102 (Plum Spongy Hide) IT_MATERIAL_025 (Dash Extract)|IT_WEAPON_100 (P. Ludroth Scale)
Purple Ludroth|RACE_07 (Leviathan)||5|||||||ATTACK_RANK_09|DEFENCE_RANK_06|HP_RANK_10|HEAL_RANK_01|0|10|0|0|0|0|30|100|70|70|100|70|70|70||||INVALID|5.099999905|IT_MATERIAL_025 (Dash Extract) IT_MATERIAL_025 (Dash Extract) IT_MATERIAL_025 (Dash Extract) IT_MATERIAL_025 (Dash Extract)|IT_MATERIAL_025 (Dash Extract)
Nibelsnarf|RACE_07 (Leviathan)||32|||||||ATTACK_RANK_06|DEFENCE_RANK_03|HP_RANK_04|HEAL_RANK_01|0|9|0|0|0|0|70|30|70|70|30|70|30|70||||INVALID|5.599999905|IT_WEAPON_103 (Nibelsnarf Shell) IT_WEAPON_104 (Nibelsnarf Hide) IT_WEAPON_105 (Nibelsnarf Scalp) IT_MATERIAL_026 (Nourishing Extract)|IT_WEAPON_103 (Nibelsnarf Shell)
Zinogre|RACE_05 (Fanged Wyvern)||64|||||||ATTACK_RANK_07|DEFENCE_RANK_04|HP_RANK_07|HEAL_RANK_01|0|13|0|0|0|0|70|70|30|70|70|70|100|70||||Zinogre|16.20000076|IT_WEAPON_106 (Zinogre Shell) IT_WEAPON_107 (Zinogre Shockfur) IT_WEAPON_108 (Zinogre Plate) IT_WEAPON_248 (Wyvern Stone)|IT_WEAPON_106 (Zinogre Shell)
Stygian Zinogre|RACE_05 (Fanged Wyvern)||68|||||||ATTACK_RANK_09|DEFENCE_RANK_01|HP_RANK_08|HEAL_RANK_01|0|10|0|0|0|0|70|70|70|70|100|70|100|30||||Stygian Zinogre|17.10000038|IT_WEAPON_109 (S. Zinogre Shell) IT_WEAPON_110 (Stygian Zinogre Claw) IT_WEAPON_111 (S. Zinogre Plate) IT_WEAPON_248 (Wyvern Stone)|IT_WEAPON_109 (S. Zinogre Shell)
Arzuros|RACE_03 (Fanged Beast)||18|||||||ATTACK_RANK_07|DEFENCE_RANK_04|HP_RANK_04|HEAL_RANK_01|0|11|0|0|0|0|70|70|70|70|70|70|70|100||||Arzuros|3.799999952|IT_WEAPON_112 (Arzuros Pelt) IT_WEAPON_113 (Arzuros Shell) IT_WEAPON_114 (Arzuros brace) IT_WEAPON_277 (Brute Bone M)|IT_WEAPON_112 (Arzuros Pelt)
Brachydios|RACE_04 (Brute Wyvern)||44|||||||ATTACK_RANK_08|DEFENCE_RANK_03|HP_RANK_06|HEAL_RANK_01|0|11|0|0|0|0|70|30|70|30|0|30|70|70||||Brachydios|8.699999809|IT_WEAPON_115 (Brach Shell) IT_WEAPON_116 (Brach Hammer) IT_WEAPON_117 (Brach Marrow) INVALID|IT_WEAPON_115 (Brach Shell)
Feral Brachydios|RACE_04 (Brute Wyvern)||1|||||||ATTACK_RANK_02|DEFENCE_RANK_02|HP_RANK_02|HEAL_RANK_01|0|11|0|0|0|0|70|30|70|30|0|30|70|30||||INVALID|26.39999962|IT_WEAPON_115 (Brach Shell) IT_WEAPON_116 (Brach Hammer) IT_WEAPON_117 (Brach Marrow) INVALID|IT_WEAPON_115 (Brach Shell)
Nerscylla|RACE_10 (Temnoceran)||14|||||||ATTACK_RANK_05|DEFENCE_RANK_05|HP_RANK_04|HEAL_RANK_01|0|11|0|0|0|0|30|100|30|0|70|70|70|70||||Nerscylla|3.900000095|IT_WEAPON_118 (Nerscylla Shell) IT_WEAPON_119 (Nerscylla Chelicera) IT_WEAPON_120 (Nerscylla Spike) INVALID|IT_WEAPON_118 (Nerscylla Shell)
Feral Nerscylla|RACE_10 (Temnoceran)||1|||||||ATTACK_RANK_02|DEFENCE_RANK_02|HP_RANK_02|HEAL_RANK_01|0|11|0|0|0|0|30|30|30|0|70|30|100|30||||INVALID|15.69999981|IT_WEAPON_118 (Nerscylla Shell) IT_WEAPON_119 (Nerscylla Chelicera) IT_WEAPON_120 (Nerscylla Spike) INVALID|IT_WEAPON_118 (Nerscylla Shell)
