# generated by .xlsx-source/extract.py from 002_MonsterSkill_V_10_00 on 2026-04-19
# schema: skill_id|name|description
9B904E97-49D2-4F7D-9E5D-EE0C5A9402E6|Rock Stampede|Deals non-elemental damage to one enemy and inflicts Defense Down.
7BF9A742-52E7-4A31-A0C6-884D736D7847|Devour|Deals non-elemental damage to one enemy, then recovers the user's HP by an amount relative to damage dealt. Targets inflicted with Bleeding take more damage.
24580A17-3A51-4FE8-B1B0-1A38C0D98C4E|Cruel Claw|Deals non-elemental damage to one enemy. Chance to inflict Bleeding.
D9DC8321-481D-4236-B2E4-7BBC4790709B|Twisting Kick|Deals non-elemental damage to one enemy.
1BC178C6-1907-4DD8-BB06-82AF956770CD|Draconic Flurry|Deals dragon damage to one enemy, inflicting greater damage with repeated use.
8A5FD55B-AE4C-45DF-A988-5FBDB669E914|Wicked Feast|Deals non-elemental damage to one enemy, then recovers the user's HP by an amount relative to damage dealt. Grants Dragon Attack Up to the user.
6570AA07-E3C3-49C4-A582-BA31184C43AA|Ravaging Growl|Deals dragon damage to one enemy and inflicts Dragon Defense Down.
E2EB0F77-B6A3-4A50-895D-5FE952569CE9|Icicle Breath|Deals ice damage to one enemy and inflicts Defense Down.
0A12A1CA-F070-40B9-AE97-504FF2323034|Icicle Storm|Deals ice damage to random enemies and inflicts Accuracy Down.
9C6024AA-E0EB-4419-854B-2A314A98D1B1|Whiteout|Deals ice damage to one enemy.
906A2BF5-16E6-4BF6-AB4C-2A0C5209A83B|Night Parasites|Deals dragon damage to one enemy, then recovers the user's HP by an amount relative to damage dealt.
90AFE940-F282-4071-961D-3431C87549DC|Dark Lord|Grants Blood Rite to the user.
48E657B5-B0D8-472D-9AB4-9B14E0AC7A8B|Nightmare Cradle|Deals dragon damage to all enemies and inflicts Attack Down.
42515D81-8E20-4096-BB1E-2FF655B8D5A3|Inhibiting Breath|Deals ice damage to one enemy and inflicts Speed Down.
DDEE1D4B-B95F-47D5-B067-41551B4F79CA|Crescent Strike|Deals ice damage to one enemy.
363999EF-F127-42CF-B2E3-DF1F066EC181|Aqua Dunk|Deals water damage to one enemy.
C716239E-EBED-42A3-9B24-9392CB239CDA|Steam Break|Deals water damage to all enemies.
7AC6D6B9-3BA2-4BFE-9639-0D3C9882ACF7|Rising Shot|Deals thunder damage to one enemy. Chance to inflict Paralysis.
859EE1AC-C4F6-4E2D-B1D2-A60AD0A258B4|Boltcall|Increases damage dealt by the user for 2 turns.
890B3840-086C-4276-B2F4-103E081D3A78|Railgun|Deals thunder damage to one enemy.
33919C6E-F9B9-43B4-A360-FCD3579151C8|Lava Cascade|Deals fire damage to one enemy. Chance to inflict Blastblight.
E3493C0D-8174-4211-91CE-9CC79453D62C|Sweeping Flames|Deals fire damage to one enemy. Chance to inflict Blastblight.
5EE099A2-FDDA-4009-BF3B-63BCDD95949F|Magma Counter|Deals fire damage to all enemies. Detonates Blastblight on targets.
F463E76F-52F7-4115-AD4E-AD222F63209F|Kaiser Blade|Deals non-elemental damage to one enemy.
6561F783-FE13-4ECB-928C-D39547397C7C|Blade Rush|Grants Dragon Attack Up and Wyvernfell Up to the user.
22E424A5-CBEB-49D1-AFC1-3DA1C264D1A5|Berserk Slide|Deals dragon damage to one enemy and inflicts Wyvernsoul Defense Down.
19979723-9048-4601-A246-AF6307389982|Audacious Tackle|Deals damage to one enemy relative to the user's remaining HP, then reduces the user's HP to 1.
8E8494FB-EA99-457B-AD5A-E43620AFE2CB|Best Hoof Forward|Grants Attack Up and Speed Up to all allies, but also reduces Defense and Evasion.
5B2BF0B6-E395-425D-A4E9-B6918116DFB2|Merciless Tackle|Consumes all the user's Stamina then deals damage to one enemy relative to the amount of Stamina consumed.
FF162F09-D980-444F-A049-60383D680EAD|Art of Striking|Deals non-elemental damage to one enemy, inflicting greater damage with repeated use.
0CC1EE95-7289-4C19-8890-3D0D5BBBB82B|Art of Raw Power|Grants Non-Elemental Attack Up to the user.
93300C08-90C7-4332-8137-6E9E028C374E|Art of Friendship|Grants Regenerate to all allies.
