# generated by .xlsx-source/extract.py from enemypartsdata on 2026-04-19
# schema: parts_id|monster|part_num|max_hp|slash_parts_dmg|blunt_parts_dmg|pierce_parts_dmg|monster_parts_dmg|slash_hp_dmg|blunt_hp_dmg|pierce_hp_dmg|monster_hp_dmg|broken_parts_id|sp_dmg|is_blightstone|break_bonus
ID_PARTS_EM0008_01_00_2|EM0008_01_00|2|30|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0008_01_00_2|0|False|BG_DAMAGE NONE
ID_PARTS_EM0008_01_00_3|EM0008_01_00|3|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0008_01_00_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0009_00_00_2|EM0009_00_00|2|30|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0009_00_00_2|20|False|BG_DAMAGE NONE
ID_PARTS_EM0009_00_00_3|EM0009_00_00|3|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0009_00_00_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0009_01_00_1|EM0009_01_00|1|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0009_01_00_1|20|False|SKILL_NURF STUN
ID_PARTS_EM0009_01_00_2|EM0009_01_00|2|30|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0009_01_00_2|0|False|BG_DAMAGE NONE
ID_PARTS_EM0009_01_00_3|EM0009_01_00|3|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0009_01_00_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0010_00_00_1|EM0010_00_00|1|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0010_00_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0010_00_00_2|EM0010_00_00|2|30|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0010_00_00_2|0|False|BG_DAMAGE NONE
ID_PARTS_EM0010_00_00_3|EM0010_00_00|3|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0010_00_00_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0010_01_00_1|EM0010_01_00|1|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0010_01_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0010_01_00_2|EM0010_01_00|2|30|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0010_01_00_2|0|False|BG_DAMAGE NONE
ID_PARTS_EM0010_01_00_3|EM0010_01_00|3|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0010_01_00_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0014_00_00_1|EM0014_00_00|1|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0014_00_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0014_00_00_2|EM0014_00_00|2|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0014_00_00_2|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0047_00_00_1|EM0047_00_00|1|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0047_00_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0047_00_00_2|EM0047_00_00|2|30|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0047_00_00_2|0|False|BG_DAMAGE NONE
ID_PARTS_EM0047_00_00_3|EM0047_00_00|3|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0047_00_00_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0063_10_00_1|EM0063_10_00|1|15|-30|30|-30|0|-10|30|-10|0|ID_PARTS_EM0063_10_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0063_10_00_2|EM0063_10_00|2|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0063_10_00_2|10|False|MORPH_CHNAGE DOWN
ID_PARTS_EM0063_10_00_4|EM0063_10_00|4|10|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0063_10_00_4|0|False|STUN NONE
ID_PARTS_EM0063_10_00_5|EM0063_10_00|5|15|-60|-60|0|-20|-10|-10|10|0|ID_PARTS_EM0063_10_00_4|-30|True|SKILL_NURF STUN
ID_PARTS_EM0063_10_00_6|EM0063_10_00|6|20|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0063_10_00_6|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0070_00_00_1|EM0070_00_00|1|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0070_00_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0070_00_00_2|EM0070_00_00|2|25|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0070_00_00_2|-10|False|BG_DAMAGE NONE
ID_PARTS_EM0070_00_00_3|EM0070_00_00|3|25|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0070_00_00_3|-10|False|BG_DAMAGE NONE
ID_PARTS_EM0070_00_00_4|EM0070_00_00|4|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0070_00_00_4|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0070_00_00_5|EM0070_00_00|5|20|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0070_00_00_5|-20|False|SKILL_NURF STUN
ID_PARTS_EM0070_10_00_1|EM0070_10_00|1|25|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0070_10_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0070_10_00_2|EM0070_10_00|2|20|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0070_10_00_2|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0070_10_00_3|EM0070_10_00|3|20|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0070_10_00_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0070_10_00_4|EM0070_10_00|4|25|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0070_10_00_4|0|False|BG_DAMAGE NONE
ID_PARTS_EM0070_10_00_5|EM0070_10_00|5|25|-20|-20|20|0|-10|-10|10|0|ID_PARTS_EM0070_10_00_5|20|False|SKILL_NURF STUN
ID_PARTS_EM0070_10_00_6|EM0070_10_00|6|20|-60|-60|0|-20|-10|-10|10|0|ID_PARTS_EM0070_10_00_5|-30|True|SKILL_NURF STUN
ID_PARTS_EM0080_00_10_1|EM0080_00_10|1|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0080_00_10_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0080_00_10_2|EM0080_00_10|2|20|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0080_00_10_2|0|False|MORPH_CHNAGE DOWN
ID_PARTS_EM0080_00_10_3|EM0080_00_10|3|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0080_00_10_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0080_00_10_4|EM0080_00_10|4|20|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0080_00_10_4|0|False|MORPH_CHNAGE STUN
ID_PARTS_EM0100_00_00_1|EM0100_00_00|1|20|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0100_00_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0100_00_00_2|EM0100_00_00|2|20|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0100_00_00_2|-40|False|MORPH_CHNAGE DOWN
ID_PARTS_EM0100_00_00_3|EM0100_00_00|3|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0100_00_00_3|0|False|BG_DAMAGE NONE
ID_PARTS_EM0100_00_00_4|EM0100_00_00|4|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0100_00_00_4|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0109_00_00_1|EM0109_00_00|1|30|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0109_00_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0109_00_00_2|EM0109_00_00|2|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0109_00_00_2|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0109_00_00_3|EM0109_00_00|3|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0109_00_00_3|0|False|BG_DAMAGE NONE
ID_PARTS_EM0110_00_00_1|EM0110_00_00|1|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0110_00_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0110_00_00_2|EM0110_00_00|2|20|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0110_00_00_2|-20|False|MORPH_CHNAGE DOWN
ID_PARTS_EM0110_00_00_3|EM0110_00_00|3|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0110_00_00_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0110_10_00_1|EM0110_10_00|1|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0110_10_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0110_10_00_2|EM0110_10_00|2|15|-60|0|-60|-20|-10|10|-10|0|ID_PARTS_EM0110_10_00_1|-60|True|SKILL_NURF STUN
ID_PARTS_EM0110_10_00_3|EM0110_10_00|3|20|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0110_10_00_3|-20|False|MORPH_CHNAGE DOWN
ID_PARTS_EM0110_10_00_4|EM0110_10_00|4|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0110_10_00_4|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0125_00_00_1|EM0125_00_00|1|20|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0125_00_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0125_00_00_2|EM0125_00_00|2|20|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0125_00_00_2|0|False|BG_DAMAGE NONE
ID_PARTS_EM0125_00_00_3|EM0125_00_00|3|20|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0125_00_00_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0126_00_00_1|EM0126_00_00|1|25|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0126_00_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0126_00_00_2|EM0126_00_00|2|25|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0126_00_00_2|0|False|BG_DAMAGE NONE
ID_PARTS_EM0126_00_00_3|EM0126_00_00|3|25|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0126_00_00_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0126_00_00_4|EM0126_00_00|4|25|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0126_00_00_4|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0152_00_00_1|EM0152_00_00|1|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0152_00_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0152_00_00_2|EM0152_00_00|2|25|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0152_00_00_2|0|False|BG_DAMAGE NONE
ID_PARTS_EM0152_00_00_3|EM0152_00_00|3|15|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0152_00_00_3|-40|False|MORPH_CHANGE_MULTI DOWN_MULTI
ID_PARTS_EM0152_00_00_4|EM0152_00_00|4|25|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0152_00_00_4|0|False|BG_DAMAGE NONE
ID_PARTS_EM0152_00_00_5|EM0152_00_00|5|15|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0152_00_00_5|-40|False|MORPH_CHANGE_MULTI DOWN_MULTI
ID_PARTS_EM0152_00_00_6|EM0152_00_00|6|30|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0152_00_00_6|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0152_00_10_1|EM0152_00_10|1|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0152_00_10_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0152_00_10_2|EM0152_00_10|2|20|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0152_00_10_2|0|False|BG_DAMAGE NONE
ID_PARTS_EM0152_00_10_3|EM0152_00_10|3|10|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0152_00_10_3|-20|False|MORPH_CHANGE_MULTI DOWN_MULTI
ID_PARTS_EM0152_00_10_4|EM0152_00_10|4|20|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0152_00_10_4|0|False|BG_DAMAGE NONE
ID_PARTS_EM0152_00_10_5|EM0152_00_10|5|10|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0152_00_10_5|-20|False|MORPH_CHANGE_MULTI DOWN_MULTI
ID_PARTS_EM0152_00_10_6|EM0152_00_10|6|20|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0152_00_10_6|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0152_00_10_7|EM0152_00_10|7|15|-60|-60|0|-20|-10|-10|10|0|ID_PARTS_EM0152_00_10_7|-60|True|SKILL_NURF STUN
ID_PARTS_EM2018_00_00_1|EM2018_00_00|1|3|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM2018_00_00_1|20|False|NONE NONE
ID_PARTS_EM2018_00_00_2|EM2018_00_00|2|3|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM2018_00_00_2|0|False|NONE NONE
ID_PARTS_EM2018_00_00_3|EM2018_00_00|3|3|-30|-50|30|0|-10|-10|10|0|ID_PARTS_EM2018_00_00_3|0|False|NONE NONE
ID_PARTS_EM2018_00_00_4|EM2018_00_00|4|4|50|-10|-10|0|10|-10|-10|0|ID_PARTS_EM2018_00_00_4|0|False|NONE NONE
ID_PARTS_EM2018_00_00_5|EM2018_00_00|5|3|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM2018_00_00_5|30|False|NONE NONE
ID_PARTS_EM2018_00_30_1|EM2018_00_30|1|15|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM2018_00_30_1|25|False|BG_DAMAGE NONE
ID_PARTS_EM2018_00_30_2|EM2018_00_30|2|15|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM2018_00_30_2|0|False|MORPH_CHNAGE DOWN
ID_PARTS_EM2018_00_30_3|EM2018_00_30|3|15|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM2018_00_30_3|25|False|BG_DAMAGE NONE
ID_PARTS_EM2018_00_30_4|EM2018_00_30|4|20|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM2018_00_30_4|0|False|SKILL_NURF STUN
