# generated by .xlsx-source/extract.py from MHS3 Statsheet + otomondata on 2026-04-19
# schema: name|rank|type|element|hp|atk|def|spe|crit|starting_stam|stam_recovery|stam_pattern|wyvernfell|bingo2|bingo3|bingo5|species|bulk|total_stats
Velkhana|7.0|Technical|Ice|9.0|8.0|7.0|7.0|0.0|70.0|4.0|Starter|36.0|Crit Rate +3|Wyvernfell +10|Stamina Recovery +4|RACE_13 (Elder Dragon)|16|31
Brute Tigrex|6.0|Power|Neutral|6.0|9.0|3.0|7.0|0.0|70.0|4.0|Starter|40.0|Wyvernfell +5|Speed +2|Starting Stamina +15|RACE_02 (Flying Wyvern)|9|25
Stygian Zinogre|6.0|Technical|Dragon|7.0|9.0|3.0|7.0|0.0|70.0|4.0|Starter|40.0|Crit Rate +3|Starting Stamina +10|Wyvernfell +15|RACE_05 (Fanged Wyvern)|10|26
Brachydios|6.0|Power|Neutral|8.0|9.0|3.0|5.0|0.0|30.0|12.0|Regen|40.0|Wyvernfell +5|Stamina Recovery +3|Starting Stamina +15|RACE_04 (Brute Wyvern)|11|25
Espinas|6.0|Power|Fire|7.0|8.0|4.0|7.0|0.0|50.0|8.0|Average|40.0|Wyvernfell +5|Starting Stamina +10|Crit Rate +7|RACE_02 (Flying Wyvern)|11|26
Black Diablos|6.0|Power|Neutral|8.0|8.0|5.0|7.0|0.0|30.0|12.0|Regen|40.0|Wyvernfell +5|Stamina Recovery +3|Starting Stamina +15|RACE_02 (Flying Wyvern)|13|28
Ivory Lagiacrus|6.0|Speed|Thunder|7.0|8.0|5.0|6.0|0.0|70.0|4.0|Starter|40.0|Stamina Recovery +2|Crit Rate +5|Speed +3|RACE_07 (Leviathan)|12|26
Azure Rathalos|6.0|Power|Fire|7.0|8.0|4.0|6.0|0.0|50.0|8.0|Average|40.0|Wyvernfell +5|Starting Stamina +10|Crit Rate +7|RACE_02 (Flying Wyvern)|11|25
Black Gravios|6.0|Power|Fire|10.0|6.0|8.0|3.0|0.0|70.0|4.0|Starter|48.0|Wyvernfell +5|Starting Stamina +10|Crit Rate +7|RACE_02 (Flying Wyvern)|18|27
Glavenus|6.0|Speed|Fire|6.0|8.0|6.0|5.0|0.0|50.0|8.0|Average|40.0|Wyvernfell +5|Starting Stamina +10|Crit Rate +7|RACE_04 (Brute Wyvern)|12|25
Ebony Odogaron|6.0|Speed|Dragon|6.0|9.0|1.0|8.0|10.0|70.0|4.0|Starter|36.0|Speed +1|Starting Stamina +10|Wyvernfell +15|RACE_05 (Fanged Wyvern)|7|24
Magnamalo|6.0|Speed|Neutral|7.0|8.0|6.0|7.0|0.0|50.0|8.0|Average|40.0|Speed +1|Stamina Recovery +3|Starting Stamina +15|RACE_05 (Fanged Wyvern)|13|28
Rey Dau|6.0|Speed|Thunder|6.0|7.0|5.0|7.0|0.0|50.0|8.0|Average|44.0|Wyvernfell +5|Crit Rate +5|Speed +3|RACE_02 (Flying Wyvern)|11|25
Seregios|6.0|Technical|Neutral|6.0|7.0|3.0|7.0|10.0|70.0|4.0|Starter|40.0|Crit Rate +3|Stamina Recovery +3|Starting Stamina +15|RACE_02 (Flying Wyvern)|9|23
Arkveld|6.0|Technical|Dragon|8.0|8.0|5.0|6.0|0.0|70.0|4.0|Starter|40.0|Wyvernfell +5|Starting Stamina +10|Stamina Recovery +4|RACE_02 (Flying Wyvern)|13|27
Tigrex|5.0|Speed|Neutral|6.0|7.0|5.0|7.0|0.0|50.0|8.0|Average|44.0|Speed +1|Stamina Recovery +3|Starting Stamina +15|RACE_02 (Flying Wyvern)|11|25
Zinogre|5.0|Speed|Thunder|7.0|7.0|6.0|7.0|0.0|50.0|8.0|Average|44.0|Speed +1|Crit Rate +5|Stamina Recovery +4|RACE_05 (Fanged Wyvern)|13|27
Diablos|5.0|Power|Neutral|8.0|7.0|7.0|7.0|0.0|30.0|12.0|Regen|44.0|Wyvernfell +5|Stamina Recovery +3|Starting Stamina +15|RACE_02 (Flying Wyvern)|15|29
Goss Harag|5.0|Power|Ice|7.0|8.0|3.0|4.0|0.0|70.0|4.0|Starter|40.0|Wyvernfell +5|Crit Rate +5|Stamina Recovery +4|RACE_03 (Fanged Beast)|10|22
Lagiacrus|5.0|Power|Thunder|6.0|7.0|7.0|6.0|0.0|50.0|8.0|Average|44.0|Wyvernfell +5|Crit Rate +5|Speed +3|RACE_07 (Leviathan)|13|26
Almudron|5.0|Power|Water|6.0|7.0|5.0|6.0|0.0|70.0|4.0|Starter|44.0|Wyvernfell +5|Speed +2|Stamina Recovery +4|RACE_07 (Leviathan)|11|24
Ratha|5.0|Power|Fire|6.0|7.0|5.0|6.0|0.0|50.0|8.0|Average|44.0|Wyvernfell +5|Starting Stamina +10|Crit Rate +7|RACE_02 (Flying Wyvern)|11|24
Rathalos|5.0|Power|Fire|7.0|7.0|5.0|6.0|0.0|50.0|8.0|Average|44.0|Wyvernfell +5|Starting Stamina +10|Crit Rate +7|RACE_02 (Flying Wyvern)|12|25
Anjanath|5.0|Power|Fire|8.0|7.0|4.0|5.0|0.0|30.0|12.0|Regen|44.0|Wyvernfell +5|Starting Stamina +10|Crit Rate +7|RACE_04 (Brute Wyvern)|12|24
Fulgur Anjanath|5.0|Power|Thunder|7.0|8.0|2.0|5.0|0.0|70.0|4.0|Starter|40.0|Wyvernfell +5|Starting Stamina +10|Crit Rate +7|RACE_04 (Brute Wyvern)|9|22
Gravios|5.0|Power|Fire|8.0|5.0|10.0|3.0|0.0|50.0|8.0|Average|52.0|Wyvernfell +5|Starting Stamina +10|Crit Rate +7|RACE_02 (Flying Wyvern)|18|26
Odogaron|5.0|Speed|Neutral|5.0|7.0|3.0|8.0|10.0|70.0|4.0|Starter|40.0|Speed +1|Stamina Recovery +3|Starting Stamina +15|RACE_05 (Fanged Wyvern)|8|23
Lunagaron|5.0|Speed|Ice|5.0|7.0|4.0|8.0|0.0|70.0|4.0|Starter|44.0|Speed +1|Wyvernfell +10|Stamina Recovery +4|RACE_05 (Fanged Wyvern)|9|24
Mizutsune|5.0|Technical|Water|6.0|6.0|5.0|5.0|10.0|50.0|8.0|Average|44.0|Crit Rate +3|Speed +2|Stamina Recovery +4|RACE_07 (Leviathan)|11|22
Pink Rathian|5.0|Speed|Fire|6.0|7.0|5.0|7.0|0.0|50.0|8.0|Average|44.0|Speed +1|Starting Stamina +10|Crit Rate +7|RACE_02 (Flying Wyvern)|11|25
Astalos|5.0|Speed|Thunder|5.0|8.0|4.0|8.0|10.0|50.0|8.0|Average|40.0|Speed +1|Starting Stamina +10|Crit Rate +7|RACE_02 (Flying Wyvern)|9|25
Green Nargacuga|5.0|Speed|Neutral|5.0|6.0|3.0|10.0|15.0|50.0|8.0|Average|40.0|Crit Rate +3|Stamina Recovery +3|Starting Stamina +15|RACE_02 (Flying Wyvern)|8|24
Green Plseioth|5.0|Speed|Water|7.0|7.0|3.0|7.0|0.0|50.0|8.0|Average|44.0|Speed +1|Crit Rate +5|Stamina Recovery +4||10|24
Canyne|5.0|Speed|Neutral|4.0|5.0|4.0|9.0|0.0|30.0|12.0|Regen|52.0|Speed +1|Stamina Recovery +3|Starting Stamina +15|RACE_03 (Fanged Beast)|8|22
Ajarakan|5.0|Technical|Fire|7.0|7.0|3.0|5.0|10.0|70.0|4.0|Starter|40.0|Wyvernfell +5|Starting Stamina +10|Crit Rate +7|RACE_03 (Fanged Beast)|10|22
Rakna Kadaki|5.0|Technical|Fire|8.0|5.0|4.0|6.0|10.0|50.0|8.0|Average|44.0|Crit Rate +3|Starting Stamina +10|Speed +3||12|23
Aurora Somnacanth|5.0|Technical|Ice|6.0|6.0|4.0|7.0|0.0|50.0|8.0|Average|48.0|Speed +1|Wyvernfell +10|Stamina Recovery +4|RACE_07 (Leviathan)|10|23
Sand Barioth|5.0|Technical|Neutral|5.0|7.0|4.0|8.0|10.0|50.0|8.0|Average|40.0|Speed +1|Stamina Recovery +3|Starting Stamina +15|RACE_02 (Flying Wyvern)|9|24
Garangolm|4.0|Power|Neutral|7.0|5.0|8.0|4.0|0.0|50.0|8.0|Average|52.0|Wyvernfell +5|Stamina Recovery +3|Starting Stamina +15|RACE_03 (Fanged Beast)|15|24
Yian Garuga|4.0|Technical|Fire|4.0|6.0|5.0|7.0|10.0|50.0|8.0|Average|44.0|Crit Rate +3|Starting Stamina +10|Wyvernfell +15|RACE_01 (Bird Wyvern)|9|22
Rathian|4.0|Speed|Fire|5.0|6.0|6.0|7.0|0.0|30.0|12.0|Regen|48.0|Speed +1|Starting Stamina +10|Crit Rate +7|RACE_02 (Flying Wyvern)|11|24
Nargacuga|4.0|Speed|Neutral|5.0|5.0|4.0|10.0|15.0|50.0|8.0|Average|44.0|Crit Rate +3|Stamina Recovery +3|Starting Stamina +15|RACE_02 (Flying Wyvern)|9|24
Plesioth|4.0|Speed|Water|6.0|6.0|5.0|7.0|0.0|30.0|12.0|Regen|48.0|Speed +1|Crit Rate +5|Stamina Recovery +4|RACE_06 (Piscine Wyvern)|11|24
Blood Orange Bishaten|4.0|Speed|Fire|5.0|7.0|3.0|7.0|0.0|50.0|8.0|Average|44.0|Speed +1|Starting Stamina +10|Crit Rate +7|RACE_03 (Fanged Beast)|8|22
Legiana|4.0|Speed|Ice|6.0|7.0|5.0|7.0|0.0|50.0|8.0|Average|44.0|Speed +1|Wyvernfell +10|Stamina Recovery +4|RACE_02 (Flying Wyvern)|11|25
Jade Barroth|4.0|Power|Ice|6.0|5.0|7.0|6.0|0.0|50.0|8.0|Average|52.0|Wyvernfell +5|Crit Rate +5|Stamina Recovery +4|RACE_04 (Brute Wyvern)|13|24
Somnacanth|4.0|Technical|Water|6.0|5.0|5.0|7.0|0.0|50.0|8.0|Average|52.0|Crit Rate +3|Speed +2|Stamina Recovery +4|RACE_07 (Leviathan)|11|23
Barioth|4.0|Technical|Ice|5.0|6.0|6.0|8.0|10.0|50.0|8.0|Average|44.0|Speed +1|Wyvernfell +10|Stamina Recovery +4|RACE_02 (Flying Wyvern)|11|25
Shrouded Nerscylla|4.0|Technical|Neutral|5.0|6.0|3.0|5.0|0.0|50.0|8.0|Average|48.0|Crit Rate +3|Stamina Recovery +3|Starting Stamina +15|RACE_10 (Temnoceran)|8|19
Red Khezu|4.0|Technical|Thunder|6.0|7.0|3.0|5.0|0.0|50.0|8.0|Average|44.0|Crit Rate +3|Wyvernfell +10|Speed +3|RACE_02 (Flying Wyvern)|9|21
Tetranadon|3.0|Power|Water|7.0|7.0|3.0|4.0|0.0|50.0|8.0|Average|44.0|Wyvernfell +5|Speed +2|Stamina Recovery +4|RACE_12 (Amphibian)|10|21
Purple Ludroth|3.0|Power|Water|5.0|6.0|3.0|6.0|0.0|50.0|8.0|Average|48.0|Wyvernfell +5|Speed +2|Stamina Recovery +4|RACE_07 (Leviathan)|8|20
Blangonga|3.0|Power|Ice|6.0|6.0|4.0|5.0|0.0|50.0|8.0|Average|48.0|Wyvernfell +5|Starting Stamina +10|Stamina Recovery +4|RACE_03 (Fanged Beast)|10|21
Purple Gypceros|3.0|Power|Neutral|5.0|5.0|4.0|5.0|0.0|50.0|8.0|Average|52.0|Wyvernfell +5|Stamina Recovery +3|Starting Stamina +15|RACE_01 (Bird Wyvern)|9|19
Bishaten|3.0|Technical|Neutral|5.0|6.0|4.0|7.0|0.0|30.0|12.0|Regen|48.0|Crit Rate +3|Stamina Recovery +3|Starting Stamina +15|RACE_03 (Fanged Beast)|9|22
Tobi Kadachi|3.0|Speed|Thunder|4.0|6.0|4.0|7.0|10.0|30.0|12.0|Regen|44.0|Speed +1|Crit Rate +5|Starting Stamina +15||8|21
Shogun Ceanataur|3.0|Speed|Water|4.0|5.0|6.0|8.0|10.0|50.0|8.0|Average|48.0|Speed +1|Starting Stamina +10|Stamina Recovery +4|RACE_08 (Carapaceon)|10|23
Barroth|3.0|Speed|Neutral|5.0|4.0|8.0|6.0|0.0|50.0|8.0|Average|56.0|Wyvernfell +5|Stamina Recovery +3|Starting Stamina +15|RACE_04 (Brute Wyvern)|13|23
Nerscylla|3.0|Technical|Neutral|4.0|4.0|5.0|5.0|0.0|50.0|8.0|Average|56.0|Crit Rate +3|Stamina Recovery +3|Starting Stamina +15|RACE_10 (Temnoceran)|9|18
Khezu|3.0|Technical|Thunder|6.0|6.0|5.0|5.0|0.0|30.0|12.0|Regen|48.0|Crit Rate +3|Wyvernfell +10|Speed +3|RACE_02 (Flying Wyvern)|11|22
Blue Yian Kut Ku|3.0|Technical|Fire|4.0|5.0|3.0|6.0|0.0|50.0|8.0|Average|52.0|Crit Rate +3|Starting Stamina +10|Speed +3||7|18
Aknosom|3.0|Technical|Fire|5.0|6.0|5.0|6.0|0.0|50.0|8.0|Average|48.0|Crit Rate +3|Starting Stamina +10|Stamina Recovery +4|RACE_01 (Bird Wyvern)|10|22
Pukei Pukei|3.0|Technical|Neutral|5.0|4.0|5.0|6.0|0.0|50.0|8.0|Average|56.0|Crit Rate +3|Stamina Recovery +3|Starting Stamina +15||10|20
Paolumu|3.0|Technical|Neutral|5.0|3.0|6.0|5.0|0.0|70.0|4.0|Starter|60.0|Crit Rate +3|Stamina Recovery +3|Starting Stamina +15|RACE_02 (Flying Wyvern)|11|19
Royal Ludroth|2.0|Power|Water|4.0|5.0|4.0|6.0|0.0|30.0|12.0|Regen|52.0|Wyvernfell +5|Speed +2|Stamina Recovery +4|RACE_07 (Leviathan)|8|19
Gypceros|2.0|Power|Neutral|5.0|4.0|6.0|5.0|0.0|30.0|12.0|Regen|56.0|Wyvernfell +5|Stamina Recovery +3|Starting Stamina +15|RACE_01 (Bird Wyvern)|11|20
Arzuros|2.0|Power|Neutral|5.0|4.0|4.0|5.0|0.0|50.0|8.0|Average|52.0|Wyvernfell +5|Stamina Recovery +3|Starting Stamina +15|RACE_03 (Fanged Beast)|9|18
Yian Kut Ku|2.0|Technical|Fire|3.0|4.0|5.0|6.0|0.0|30.0|12.0|Regen|56.0|Crit Rate +3|Starting Stamina +10|Speed +3||8|18
Kulu Ya Ku|2.0|Technical|Neutral|4.0|5.0|5.0|8.0|0.0|30.0|12.0|Regen|52.0|Crit Rate +3|Stamina Recovery +3|Starting Stamina +15||9|22
Chatacabra|1.0|Power|Neutral|5.0|4.0|4.0|4.0|0.0|70.0|4.0|Starter|56.0|Wyvernfell +5|Stamina Recovery +3|Starting Stamina +15|RACE_12 (Amphibian)|9|17
Velocidrome|1.0|Speed|Neutral|3.0|6.0|3.0|9.0|0.0|30.0|12.0|Regen|48.0|Speed +1|Stamina Recovery +3|Starting Stamina +15|RACE_01 (Bird Wyvern)|6|21
Great Izuchi|1.0|Speed|Neutral|3.0|5.0|3.0|7.0|10.0|50.0|8.0|Average|48.0|Speed +1|Stamina Recovery +3|Starting Stamina +15|RACE_01 (Bird Wyvern)|6|18
