# generated by .xlsx-source/extract.py from weaponparam (bow) on 2026-04-19
# schema: name|weapon_id|level|attack|slots|mat1|mat2|mat3
Ashen Wrath|Bow_029 (Ashen Wrath)|1|150|1|MATERIAL_TYPE_143 (Glavenus) x12|MATERIAL_TYPE_104 (A.Rathalos) x6|
Ashen Wrath|Bow_029 (Ashen Wrath)|2|164|2|MATERIAL_TYPE_143 (Glavenus) x20|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Blue Blade Bow|Bow_020 (Blue Blade Bow)|0|74|1|MATERIAL_TYPE_180 (Ceanataur) x10|MATERIAL_TYPE_195 (Monster Bone) x8|
Blue Blade Bow|Bow_020 (Blue Blade Bow)|1|118|1|MATERIAL_TYPE_119 (S.Ceanataur) x15|MATERIAL_TYPE_173 (Espinas) x6|
Blue Blade Bow|Bow_020 (Blue Blade Bow)|2|148|2|MATERIAL_TYPE_119 (S.Ceanataur) x25|MATERIAL_TYPE_126 (Barioth) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Crow Bow|Bow_026 (Crow Bow)|0|76|0|MATERIAL_TYPE_118 (Garuga) x6||
Crow Bow|Bow_026 (Crow Bow)|1|102|1|MATERIAL_TYPE_118 (Garuga) x12|MATERIAL_TYPE_109 (Diablos) x6|
Crow Bow|Bow_026 (Crow Bow)|2|138|1|MATERIAL_TYPE_118 (Garuga) x20|MATERIAL_TYPE_110 (B.Diablos) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Crystalline Flower|Bow_013 (Crystalline Flower)|0|72|0|MATERIAL_TYPE_239 (Crystalline Flower) x1|MATERIAL_TYPE_200 (Crystalline) x8|
Crystalline Flower|Bow_013 (Crystalline Flower)|1|112|0|MATERIAL_TYPE_200 (Crystalline) x8|MATERIAL_TYPE_130 (J.Barroth) x6|
Crystalline Flower|Bow_013 (Crystalline Flower)|2|150|1|MATERIAL_TYPE_200 (Crystalline) x12|MATERIAL_TYPE_126 (Barioth) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Dark Filament|Bow_017 (Dark Filament)|0|132|0|MATERIAL_TYPE_103 (Rathalos) x6||
Dark Filament|Bow_017 (Dark Filament)|1|144|0|MATERIAL_TYPE_103 (Rathalos) x12|MATERIAL_TYPE_108 (B.Gravios) x6|
Dark Filament|Bow_017 (Dark Filament)|2|160|1|MATERIAL_TYPE_103 (Rathalos) x20|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Dawn Ray Bow|Bow_008 (Dawn Ray Bow)|0|46|1|MATERIAL_TYPE_147 (Bishaten) x10||
Dawn Ray Bow|Bow_008 (Dawn Ray Bow)|1|80|2|MATERIAL_TYPE_147 (Bishaten) x15|MATERIAL_TYPE_159 (Anjanath) x6|
Dawn Ray Bow|Bow_008 (Dawn Ray Bow)|2|126|2|MATERIAL_TYPE_147 (Bishaten) x25|MATERIAL_TYPE_120 (Blangonga) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Diablos Coilbender|Bow_000 (Diablos Coilbender)|0|98|0|MATERIAL_TYPE_109 (Diablos) x6||
Diablos Coilbender|Bow_000 (Diablos Coilbender)|1|132|0|MATERIAL_TYPE_109 (Diablos) x12|MATERIAL_TYPE_167 (E.Odogaron) x6|
Diablos Coilbender|Bow_000 (Diablos Coilbender)|2|160|1|MATERIAL_TYPE_109 (Diablos) x20|MATERIAL_TYPE_137 (S.Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Dragon Bow Solar|Bow_030 (Dragon Bow Solar)|0|110|0|MATERIAL_TYPE_121 (Yama) x3||
Dragon Bow Solar|Bow_030 (Dragon Bow Solar)|1|138|0|MATERIAL_TYPE_121 (Yama) x5|MATERIAL_TYPE_167 (E.Odogaron) x6|
Dragon Bow Solar|Bow_030 (Dragon Bow Solar)|2|170|0|MATERIAL_TYPE_121 (Yama) x10|MATERIAL_TYPE_241 (Invasive Material) x6|MATERIAL_TYPE_194 (Elder Dragon Blood) x3
Duke's Bloodwings|Bow_022 (Duke's Bloodwings)|0|138|1|MATERIAL_TYPE_170 (Malzeno) x6||
Duke's Bloodwings|Bow_022 (Duke's Bloodwings)|1|162|1|MATERIAL_TYPE_170 (Malzeno) x10|MATERIAL_TYPE_128 (Deviljho) x6|
Duke's Bloodwings|Bow_022 (Duke's Bloodwings)|2|174|2|MATERIAL_TYPE_170 (Malzeno) x18|MATERIAL_TYPE_194 (Elder Dragon Blood) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Felyne Bow|Bow_014 (Felyne Bow)|0|34|0|MATERIAL_TYPE_237 (Felyne Bow) x1|MATERIAL_TYPE_188 (Pawprint Stamp) x4|
Felyne Bow|Bow_014 (Felyne Bow)|1|62|0|MATERIAL_TYPE_188 (Pawprint Stamp) x5|MATERIAL_TYPE_184 (Remobra) x8|
Felyne Bow|Bow_014 (Felyne Bow)|2|132|0|MATERIAL_TYPE_188 (Pawprint Stamp) x8|MATERIAL_TYPE_177 (Arkveld) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Flammenbogen|Bow_007 (Flammenbogen)|0|52|0|MATERIAL_TYPE_159 (Anjanath) x6||
Flammenbogen|Bow_007 (Flammenbogen)|1|72|1|MATERIAL_TYPE_159 (Anjanath) x12|MATERIAL_TYPE_135 (Nibelsnarf) x6|
Flammenbogen|Bow_007 (Flammenbogen)|2|136|1|MATERIAL_TYPE_159 (Anjanath) x20|MATERIAL_TYPE_108 (B.Gravios) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Glacial Arrow|Bow_001 (Glacial Arrow)|0|126|0|MATERIAL_TYPE_165 (Legiana) x6||
Glacial Arrow|Bow_001 (Glacial Arrow)|1|136|0|MATERIAL_TYPE_165 (Legiana) x12|MATERIAL_TYPE_126 (Barioth) x6|
Glacial Arrow|Bow_001 (Glacial Arrow)|2|164|1|MATERIAL_TYPE_165 (Legiana) x20|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Golm Bone Bow|Bow_023 (Golm Bone Bow)|0|84|2|MATERIAL_TYPE_172 (Garangolm) x6||
Golm Bone Bow|Bow_023 (Golm Bone Bow)|1|102|2|MATERIAL_TYPE_172 (Garangolm) x12|MATERIAL_TYPE_143 (Glavenus) x6|
Golm Bone Bow|Bow_023 (Golm Bone Bow)|2|148|3|MATERIAL_TYPE_172 (Garangolm) x20|MATERIAL_TYPE_146 (Magnamalo) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Hidden Bow|Bow_004 (Hidden Bow)|0|64|1|MATERIAL_TYPE_124 (Nargacuga) x6||
Hidden Bow|Bow_004 (Hidden Bow)|1|90|1|MATERIAL_TYPE_124 (Nargacuga) x12|MATERIAL_TYPE_176 (Rey Dau) x6|
Hidden Bow|Bow_004 (Hidden Bow)|2|126|2|MATERIAL_TYPE_124 (Nargacuga) x20|MATERIAL_TYPE_123 (B.Tigrex) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Hydra Planula|Bow_005 (Hydra Planula)|0|40|0|MATERIAL_TYPE_169 (Namielle) x3||
Hydra Planula|Bow_005 (Hydra Planula)|1|152|0|MATERIAL_TYPE_169 (Namielle) x5|MATERIAL_TYPE_128 (Deviljho) x6|
Hydra Planula|Bow_005 (Hydra Planula)|2|164|0|MATERIAL_TYPE_169 (Namielle) x10|MATERIAL_TYPE_241 (Invasive Material) x6|MATERIAL_TYPE_194 (Elder Dragon Blood) x3
Iceflinger|Bow_024 (Iceflinger)|0|142|1|MATERIAL_TYPE_168 (Velkhana) x3||
Iceflinger|Bow_024 (Iceflinger)|1|158|1|MATERIAL_TYPE_168 (Velkhana) x5|MATERIAL_TYPE_122 (Tigrex) x6|
Iceflinger|Bow_024 (Iceflinger)|2|174|2|MATERIAL_TYPE_168 (Velkhana) x10|MATERIAL_TYPE_241 (Invasive Material) x6|MATERIAL_TYPE_194 (Elder Dragon Blood) x3
Insurgent's Bow|Bow_003 (Insurgent's Bow)|0|142|0|MATERIAL_TYPE_128 (Deviljho) x6||
Insurgent's Bow|Bow_003 (Insurgent's Bow)|1|154|0|MATERIAL_TYPE_128 (Deviljho) x10|MATERIAL_TYPE_241 (Invasive Material) x3|
Insurgent's Bow|Bow_003 (Insurgent's Bow)|2|164|1|MATERIAL_TYPE_128 (Deviljho) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Iron Bow|Bow_006 (Iron Bow)|0|20|0|MATERIAL_TYPE_236 (Iron Bow) x1|MATERIAL_TYPE_197 (Low-Grade Ore) x8|
Iron Bow|Bow_006 (Iron Bow)|1|34|1|MATERIAL_TYPE_197 (Low-Grade Ore) x8|MATERIAL_TYPE_199 (Crystal) x10|
Iron Bow|Bow_006 (Iron Bow)|2|72|2|MATERIAL_TYPE_197 (Low-Grade Ore) x12|MATERIAL_TYPE_180 (Ceanataur) x10|MATERIAL_TYPE_204 (Weapon Sphere) x3
Kadachi Strikebow|Bow_002 (Kadachi Strikebow)|0|30|0|MATERIAL_TYPE_163 (Tobi) x6||
Kadachi Strikebow|Bow_002 (Kadachi Strikebow)|1|58|1|MATERIAL_TYPE_163 (Tobi) x15|MATERIAL_TYPE_145 (Mizutsune) x6|
Kadachi Strikebow|Bow_002 (Kadachi Strikebow)|2|92|1|MATERIAL_TYPE_163 (Tobi) x25|MATERIAL_TYPE_173 (Espinas) x12|MATERIAL_TYPE_204 (Weapon Sphere) x3
Kut-Ku Stave|Bow_027 (Kut-Ku Stave)|0|30|1|MATERIAL_TYPE_111 (Kut-Ku) x6||
Kut-Ku Stave|Bow_027 (Kut-Ku Stave)|1|60|2|MATERIAL_TYPE_111 (Kut-Ku) x15|MATERIAL_TYPE_149 (Aknosom) x6|
Kut-Ku Stave|Bow_027 (Kut-Ku Stave)|2|98|2|MATERIAL_TYPE_111 (Kut-Ku) x25|MATERIAL_TYPE_118 (Garuga) x12|MATERIAL_TYPE_204 (Weapon Sphere) x3
Lightning Bow|Bow_021 (Lightning Bow)|0|102|0|MATERIAL_TYPE_144 (Astalos) x6||
Lightning Bow|Bow_021 (Lightning Bow)|1|118|0|MATERIAL_TYPE_144 (Astalos) x12|MATERIAL_TYPE_103 (Rathalos) x6|
Lightning Bow|Bow_021 (Lightning Bow)|2|138|1|MATERIAL_TYPE_144 (Astalos) x20|MATERIAL_TYPE_137 (S.Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Mud Shot|Bow_010 (Mud Shot)|0|72|1|MATERIAL_TYPE_154 (Almudron) x6||
Mud Shot|Bow_010 (Mud Shot)|1|124|2|MATERIAL_TYPE_154 (Almudron) x12|MATERIAL_TYPE_165 (Legiana) x6|
Mud Shot|Bow_010 (Mud Shot)|2|150|2|MATERIAL_TYPE_154 (Almudron) x20|MATERIAL_TYPE_123 (B.Tigrex) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Rey Perkonis|Bow_032 (Rey Perkonis)|0|116|1|MATERIAL_TYPE_176 (Rey Dau) x6||
Rey Perkonis|Bow_032 (Rey Perkonis)|1|132|2|MATERIAL_TYPE_176 (Rey Dau) x10|MATERIAL_TYPE_167 (E.Odogaron) x6|
Rey Perkonis|Bow_032 (Rey Perkonis)|2|165|3|MATERIAL_TYPE_176 (Rey Dau) x18|MATERIAL_TYPE_137 (S.Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Seahorse Harp|Bow_025 (Seahorse Harp)|0|38|3|MATERIAL_TYPE_238 (Seahorse Harp) x1|MATERIAL_TYPE_195 (Monster Bone) x8|
Seahorse Harp|Bow_025 (Seahorse Harp)|1|64|3|MATERIAL_TYPE_132 (I.Lagiacrus) x4|MATERIAL_TYPE_115 (Plesioth) x6|
Seahorse Harp|Bow_025 (Seahorse Harp)|2|102|3|MATERIAL_TYPE_132 (I.Lagiacrus) x8|MATERIAL_TYPE_116 (G.Plesioth) x12|MATERIAL_TYPE_204 (Weapon Sphere) x3
Sinister Bow|Bow_009 (Sinister Bow)|0|142|1|MATERIAL_TYPE_146 (Magnamalo) x6||
Sinister Bow|Bow_009 (Sinister Bow)|1|150|2|MATERIAL_TYPE_146 (Magnamalo) x10|MATERIAL_TYPE_108 (B.Gravios) x6|
Sinister Bow|Bow_009 (Sinister Bow)|2|160|3|MATERIAL_TYPE_146 (Magnamalo) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Spongia Bow|Bow_016 (Spongia Bow)|0|32|1|MATERIAL_TYPE_185 (Ludroth) x10|MATERIAL_TYPE_195 (Monster Bone) x8|
Spongia Bow|Bow_016 (Spongia Bow)|1|42|1|MATERIAL_TYPE_133 (R.Ludroth) x15|MATERIAL_TYPE_151 (Somnacanth) x6|
Spongia Bow|Bow_016 (Spongia Bow)|2|132|2|MATERIAL_TYPE_133 (R.Ludroth) x25|MATERIAL_TYPE_156 (Goss) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Thunderbolt Bow|Bow_012 (Thunderbolt Bow)|0|80|0|MATERIAL_TYPE_158 (Narwa) x3||
Thunderbolt Bow|Bow_012 (Thunderbolt Bow)|1|164|0|MATERIAL_TYPE_158 (Narwa) x5|MATERIAL_TYPE_136 (Zinogre) x6|
Thunderbolt Bow|Bow_012 (Thunderbolt Bow)|2|178|1|MATERIAL_TYPE_158 (Narwa) x10|MATERIAL_TYPE_241 (Invasive Material) x6|MATERIAL_TYPE_194 (Elder Dragon Blood) x3
Tigrex Archer|Bow_019 (Tigrex Archer)|0|105|0|MATERIAL_TYPE_122 (Tigrex) x6||
Tigrex Archer|Bow_019 (Tigrex Archer)|1|120|0|MATERIAL_TYPE_122 (Tigrex) x12|MATERIAL_TYPE_167 (E.Odogaron) x6|
Tigrex Archer|Bow_019 (Tigrex Archer)|2|154|1|MATERIAL_TYPE_122 (Tigrex) x20|MATERIAL_TYPE_241 (Invasive Material) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Type 64 Multibow|Bow_028 (Type 64 Multibow)|0|62|1|MATERIAL_TYPE_135 (Nibelsnarf) x6||
Type 64 Multibow|Bow_028 (Type 64 Multibow)|1|105|1|MATERIAL_TYPE_135 (Nibelsnarf) x12|MATERIAL_TYPE_176 (Rey Dau) x6|
Type 64 Multibow|Bow_028 (Type 64 Multibow)|2|134|2|MATERIAL_TYPE_135 (Nibelsnarf) x20|MATERIAL_TYPE_127 (S.Barioth) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Usurper's Rumble|Bow_018 (Usurper's Rumble)|0|120|0|MATERIAL_TYPE_136 (Zinogre) x6||
Usurper's Rumble|Bow_018 (Usurper's Rumble)|1|132|0|MATERIAL_TYPE_136 (Zinogre) x12|MATERIAL_TYPE_160 (F.Anjanath) x6|
Usurper's Rumble|Bow_018 (Usurper's Rumble)|2|160|1|MATERIAL_TYPE_136 (Zinogre) x20|MATERIAL_TYPE_241 (Invasive Material) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Veldian Arcum|Bow_031 (Veldian Arcum)|0|140|1|MATERIAL_TYPE_177 (Arkveld) x6||
Veldian Arcum|Bow_031 (Veldian Arcum)|1|160|2|MATERIAL_TYPE_177 (Arkveld) x10|MATERIAL_TYPE_241 (Invasive Material) x3|
Veldian Arcum|Bow_031 (Veldian Arcum)|2|170|3|MATERIAL_TYPE_177 (Arkveld) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Weaver of Flame|Bow_011 (Weaver of Flame)|0|70|1|MATERIAL_TYPE_191 (Rachnoid) x6|MATERIAL_TYPE_202 (High-Grade Bug) x8|
Weaver of Flame|Bow_011 (Weaver of Flame)|1|112|2|MATERIAL_TYPE_153 (Rakna) x12|MATERIAL_TYPE_142 (Seregios) x6|
Weaver of Flame|Bow_011 (Weaver of Flame)|2|134|2|MATERIAL_TYPE_153 (Rakna) x20|MATERIAL_TYPE_108 (B.Gravios) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
