# generated by .xlsx-source/extract.py from weaponparam (gunlance) on 2026-04-19
# schema: name|weapon_id|level|attack|slots|mat1|mat2|mat3
Fiore Nulo Green|GunLance_012 (Fiore Nulo Green)|0|42|1|MATERIAL_TYPE_186 (Thunderbug) x4|MATERIAL_TYPE_187 (Bnahabra) x8|
Fiore Nulo Green|GunLance_012 (Fiore Nulo Green)|1|68|2|MATERIAL_TYPE_187 (Bnahabra) x8|MATERIAL_TYPE_202 (High-Grade Bug) x10|
Fiore Nulo Green|GunLance_012 (Fiore Nulo Green)|2|136|3|MATERIAL_TYPE_187 (Bnahabra) x12|MATERIAL_TYPE_189 (Dracophage) x10|MATERIAL_TYPE_204 (Weapon Sphere) x5
Fiore Nulo Red|GunLance_013 (Fiore Nulo Red)|0|24|1|MATERIAL_TYPE_187 (Bnahabra) x4|MATERIAL_TYPE_201 (Low-Grade Bug) x8|
Fiore Nulo Red|GunLance_013 (Fiore Nulo Red)|1|64|2|MATERIAL_TYPE_187 (Bnahabra) x8|MATERIAL_TYPE_186 (Thunderbug) x8|
Fiore Nulo Red|GunLance_013 (Fiore Nulo Red)|2|110|3|MATERIAL_TYPE_187 (Bnahabra) x12|MATERIAL_TYPE_189 (Dracophage) x10|MATERIAL_TYPE_204 (Weapon Sphere) x5
Frostmoon Gunlance|GunLance_018 (Frostmoon Gunlance)|0|128|1|MATERIAL_TYPE_171 (Lunagaron) x6||
Frostmoon Gunlance|GunLance_018 (Frostmoon Gunlance)|1|150|2|MATERIAL_TYPE_171 (Lunagaron) x12|MATERIAL_TYPE_123 (B.Tigrex) x6|
Frostmoon Gunlance|GunLance_018 (Frostmoon Gunlance)|2|164|2|MATERIAL_TYPE_171 (Lunagaron) x20|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Gold Dragonwood Gunlance|GunLance_027 (Gold Dragonwood Gunlance)|0|110|0|MATERIAL_TYPE_121 (Yama) x3||
Gold Dragonwood Gunlance|GunLance_027 (Gold Dragonwood Gunlance)|1|138|0|MATERIAL_TYPE_121 (Yama) x5|MATERIAL_TYPE_167 (E.Odogaron) x6|
Gold Dragonwood Gunlance|GunLance_027 (Gold Dragonwood Gunlance)|2|170|0|MATERIAL_TYPE_121 (Yama) x10|MATERIAL_TYPE_241 (Invasive Material) x6|MATERIAL_TYPE_194 (Elder Dragon Blood) x3
Hard Hitter|GunLance_023 (Hard Hitter)|0|24|0|MATERIAL_TYPE_113 (Gypceros) x6||
Hard Hitter|GunLance_023 (Hard Hitter)|1|48|1|MATERIAL_TYPE_113 (Gypceros) x15|MATERIAL_TYPE_105 (Khezu) x6|
Hard Hitter|GunLance_023 (Hard Hitter)|2|102|1|MATERIAL_TYPE_113 (Gypceros) x25|MATERIAL_TYPE_148 (Orangaten) x12|MATERIAL_TYPE_204 (Weapon Sphere) x3
Hellsting|GunLance_024 (Hellsting)|0|42|0|MATERIAL_TYPE_182 (Blango) x10|MATERIAL_TYPE_196 (Brute Bone) x8|
Hellsting|GunLance_024 (Hellsting)|1|106|0|MATERIAL_TYPE_120 (Blangonga) x15|MATERIAL_TYPE_130 (J.Barroth) x6|
Hellsting|GunLance_024 (Hellsting)|2|150|1|MATERIAL_TYPE_120 (Blangonga) x25|MATERIAL_TYPE_170 (Malzeno) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Hydra Ephyra|GunLance_005 (Hydra Ephyra)|0|40|0|MATERIAL_TYPE_169 (Namielle) x3||
Hydra Ephyra|GunLance_005 (Hydra Ephyra)|1|152|0|MATERIAL_TYPE_169 (Namielle) x5|MATERIAL_TYPE_128 (Deviljho) x6|
Hydra Ephyra|GunLance_005 (Hydra Ephyra)|2|164|0|MATERIAL_TYPE_169 (Namielle) x10|MATERIAL_TYPE_241 (Invasive Material) x6|MATERIAL_TYPE_194 (Elder Dragon Blood) x3
Iron Gunlance|GunLance_006 (Iron Gunlance)|0|20|0|MATERIAL_TYPE_233 (Iron Gunlance) x1|MATERIAL_TYPE_197 (Low-Grade Ore) x8|
Iron Gunlance|GunLance_006 (Iron Gunlance)|1|34|1|MATERIAL_TYPE_197 (Low-Grade Ore) x8|MATERIAL_TYPE_199 (Crystal) x10|
Iron Gunlance|GunLance_006 (Iron Gunlance)|2|72|2|MATERIAL_TYPE_197 (Low-Grade Ore) x12|MATERIAL_TYPE_184 (Remobra) x10|MATERIAL_TYPE_204 (Weapon Sphere) x3
Kadachi Striker|GunLance_001 (Kadachi Striker)|0|30|0|MATERIAL_TYPE_163 (Tobi) x6||
Kadachi Striker|GunLance_001 (Kadachi Striker)|1|58|1|MATERIAL_TYPE_163 (Tobi) x15|MATERIAL_TYPE_145 (Mizutsune) x6|
Kadachi Striker|GunLance_001 (Kadachi Striker)|2|128|1|MATERIAL_TYPE_163 (Tobi) x25|MATERIAL_TYPE_124 (Nargacuga) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Kamak Gunlance|GunLance_020 (Kamak Gunlance)|0|62|3|MATERIAL_TYPE_235 (Kamak Gunlance) x1|MATERIAL_TYPE_200 (Crystalline) x8|
Kamak Gunlance|GunLance_020 (Kamak Gunlance)|1|118|3|MATERIAL_TYPE_171 (Lunagaron) x8|MATERIAL_TYPE_182 (Blango) x8|
Kamak Gunlance|GunLance_020 (Kamak Gunlance)|2|132|3|MATERIAL_TYPE_171 (Lunagaron) x12|MATERIAL_TYPE_126 (Barioth) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Lagia Burst|GunLance_029 (Lagia Burst)|0|52|1|MATERIAL_TYPE_131 (Lagiacrus) x6||
Lagia Burst|GunLance_029 (Lagia Burst)|1|108|1|MATERIAL_TYPE_131 (Lagiacrus) x12|MATERIAL_TYPE_148 (Orangaten) x6|
Lagia Burst|GunLance_029 (Lagia Burst)|2|150|2|MATERIAL_TYPE_131 (Lagiacrus) x20|MATERIAL_TYPE_137 (S.Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Ludroth Harpoon|GunLance_014 (Ludroth Harpoon)|0|32|1|MATERIAL_TYPE_185 (Ludroth) x10|MATERIAL_TYPE_195 (Monster Bone) x8|
Ludroth Harpoon|GunLance_014 (Ludroth Harpoon)|1|42|1|MATERIAL_TYPE_133 (R.Ludroth) x15|MATERIAL_TYPE_151 (Somnacanth) x6|
Ludroth Harpoon|GunLance_014 (Ludroth Harpoon)|2|132|2|MATERIAL_TYPE_133 (R.Ludroth) x25|MATERIAL_TYPE_156 (Goss) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Marine Fisher|GunLance_021 (Marine Fisher)|0|48|1|MATERIAL_TYPE_115 (Plesioth) x6||
Marine Fisher|GunLance_021 (Marine Fisher)|1|104|1|MATERIAL_TYPE_115 (Plesioth) x12|MATERIAL_TYPE_116 (G.Plesioth) x6|
Marine Fisher|GunLance_021 (Marine Fisher)|2|160|2|MATERIAL_TYPE_115 (Plesioth) x20|MATERIAL_TYPE_170 (Malzeno) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Princess Panoply|GunLance_000 (Princess Panoply)|0|32|0|MATERIAL_TYPE_101 (Rathian) x6||
Princess Panoply|GunLance_000 (Princess Panoply)|1|104|1|MATERIAL_TYPE_101 (Rathian) x12|MATERIAL_TYPE_153 (Rakna) x6|
Princess Panoply|GunLance_000 (Princess Panoply)|2|128|1|MATERIAL_TYPE_101 (Rathian) x20|MATERIAL_TYPE_142 (Seregios) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Pukei Gunlance|GunLance_016 (Pukei Gunlance)|0|42|0|MATERIAL_TYPE_161 (Pukei) x10||
Pukei Gunlance|GunLance_016 (Pukei Gunlance)|1|78|1|MATERIAL_TYPE_161 (Pukei) x15|MATERIAL_TYPE_145 (Mizutsune) x6|
Pukei Gunlance|GunLance_016 (Pukei Gunlance)|2|108|1|MATERIAL_TYPE_161 (Pukei) x25|MATERIAL_TYPE_173 (Espinas) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Ravenous Gunlance|GunLance_002 (Ravenous Gunlance)|0|142|0|MATERIAL_TYPE_128 (Deviljho) x6||
Ravenous Gunlance|GunLance_002 (Ravenous Gunlance)|1|154|0|MATERIAL_TYPE_128 (Deviljho) x10|MATERIAL_TYPE_241 (Invasive Material) x3|
Ravenous Gunlance|GunLance_002 (Ravenous Gunlance)|2|164|1|MATERIAL_TYPE_128 (Deviljho) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Red Generator|GunLance_028 (Red Generator)|0|68|1|MATERIAL_TYPE_106 (R.Khezu) x6||
Red Generator|GunLance_028 (Red Generator)|1|100|2|MATERIAL_TYPE_106 (R.Khezu) x12|MATERIAL_TYPE_172 (Garangolm) x6|
Red Generator|GunLance_028 (Red Generator)|2|148|2|MATERIAL_TYPE_106 (R.Khezu) x20|MATERIAL_TYPE_136 (Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Rosenkanone|GunLance_019 (Rosenkanone)|0|76|1|MATERIAL_TYPE_173 (Espinas) x6||
Rosenkanone|GunLance_019 (Rosenkanone)|1|102|1|MATERIAL_TYPE_173 (Espinas) x10|MATERIAL_TYPE_139 (Brachydios) x6|
Rosenkanone|GunLance_019 (Rosenkanone)|2|148|2|MATERIAL_TYPE_173 (Espinas) x18|MATERIAL_TYPE_137 (S.Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Shell Gunbird|GunLance_025 (Shell Gunbird)|0|36|1|MATERIAL_TYPE_140 (Nerscylla) x6||
Shell Gunbird|GunLance_025 (Shell Gunbird)|1|65|2|MATERIAL_TYPE_140 (Nerscylla) x15|MATERIAL_TYPE_119 (S.Ceanataur) x6|
Shell Gunbird|GunLance_025 (Shell Gunbird)|2|135|2|MATERIAL_TYPE_140 (Nerscylla) x25|MATERIAL_TYPE_125 (G.Nargacuga) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Sinister Gunlance|GunLance_009 (Sinister Gunlance)|0|142|1|MATERIAL_TYPE_146 (Magnamalo) x6||
Sinister Gunlance|GunLance_009 (Sinister Gunlance)|1|150|2|MATERIAL_TYPE_146 (Magnamalo) x10|MATERIAL_TYPE_108 (B.Gravios) x6|
Sinister Gunlance|GunLance_009 (Sinister Gunlance)|2|160|3|MATERIAL_TYPE_146 (Magnamalo) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Tiger Blast|GunLance_004 (Tiger Blast)|0|105|0|MATERIAL_TYPE_122 (Tigrex) x6||
Tiger Blast|GunLance_004 (Tiger Blast)|1|120|0|MATERIAL_TYPE_122 (Tigrex) x12|MATERIAL_TYPE_142 (Seregios) x6|
Tiger Blast|GunLance_004 (Tiger Blast)|2|154|1|MATERIAL_TYPE_122 (Tigrex) x20|MATERIAL_TYPE_128 (Deviljho) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Twinfang|GunLance_003 (Twinfang)|0|120|0|MATERIAL_TYPE_126 (Barioth) x6||
Twinfang|GunLance_003 (Twinfang)|1|132|1|MATERIAL_TYPE_126 (Barioth) x12|MATERIAL_TYPE_165 (Legiana) x6|
Twinfang|GunLance_003 (Twinfang)|2|150|1|MATERIAL_TYPE_126 (Barioth) x20|MATERIAL_TYPE_241 (Invasive Material) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Type 62 Stormlance|GunLance_026 (Type 62 Stormlance)|0|62|1|MATERIAL_TYPE_135 (Nibelsnarf) x6||
Type 62 Stormlance|GunLance_026 (Type 62 Stormlance)|1|105|1|MATERIAL_TYPE_135 (Nibelsnarf) x12|MATERIAL_TYPE_176 (Rey Dau) x6|
Type 62 Stormlance|GunLance_026 (Type 62 Stormlance)|2|134|2|MATERIAL_TYPE_135 (Nibelsnarf) x20|MATERIAL_TYPE_127 (S.Barioth) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Usurper's Roar|GunLance_017 (Usurper's Roar)|0|120|0|MATERIAL_TYPE_136 (Zinogre) x6||
Usurper's Roar|GunLance_017 (Usurper's Roar)|1|132|0|MATERIAL_TYPE_136 (Zinogre) x12|MATERIAL_TYPE_160 (F.Anjanath) x6|
Usurper's Roar|GunLance_017 (Usurper's Roar)|2|160|1|MATERIAL_TYPE_136 (Zinogre) x20|MATERIAL_TYPE_241 (Invasive Material) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
Veldian Hasta|GunLance_030 (Veldian Hasta)|0|140|1|MATERIAL_TYPE_177 (Arkveld) x6||
Veldian Hasta|GunLance_030 (Veldian Hasta)|1|160|2|MATERIAL_TYPE_177 (Arkveld) x10|MATERIAL_TYPE_241 (Invasive Material) x3|
Veldian Hasta|GunLance_030 (Veldian Hasta)|2|170|3|MATERIAL_TYPE_177 (Arkveld) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
White Gunlance|GunLance_022 (White Gunlance)|0|96|0|MATERIAL_TYPE_107 (Gravios) x6||
White Gunlance|GunLance_022 (White Gunlance)|1|124|0|MATERIAL_TYPE_107 (Gravios) x12|MATERIAL_TYPE_160 (F.Anjanath) x6|
White Gunlance|GunLance_022 (White Gunlance)|2|156|1|MATERIAL_TYPE_107 (Gravios) x20|MATERIAL_TYPE_104 (A.Rathalos) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
