# generated by .xlsx-source/extract.py from passiveskilldata on 2026-04-19
# schema: name|skill_family|level|description
Slugger (M)|Slugger|2|Normal attacks have a tiny chance to inflict Stun.
Slugger (L)|Slugger|3|Normal attacks have a slight chance to inflict Stun.
Slugger (XL)|Slugger|4|Normal attacks have a low chance to inflict Stun.
Bombardier (S)|Bombardier|1|Slightly increases damage dealt by Blastblight and explosives.
Bombardier (M)|Bombardier|2|Increases damage dealt by Blastblight and explosives.
Bombardier (L)|Bombardier|3|Greatly increases damage dealt by Blastblight and explosives.
Bombardier (XL)|Bombardier|4|Significantly increases damage dealt by Blastblight and explosives.
Self-Heal (S)|Self-Heal|1|Recovers a slight amount of HP at the end of each turn.
Self-Heal (M)|Self-Heal|2|Recovers a small amount of HP at the end of each turn.
Self-Heal (L)|Self-Heal|3|Recovers a decent amount of HP at the end of each turn.
Self-Heal (XL)|Self-Heal|4|Recovers a moderate amount of HP at the end of each turn.
Dancer (S)|Dancer|1|Enables nimble movements when HP is full, slightly increasing attack and defense.
Dancer (M)|Dancer|2|Enables nimble movements when HP is full, increasing attack and defense.
Dancer (L)|Dancer|3|Enables nimble movements when HP is full, greatly increasing attack and defense.
Dancer (XL)|Dancer|4|Enables nimble movements when HP is full, significantly increasing attack and defense.
Crit-Heal (S)|Crit-Heal|1|Recovers a slight amount of the user's HP on a critical hit.
Crit-Heal (M)|Crit-Heal|2|Recovers a small amount of the user's HP on a critical hit.
Crit-Heal (L)|Crit-Heal|3|Recovers a decent amount of the user's HP on a critical hit.
Crit-Heal (XL)|Crit-Heal|4|Recovers a moderate amount of the user's HP on a critical hit.
Critical Kinship (S)|Critical Kinship|1|Slightly fills the Kinship Gauge on a critical hit.
Critical Kinship (M)|Critical Kinship|2|Fills the Kinship Gauge on a critical hit.
Critical Kinship (L)|Critical Kinship|3|Greatly fills the Kinship Gauge on a critical hit.
Critical Kinship (XL)|Critical Kinship|4|Significantly fills the Kinship Gauge on a critical hit.
Fortify (S)|Fortify|1|Slightly increases attack and defense when only 1 Heart remains.
Fortify (M)|Fortify|2|Increases attack and defense when only 1 Heart remains.
Fortify (L)|Fortify|3|Greatly increases attack and defense when only 1 Heart remains.
Fortify (XL)|Fortify|4|Significantly increases attack and defense when only 1 Heart remains.
Tenacity (S)|Tenacity|1|Survives one attack that would reduce HP to 0 when at 50% HP or more.
Tenacity (M)|Tenacity|2|Survives one attack that would reduce HP to 0 when at 50% HP or more. A slight amount of HP will remain.
Tenacity (L)|Tenacity|3|Survives one attack that would reduce HP to 0 when at 50% HP or more. A decent amount of HP will remain.
Tenacity (XL)|Tenacity|4|Survives one attack that would reduce HP to 0 when at 50% HP or more. A large amount of HP will remain.
Quick (S)|Quick|1|Slightly increases Speed. Low chance to act first in turn order.
Quick (M)|Quick|2|Slightly increases Speed. Medium chance to act first in turn order.
Quick (L)|Quick|3|Increases Speed. Medium chance to act first in turn order.
Quick (XL)|Quick|4|Increases Speed. High chance to act first in turn order.
Anti 1-Hit KO (S)|Anti 1-Hit KO|1|Low chance to survive a hit that would have otherwise been fatal.
Anti 1-Hit KO (M)|Anti 1-Hit KO|2|Chance to survive a hit that would have otherwise been fatal.
Anti 1-Hit KO (L)|Anti 1-Hit KO|3|High chance to survive a hit that would have otherwise been fatal.
Anti 1-Hit KO (XL)|Anti 1-Hit KO|4|Survive a hit that would have otherwise been fatal.
Stamina Boost (S)|Stamina Boost|1|Slightly increases starting Stamina.
Stamina Boost (M)|Stamina Boost|2|Increases starting Stamina.
Stamina Boost (L)|Stamina Boost|3|Greatly increases starting Stamina.
Stamina Boost (XL)|Stamina Boost|4|Significantly increases starting Stamina.
Stamina Surge (S)|Stamina Surge|1|Slightly increases Stamina regeneration.
Stamina Surge (M)|Stamina Surge|2|Increases Stamina regeneration.
Stamina Surge (L)|Stamina Surge|3|Greatly increases Stamina regeneration.
Stamina Surge (XL)|Stamina Surge|4|Significantly increases Stamina regeneration.
Dragon Buster (S)|Dragon Buster|1|Slightly increases Wyvernfell power.
Dragon Buster (M)|Dragon Buster|2|Increases Wyvernfell power.
Dragon Buster (L)|Dragon Buster|3|Greatly increases Wyvernfell power.
Dragon Buster (XL)|Dragon Buster|4|Significantly increases Wyvernfell power.
Elemental Assault (S)|Elemental Assault|1|Slightly increases damage dealt to the Wyvernsoul Gauge when exploiting a monster's elemental weakness.
Elemental Assault (M)|Elemental Assault|2|Increases damage dealt to the Wyvernsoul Gauge when exploiting a monster's elemental weakness.
Elemental Assault (L)|Elemental Assault|3|Greatly increases damage dealt to the Wyvernsoul Gauge when exploiting a monster's elemental weakness.
Elemental Assault (XL)|Elemental Assault|4|Significantly increases damage dealt to the Wyvernsoul Gauge when exploiting a monster's elemental weakness.
Elemental Breaker (S)|Elemental Breaker|1|Slightly increases damage dealt to monster parts when exploiting a monster's elemental weakness.
Elemental Breaker (M)|Elemental Breaker|2|Increases damage dealt to monster parts when exploiting a monster's elemental weakness.
Elemental Breaker (L)|Elemental Breaker|3|Greatly increases damage dealt to monster parts when exploiting a monster's elemental weakness.
Elemental Breaker (XL)|Elemental Breaker|4|Significantly increases damage dealt to monster parts when exploiting a monster's elemental weakness.
Instigator (S)|Instigator|1|Makes enemies slightly more likely to focus their attacks on the user.
Instigator (M)|Instigator|2|Makes enemies more likely to focus their attacks on the user.
Instigator (L)|Instigator|3|Makes enemies fairly more likely to focus their attacks on the user.
Instigator (XL)|Instigator|4|Makes enemies significantly more likely to focus their attacks on the user.
Item Saver (S)|Item Saver|1|Slight chance not to consume items when using them.
Item Saver (M)|Item Saver|2|Low chance not to consume items when using them.
Item Saver (L)|Item Saver|3|Medium chance not to consume items when using them.
Item Saver (XL)|Item Saver|4|High chance not to consume items when using them.
Weak Point (S)|Weak Point|1|Slightly increases Crit Rate when hitting a monster part with an advantageous weapon.
Weak Point (M)|Weak Point|2|Increases Crit Rate when hitting a monster part with an advantageous weapon.
Weak Point (L)|Weak Point|3|Greatly increases Crit Rate when hitting a monster part with an advantageous weapon.
Weak Point (XL)|Weak Point|4|Significantly increases Crit Rate when hitting a monster part with an advantageous weapon.
Partbreaker (S)|Partbreaker|1|Slightly increases damage dealt to monster parts.
Partbreaker (M)|Partbreaker|2|Increases damage dealt to monster parts.
Partbreaker (L)|Partbreaker|3|Greatly increases damage dealt to monster parts.
Partbreaker (XL)|Partbreaker|4|Significantly increases damage dealt to monster parts.
Heroic Testament (S)|Heroic Testament|1|Power held by heroes who slayed a Calamitous Elder Dragon. Slightly increases maximum HP and damage dealt to enemies, and slightly reduces damage taken.
Heroic Testament (M)|Heroic Testament|2|Power held by heroes who slayed a Calamitous Elder Dragon. Increases maximum HP and damage dealt to enemies, and reduces damage taken.
Heroic Testament (L)|Heroic Testament|3|Power held by heroes who slayed a Calamitous Elder Dragon. Greatly increases maximum HP and damage dealt to enemies, and greatly reduces damage taken.
Heroic Testament (XL)|Heroic Testament|4|Power held by heroes who slayed a Calamitous Elder Dragon. Significantly increases maximum HP and damage dealt to enemies, and significantly reduces damage taken.
Counter Boost (S)|Counter Boost|1|Reduces damage taken during Special Sheathe, and slightly increases damage dealt by follow-up attacks.
Counter Boost (M)|Counter Boost|2|Reduces damage taken during Special Sheathe, and increases damage dealt by follow-up attacks.
Counter Boost (L)|Counter Boost|3|Reduces damage taken during Special Sheathe, and greatly increases damage dealt by follow-up attacks.
Counter Boost (XL)|Counter Boost|4|Reduces damage taken during Special Sheathe, and significantly increases damage dealt by follow-up attacks.
Iai Mastery (S)|Iai Mastery|1|Slight chance to negate Spirit Gauge reduction during Special Sheathe.
Iai Mastery (M)|Iai Mastery|2|Low chance to negate Spirit Gauge reduction during Special Sheathe.
Iai Mastery (L)|Iai Mastery|3|Medium chance to negate Spirit Gauge reduction during Special Sheathe.
Iai Mastery (XL)|Iai Mastery|4|High chance to negate Spirit Gauge reduction during Special Sheathe.
Long Sword Mastery (S)|Long Sword Mastery|1|Slight chance to increase Spirit Gauge by 1 extra level when filling it.
Long Sword Mastery (M)|Long Sword Mastery|2|Low chance to increase Spirit Gauge by 1 extra level when filling it.
Long Sword Mastery (L)|Long Sword Mastery|3|Medium chance to increase Spirit Gauge by 1 extra level when filling it.
Long Sword Mastery (XL)|Long Sword Mastery|4|High chance to increase Spirit Gauge by 1 extra level when filling it.
Great Sword Mastery (S)|Great Sword Mastery|1|Slight chance to increase Charge Gauge by 1 extra level when filling it.
Great Sword Mastery (M)|Great Sword Mastery|2|Low chance to increase Charge Gauge by 1 extra level when filling it.
Great Sword Mastery (L)|Great Sword Mastery|3|Medium chance to increase Charge Gauge by 1 extra level when filling it.
Great Sword Mastery (XL)|Great Sword Mastery|4|High chance to increase Charge Gauge by 1 extra level when filling it.
Charge Burst (S)|Charge Burst|1|Grants Attack Up (S) when using Charge.
Charge Burst (M)|Charge Burst|2|Grants Attack Up (S) and recovers 5 Stamina when using Charge.
Charge Burst (L)|Charge Burst|3|Grants Attack Up (M) and recovers 5 Stamina when using Charge.
Charge Burst (XL)|Charge Burst|4|Grants Attack Up (M) and recovers 10 Stamina when using Charge.
Audacious Rage (S)|Audacious Rage|1|Slightly increases damage dealt when using Rage Slash, but also increases damage taken.
Audacious Rage (M)|Audacious Rage|2|Increases damage dealt when using Rage Slash, but also increases damage taken.
Audacious Rage (L)|Audacious Rage|3|Greatly increases damage dealt when using Rage Slash, but also greatly increases damage taken.
Audacious Rage (XL)|Audacious Rage|4|Significantly increases damage dealt when using Rage Slash, but also significantly increases damage taken.
Guard Chance (S)|Guard Chance|1|Recovers a slight amount of HP after guarding.
Guard Chance (M)|Guard Chance|2|Recovers a small amount of HP after guarding.
Guard Chance (L)|Guard Chance|3|Recovers a decent amount of HP after guarding.
Guard Chance (XL)|Guard Chance|4|Recovers a moderate amount of HP after guarding.
Audacious Wyvern (S)|Audacious Wyvern|1|Slightly increases damage dealt when using Wyvern's Fire or Wyvern's Blaze, but also increases damage taken.
Audacious Wyvern (M)|Audacious Wyvern|2|Increases damage dealt when using Wyvern's Fire or Wyvern's Blaze, but also increases damage taken.
Audacious Wyvern (L)|Audacious Wyvern|3|Greatly increases damage dealt when using Wyvern's Fire or Wyvern's Blaze, but also greatly increases damage taken.
Audacious Wyvern (XL)|Audacious Wyvern|4|Significantly increases damage dealt when using Wyvern's Fire or Wyvern's Blaze, but also significantly increases damage taken.
Gunlance Mastery (S)|Gunlance Mastery|1|Slight chance to load 2 extra shells when loading.
Gunlance Mastery (M)|Gunlance Mastery|2|Low chance to load 2 extra shells when loading.
Gunlance Mastery (L)|Gunlance Mastery|3|Medium chance to load 2 extra shells when loading.
Gunlance Mastery (XL)|Gunlance Mastery|4|High chance to load 2 extra shells when loading.
Battle Ready (S)|Battle Ready|1|Applies a random coating at the start of battle. (Excludes coatings provided by skills gained from decorations.)
Battle Ready (M)|Battle Ready|2|Applies a random coating and increases Charge Gauge by 1 level at the start of battle. (Excludes coatings provided by skills gained from decorations.)
Battle Ready (L)|Battle Ready|3|Applies a random coating and increases Charge Gauge by 2 levels at the start of battle. (Excludes coatings provided by skills gained from decorations.)
Battle Ready (XL)|Battle Ready|4|Applies a random coating and increases Charge Gauge by 3 levels at the start of battle. (Excludes coatings provided by skills gained from decorations.)
Bow Mastery (S)|Bow Mastery|1|Slight chance to increase Charge Gauge by 1 extra level when filling it.
Bow Mastery (M)|Bow Mastery|2|Low chance to increase Charge Gauge by 1 extra level when filling it.
Bow Mastery (L)|Bow Mastery|3|Medium chance to increase Charge Gauge by 1 extra level when filling it.
Bow Mastery (XL)|Bow Mastery|4|High chance to increase Charge Gauge by 1 extra level when filling it.
Deft Hands (S)|Deft Hands|1|Chance to increase Charge Gauge by 1 level when changing coatings.
Deft Hands (M)|Deft Hands|2|High chance to increase Charge Gauge by 1 level when changing coatings.
Deft Hands (L)|Deft Hands|3|Increases Charge Gauge by 1 level when changing coatings. Additional low chance to increase it by 1 more level.
Deft Hands (XL)|Deft Hands|4|Increases Charge Gauge by 1 level when changing coatings. Additional medium chance to increase it by 1 more level.
Hammer Mastery (S)|Hammer Mastery|1|Slightly reduces Stamina cost when winning a Head-to-Head.
Hammer Mastery (M)|Hammer Mastery|2|Reduces Stamina cost when winning a Head-to-Head.
Hammer Mastery (L)|Hammer Mastery|3|Greatly reduces Stamina cost when winning a Head-to-Head.
Hammer Mastery (XL)|Hammer Mastery|4|Significantly reduces Stamina cost when winning a Head-to-Head.
Striking Secret (S)|Striking Secret|1|Normal attacks deal slightly more damage to the Wyvernsoul Gauge.
Striking Secret (M)|Striking Secret|2|Normal attacks deal more damage to the Wyvernsoul Gauge.
Striking Secret (L)|Striking Secret|3|Normal attacks deal much more damage to the Wyvernsoul Gauge.
Striking Secret (XL)|Striking Secret|4|Normal attacks deal significantly more damage to the Wyvernsoul Gauge.
Soulbreak (S)|Soulbreak|1|Slightly increases damage dealt to the Wyvernsoul Gauge after breaking a monster part.
Soulbreak (M)|Soulbreak|2|Increases damage dealt to the Wyvernsoul Gauge after breaking a monster part.
Soulbreak (L)|Soulbreak|3|Greatly increases damage dealt to the Wyvernsoul Gauge after breaking a monster part.
Soulbreak (XL)|Soulbreak|4|Significantly increases damage dealt to the Wyvernsoul Gauge after breaking a monster part.
Hunting Horn Mastery (S)|Hunting Horn Mastery|1|Slightly increases Speed after performing a melody.
Hunting Horn Mastery (M)|Hunting Horn Mastery|2|Increases Speed after performing a melody.
Hunting Horn Mastery (L)|Hunting Horn Mastery|3|Increases Speed after performing a melody, and slightly increases the melody's duration.
Hunting Horn Mastery (XL)|Hunting Horn Mastery|4|High chance to strike first after performing a melody. Slightly increases the melody's duration.
Mending Musician (S)|Mending Musician|1|Recovers a slight amount of the user's HP when performing a hunting horn melody.
Mending Musician (M)|Mending Musician|2|Recovers a small amount of the user's HP when performing a hunting horn melody.
Mending Musician (L)|Mending Musician|3|Recovers a decent amount of the user's HP when performing a hunting horn melody.
Mending Musician (XL)|Mending Musician|4|Recovers a moderate amount of the user's HP when performing a hunting horn melody.
Polychrome Performer (S)|Polychrome Performer|1|Slight chance to turn notes into Rainbow Notes when adding them to the musical staff.
Polychrome Performer (M)|Polychrome Performer|2|Low chance to turn notes into Rainbow Notes when adding them to the musical staff.
Polychrome Performer (L)|Polychrome Performer|3|Medium chance to turn notes into Rainbow Notes when adding them to the musical staff.
Polychrome Performer (XL)|Polychrome Performer|4|High chance to turn notes into Rainbow Notes when adding them to the musical staff.
Feral Monster Chaser|Feral Monster Chaser|1|Increases damage dealt to feral monsters.
Sixth Sense|Sixth Sense|1|Increases Crit Rate.
#N/A|NEVER_GIVE_UP|1|#N/A
Follower Testament (S)|Follower Testament|1|Power held by followers who slayed a Calamitous Elder Dragon. Slightly increases maximum HP and damage dealt to enemies, and slightly reduces damage taken.
Follower Testament (M)|Follower Testament|2|Power held by followers who slayed a Calamitous Elder Dragon. Increases maximum HP and damage dealt to enemies, and reduces damage taken.
Follower Testament (L)|Follower Testament|3|Power held by followers who slayed a Calamitous Elder Dragon. Greatly increases maximum HP and damage dealt to enemies, and greatly reduces damage taken.
