# generated by .xlsx-source/extract.py from MHS3 Stats → Buffs and Debuffs on 2026-04-19
# schema: name|target|type|element|stamina|effect|source
Royal Decree|All Enemies|None|Dragon|50.0|Atk Down|Ivory Lagiacrus
Royal Decree+|All Enemies|None|Dragon|45.0|Atk Down|Ivory Lagiacrus
Dragon Surge|Self|None|Dragon|30.0|Dragon Atk Up|Stygian Zinogre
Dark Lord|Self|None|Dragon|20.0|Blood Rite|Malzeno
Blade Rush|Self|None|Dragon|25.0|Dragon Atk Up, Wyvernfell Up|Arkveld
Egg Skill: Dragon Gate|All Allies|None|Dragon|25.0|Negate Ailments|Egg
Egg Skill: E. Dominance|All Enemies|None|Dragon|30.0|Atk Down, Def Down (Stackable)|Egg
Flash|All Enemies|None|Thunder|15.0|Darkness|Gypceros, Purple Gypceros
Thunder Aura|Self|None|Thunder|25.0|Atk Up, Attacks can Paralyze|Lagiacrus
High Voltage|Self|None|Thunder|20.0|Thunder Atk Up|Zinogre, Tobi-Kadachi
Ultra Voltage|Self|None|Thunder|30.0|Thunder Atk Up|Thunderlord Zinogre
Azure Voltage|Self|None|Thunder|25.0|Thunder Atk Up, Self Def Down, Greatly increases Damage Dealt|Boltreaver Astalos
Boltcall|Self|None|Thunder|30.0|Damage Dealt Increased|Rey Dau
Egg Skill: Charge Up|All Allies|None|Thunder|30.0|Regenerate, Stamina Regen Up|Egg
Egg Skill: Volt Arms|All Allies|None|Thunder|20.0|Ailment Rate Up|Egg
Egg Skill: Adamant Rage|Self|None|Thunder|25.0|Greatly increases Damage Dealt on Next Turn|Egg
Roar|All Enemies|None|Ice|20.0|Stuns, Sonic Bomb Effect|Khezu
Savage Roar|All Enemies|None|Ice|30.0|Stuns, Sonic Bomb Effect|Black Diablos
Beastly Roar|All Enemies|None|Ice|40.0|Stuns, Sonic Bomb Effect|Bloodbath Diablos
Refresh|Self|None|Ice|10.0|Cures Ailments|Blangonga
Ice Armor|Self|None|Ice|25.0|Wyvernfell Up, Def Up, Self Speed Down|Jade Barroth
Ice Armor+|Self|None|Ice|20.0|Wyvernfell Up, Def Up, Self Speed Down|Jade Barroth
Chilling Paean|Self|None|Ice|20.0|Ice Atk Up|Aurora Somnacanth
Frost Veil|Self|None|Ice|30.0|Ice Atk Up, Speed Up|Lunagaron
Egg Skill: Rimewind|All Allies|None|Ice|30.0|Speed Up|Egg
Egg Skill: Snow Mantle|Self|None|Ice|40.0|Crit Up, Dodge Up, Speed Up|Egg
Egg Skill: Icebreaker|Self|None|Ice|30.0|Wyvernfell Up|Egg
Critical Eye|Self|None|Neutral|50.0|Evades all Attacks for 1 Turn|Rathalos
Rock Shield|Self|None|Neutral|30.0|Guard|Black Gravios
Focus Power|Self|None|Neutral|15.0|Increases Damage Dealt|Diablos, Black Diablos
Blindside|Self|None|Neutral|20.0|Increases Damage Dealt, Guranteed Hit (Next Turn Only)|Gypceros
Blindside+|Self|None|Neutral|15.0|Increases Damage Dealt, Guranteed Hit (Next Turn Only)|Gypceros
Lock-On|Self|None|Neutral|20.0|Guranteed Hits (Several Turns)|Tigrex
Sharpen Blades|Self|None|Neutral|20.0|Crit Up|Nargacuga
Sneak|Self|None|Neutral|25.0|Dodge Up|Green Nargacuga
White Shadow|Self|None|Neutral|80.0|Evades all Attacks for 2 Turns|Silverwind Nargacuga
Honey Power|Self|None|Neutral|10.0|Regenerate|Arzuros
Merciless Roar|All Allies|None|Neutral|35.0|Atk Up|Seregios
Jumbofruit|Self|None|Neutral|10.0|Heals 25% HP|Bishaten
Piercing Roar|All Allies|None|Neutral|25.0|Crit Up|Great Izuchi
Stone Shield|Self|None|Neutral|20.0|Def Up|Kulu-Ya-Ku
Best Hoof Forward|All Allies|None|Neutral|30.0|Atk Up, Speed Up, Def Down, Evasion Down|Royal Ludroth, Great Izuchi (After Great Poogie)
Art of Raw Power|Self|None|Neutral|20.0|Neutral Attack Up|Canyne
Egg Skill: Circle Stance|All Allies|None|Neutral|20.0|Def Up (Stackable)|Egg
Egg Skill: Spirit Charge|All Allies|None|Neutral|50.0|Restores 20 Stamina|Egg
Egg Skill: Nature Heal|All Allies|None|Neutral|30.0|Recovers 50% HP|Egg
Egg Skill: Ardor Shard|All Allies|None|Neutral|100.0|Recovers 1 Heart|Egg
Egg Skill: Solar Cry|Self|None|Neutral|30.0|Fills Kinship Gauge|Egg
