# generated by .xlsx-source/extract.py from MHS3 Stats → Active Skills on 2026-04-19
# schema: name|target|type|element|stamina|power|wyvernfell|effects|source
Deadly Horn Jab+|All|Power|Neutral|35.0|120.0|40.0|Recoil|Black Diablos
Venom|Single|Power|Neutral|10.0|60.0|40.0|Poison|Gypceros
Tail Stun|Single|Power|Neutral|20.0|30*|50.0|Always 30 Damage, High Priority, Stun|Purple Gypceros
Noxious Venom|Single|Power|Neutral|20.0|70.0|30.0|Noxious Poison|Purple Gypceros
Noxious Venom+|Single|Power|Neutral|20.0|70.0|40.0|Noxious Poison|Purple Gypceros
Savage Fist|Single|Power|Neutral|20.0|70.0|30.0|Def Down|Brute Tigrex
Savage Fist+|Single|Power|Neutral|20.0|80.0|30.0|Def Down|Brute Tigrex
Rock Slugger|Single|Power|Neutral|30.0|90.0|40.0||Grimclaw Tigrex
Debuff Chaser P|Single|Power|Neutral|15.0|70.0|20.0|Increased Damage to Foes with Decreased Stats|Jade Barroth
Omni Chaser P|Single|Power|Neutral|15.0|70.0|20.0|Increased Damage to Foes with Ailments|Espinas
Wild Fang|Single|Power|Neutral|30.0|80.0|10.0|High Crit|Lagiacrus, Fulgur Anjanath
Wild Fang+|Single|Power|Neutral|30.0|90.0|10.0|High Crit|Lagiacrus, Fulgur Anjanath
Wild Breaker|Single|Power|Neutral|20.0|70.0|30.0|Def Down|Arzuros
Maximum Claw Slash|Single|Power|Neutral|20.0|90.0|20.0|Self Def Down|Arzuros
Maximum Claw Slash|Single|Power|Neutral|20.0|90.0|30.0|Self Def Down|Arzuros
Slime Stomp|Single|Power|Neutral|20.0|70.0|30.0|Blastblight|Brachydios
Slime Stomp+|Single|Power|Neutral|20.0|70.0|40.0|Blastblight|Brachydios
Incendiary Bomb|All|Power|Neutral|40.0|100.0|30.0|Blastblight|Brachydios
Cannonball Slam|Single|Power|Neutral|30.0|90.0|40.0||Tetranadon
Cannonball Slam|Single|Power|Neutral|25.0|90.0|40.0||Tetranadon
Devil's Hammer|Single|Power|Neutral|30.0|180*|60.0|Always 180 Damage, High Priority, Stun|Goss Harag
Chata Tackle|Single|Power|Neutral|25.0|70.0|20.0|HP Drain|Chatacabra
Chata Stamp|Single|Power|Neutral|20.0|70.0|30.0|Low Accuracy, High Crit|Chatacabra
Chata Stamp+|Single|Power|Neutral|15.0|70.0|30.0|Low Accuracy, High Crit|Chatacabra
Merciless Tackle|Single|Power|Neutral|5*|50.0|40.0|Uses ALL Stamina for Damage|Yian Kut-Ku, Gypceros, Kulu-Ya-Ku (After Great Poogie)
Poison Spike|Single|Speed|Neutral|15.0|70.0|30.0|Poison|Rathian
Poison Spike+|Single|Speed|Neutral|15.0|70.0|40.0|Poison|Rathian
Venom Sweep|All|Speed|Neutral|20.0|70.0|40.0|Poison|Pink Rathian
Toxic Sweep|All|Speed|Neutral|25.0|80.0|40.0|Noxious Poison|Dreadqueen Rathian
Venom Queen|Single|Speed|Neutral|35.0|100.0|10.0|Severe Poison|Dreadqueen Rathian
Venom Queen+|Single|Speed|Neutral|30.0|100.0|10.0|Severe Poison|Dreadqueen Rathian
Hellbreaker|Single|Speed|Neutral|30.0|90.0|20.0|Def Down|Bloodbath Diablos
Hell Horn|All|Speed|Neutral|45.0|150.0|20.0|Recoil|Bloodbath Diablos
Hell Horn+|All|Speed|Neutral|45.0|160.0|20.0|Recoil|Bloodbath Diablos
Maximum Tackle|Single|Speed|Neutral|25.0|100.0|10.0|Recoil|Blue Yian Kut-Ku
Maximum Tackle+|Single|Speed|Neutral|25.0|100.0|20.0|Recoil|Blue Yian Kut-Ku
Drowsy Fang|Single|Speed|Neutral|20.0|70.0|30.0|Sleep|Plesioth
Plesioth Dash|Single|Speed|Neutral|20.0|70.0|50.0||Plesioth
Plesioth Dash+|Single|Speed|Neutral|20.0|80.0|50.0||Plesioth
Hyperspace Tackle|All|Speed|Neutral|20.0|70.0|50.0||Green Plesioth
Hyperspace Tackle+|All|Speed|Neutral|20.0|80.0|50.0||Green Plesioth
Plesioth Rush|Single|Speed|Neutral|30.0|90.0|40.0||Plesioth
Killer Strike|Single|Speed|Neutral|20.0|60.0|20.0|High Crit|Velocidrome
Black Wind|All|Speed|Neutral|30.0|90.0|40.0||Deadeye Yian Garuga
Cunning Blow|Single|Speed|Neutral|50.0|120.0|10.0|Severe Poison|Deadeye Yian Garuga
Cunning Blow+|Single|Speed|Neutral|45.0|120.0|10.0|Severe Poison|Deadeye Yian Garuga
Scissor Hold|All|Speed|Neutral|30.0|90.0|40.0||Shogun Ceanataur
Rock Shooter|Single|Speed|Neutral|15.0|70.0|40.0||Tigrex
Killer Tail|Single|Speed|Neutral|25.0|60.0|20.0|High Crit|Nargacuga
Killer Tail+|Single|Speed|Neutral|25.0|70.0|20.0|High Crit|Nargacuga
Assassin Tail|Single|Speed|Neutral|40.0|80.0|10.0|Very High Crit, 1-Hit KO Chance|Green Nargacuga
Assassin Tail+|Single|Speed|Neutral|40.0|90.0|10.0|Very High Crit, 1-Hit KO Chance|Green Nargacuga
Guided Spike Bomb|Single|Speed|Neutral|25.0|90.0|10.0|Always Hits|Silverwind Nargacuga
Debuf Chaser S|Single|Speed|Neutral|15.0|70.0|20.0|Increased Damage to Foes with Decreased Stats|Barroth
Omni Chaser S|Single|Speed|Neutral|15.0|70.0|20.0|Increased Damage to Foes with Ailments|Sand Barioth
Spiral Chaser|Single|Speed|Neutral|35.0|100.0|10.0|Increased Damage to Burnt Foes|Soulseer Mizutsune
Spiral Tail Stab|Single|Speed|Neutral|25.0|90.0|20.0|Blastblight|Magnamalo
Hellfire Retribution|All|Speed|Neutral|40.0|100.0|30.0|Increased Damage to Foes with Blastlight, Detonates Blastblight|Magnamalo
Hellfire Retribution+|All|Speed|Neutral|35.0|100.0|30.0|Increased Damage to Foes with Blastlight, Detonates Blastblight|Magnamalo
Hellfire Shot|Single|Speed|Neutral|20.0|70.0|30.0|Blastblight|Magnamalo
Sickle Tail|Single|Speed|Neutral|10.0|60.0|30.0|High Crit|Great Izuchi
Tail Twister|Single|Speed|Neutral|20.0|70.0|30.0|Low Accuracy, High Crit|Great Izuchi
Tail Twister+|Single|Speed|Neutral|20.0|70.0|40.0|Low Accuracy, High Crit|Great Izuchi
Devour|Single|Speed|Neutral|25.0|70.0|20.0|Drains HP, Increased Damage to Bleeding Foes|Odogaron
Devour+|Single|Speed|Neutral|25.0|80.0|20.0|Drains HP, Increased Damage to Bleeding Foes|Odogaron
Cruel Claw|Single|Speed|Neutral|15.0|60.0|30.0|Bleed|Odogaron
Wicked Feast|Single|Speed|Neutral|30.0|70.0|20.0|Drains HP, Dragon Atk Up to Self|Ebony Odogaron
Art of Striking|Single|Speed|Neutral|15.0|50.0|30.0|Damage up on Repeated uses|Canyne
Art of Striking+|Single|Speed|Neutral|10.0|50.0|30.0|Damage up on Repeated uses|Canyne
Sleep Gas|All|Technical|Neutral|20.0|50.0|50.0|Sleep|Gravios
Beak Drill|Single|Technical|Neutral|15.0|70.0|30.0||Yian Kut-Ku
Unstoppable|All|Technical|Neutral|20.0|70.0|50.0||Yian Kut-Ku
Unstoppable+|All|Technical|Neutral|20.0|80.0|50.0||Yian Kut-Ku
Crushing Beak|Single|Technical|Neutral|20.0|70.0|50.0||Blue Yian Kut-Ku
Poison Tail|Single|Technical|Neutral|20.0|80.0|20.0|Poison|Yian Garuga
Poison Tail+|Single|Technical|Neutral|20.0|90.0|20.0|Poison|Yian Garuga
Debuff Chaser T|Single|Technical|Neutral|15.0|70.0|20.0|Increased Damage to Foes with Decreased Stats|Rakna-Kadaki
Omni Chaser T|Single|Technical|Neutral|15.0|70.0|20.0|Increased Damage to Foes with Ailments|Yian Garuga
Desert Spray|Single|Technical|Neutral|20.0|70.0|30.0|Darkness|Sand Barioth
Maximum Rollout|Single|Technical|Neutral|25.0|100.0|10.0|Recoil|Royal Ludroth
Sleep Needle|Single|Technical|Neutral|15.0|60.0|40.0|Sleep|Nerscylla
Sleep Needle+|Single|Technical|Neutral|15.0|60.0|50.0|Sleep|Nerscylla
Sleep Chaser|Single|Technical|Neutral|15.0|70.0|20.0|Increased Damage to Sleeping Foes, High Priority|Nerscylla
Vengeful Attack|Single|Technical|Neutral|20.0|70.0|30.0|Lower HP, Higher Damage|Nerscylla, Paolumu
Arachnophobia|Single|Technical|Neutral|15.0|70.0|20.0|Poison, Paralyze|Shrouded Nerscylla
Parapoison Chaser|Single|Technical|Neutral|15.0|50.0|40.0|Increased Damage to Poisoned or Paralyzed foes|Shrouded Nerscylla
Toxic Needle|Single|Technical|Neutral|30.0|90.0|10.0|Poison, 1-Hit KO Chance|Shrouded Nerscylla
Toxic Needle+|Single|Technical|Neutral|30.0|90.0|20.0|Poison, 1-Hit KO Chance|Shrouded Nerscylla
Thousand Blades|Single|Technical|Neutral|30.0|90.0|20.0|Bleed|Seregios
Shredding Scales|All|Technical|Neutral|40.0|100.0|30.0|Bleed, High Crit|Seregios
Shredding Scales+|All|Technical|Neutral|40.0|100.0|40.0|Bleed, High Crit|Seregios
Furious Spin|Single|Technical|Neutral|15.0|70.0|30.0||Bishaten
Prancing Back Kick|Single|Technical|Neutral|20.0|70.0|30.0|Always Hits|Aknosom
Prancing Back Kick+|Single|Technical|Neutral|20.0|70.0|40.0|Always Hits|Aknosom
Venom Shot|Single|Technical|Neutral|15.0|50.0|50.0|Poison|Pukei-Pukei
Venom Blast|All|Technical|Neutral|25.0|70.0|50.0|Poison|Pukei-Pukei
Venom Blast+|All|Technical|Neutral|25.0|80.0|50.0|Poison|Pukei-Pukei
Tail Spin|All|Technical|Neutral|20.0|70.0|50.0||Pukei-Pukei
Rock Stampede|Single|Technical|Neutral|20.0|70.0|30.0|Def Down|Kulu-Ya-Ku
Rock Stampede+|Single|Technical|Neutral|20.0|70.0|40.0|Def Down|Kulu-Ya-Ku
Killer Crush|Single|Technical|Neutral|20.0|60.0|20.0|High Crit|Paolumu
Hyper Shot|Single|Technical|Neutral|15.0|60.0|40.0|Stun|Paolumu
Kaiser Blade|Single|Technical|Neutral|30.0|90.0|30.0||Arkveld
Rapid Bite|Single|None|Neutral|10.0|60.0|30.0|High Priority|Velocidrome
Rapid Bite+|Single|None|Neutral|10.0|70.0|30.0|High Priority|Velocidrome
Gale Trap|All|None|Neutral|20.0|30.0|60.0|Damages every Turn|Sand Barioth
Gale Trap+|All|None|Neutral|20.0|30.0|70.0|Damages every Turn|Sand Barioth
Heavy Spear|Single|None|Neutral|20.0|100.0|20.0|Very Low Accuracy|Tigrex
Heavy Spear+|Single|None|Neutral|20.0|100.0|30.0|Very Low Accuracy|Tigrex
Heavy Strike|Single|None|Neutral|30.0|120.0|10.0|Very Low Accuracy|Brute Tigrex
Heavy Rampage|Single|None|Neutral|40.0|150.0|10.0|Very Low Accuracy|Grimclaw Tigrex
Heavy Rampage+|Single|None|Neutral|40.0|150.0|20.0|Very Low Accuracy|Grimclaw Tigrex
Reverberating Roar|All|None|Neutral|25.0|70.0|50.0|Stun, High Priority, Sonic Bomb Effect|Brute Tigrex
Ground Crusher|Single|None|Neutral|55.0|120.0|10.0|Ignores Def|Grimclaw Tigrex
Spike Bomb|All|None|Neutral|25.0|80.0|50.0||Nargacuga
Stun Spike Bomb|All|None|Neutral|25.0|70.0|50.0|Stun, High Priority|Green Nargacuga
Vacuum Blast|All|None|Neutral|55.0|120.0|30.0|Bleed|Silverwind Nargacuga
Vacuum Blast+|All|None|Neutral|50.0|120.0|30.0|Bleed|Silverwind Nargacuga
Fruit Frenzy|Random|None|Neutral|20.0|180.0|60.0|Poison, Paralyze, Darkness|Bishaten
Fruit Frenzy+|Random|None|Neutral|20.0|180.0|70.0|Poison, Paralyze, Darkness|Bishaten
Felyne Frazzle|Single|None|Neutral|30.0|-|40.0|Always 30 Damage, Stun, High Priority|Tetranadon
Entangling Threads|All|None|Neutral|20.0|60.0|60.0|Speed Down|Rakna-Kadaki
Rock Launcher|Single|None|Neutral|30.0|90.0|40.0||Kulu-Ya-Ku
Twisting Kick|Single|None|Neutral|30.0|100.0|10.0||Odogaron
Lasso Tongue|Single|None|Neutral|15.0|60.0|40.0|Removes Enemy Buffs|Chatacabra
Audacious Tackle|Single|None|Neutral|40.0|50*|40.0|Uses ALL but 1 HP for Damage|Velocidrome, Arzuros, Chatacabra (After Great Poogie)
