# generated by .xlsx-source/extract.py from itemdata on 2026-04-19
# schema: name|item_id|main_category|sub_category|description|max_count|is_high_grade|is_rare|item_rank|is_field_use
BBQ Grill (Ult)|IT_MEDICINE_045 (BBQ Grill (Ult))|IT_MC_BATTLE|IT_SC_STAMINA_CURE IT_SC_NONE IT_SC_NONE|Restores all allies' Stamina, and grants Attack Up and Stamina Regen Up.|999|False|False|IT_RANK_NONE|False
Poisonfruit|Poisonfruit|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_NONE IT_SC_NONE|Deals damage to one enemy. Chance to inflict Poison.|999|False|False|IT_RANK_NONE|False
Flashfruit|Flashfruit|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_NONE IT_SC_NONE|Deals damage to one enemy. Chance to inflict Darkness.|999|False|False|IT_RANK_NONE|False
Parafruit|Parafruit|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_NONE IT_SC_NONE|Deals damage to one enemy. Chance to inflict Paralysis.|999|False|False|IT_RANK_NONE|False
Jumbofruit|Jumbofruit|IT_MC_BATTLE|IT_SC_HP_CURE IT_SC_STAMINA_CURE IT_SC_NONE|Restores one ally's HP and Stamina.|999|False|False|IT_RANK_NONE|False
Special Burn Knives|Special Burn Knives|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_NONE IT_SC_NONE|Deals damage to all enemies. Chance to inflict Burn.|999|True|False|IT_RANK_NONE|False
Special Paralysis Knives|Special Paralysis Knives|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_NONE IT_SC_NONE|Deals damage to all enemies. Chance to inflict Paralysis.|999|True|False|IT_RANK_NONE|False
Special Poison Knives|Special Poison Knives|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_NONE IT_SC_NONE|Deals damage to all enemies. Chance to inflict Poison.|999|True|False|IT_RANK_NONE|False
Raw Meat|Raw Meat|IT_MC_MATERIAL|IT_SC_MATERIAL_NORMAL IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK|Meat carved from a monster. You can grill and eat it as is, but it can also be used in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Kelbi Horn|Kelbi Horn|IT_MC_MATERIAL|IT_SC_MATERIAL_NORMAL IT_SC_MATERIAL_MIX IT_SC_NONE|Material dropped by a Kelbi. It's great for combining, but rather difficult to get your hands on.|999|False|False|IT_RANK_NONE|False
Screamer Sac|Screamer Sac|IT_MC_MATERIAL|IT_SC_MATERIAL_NORMAL IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK|A monster's internal organ that lets out a deafening screech when torn open. Required to craft Sonic Bombs.|999|False|False|IT_RANK_NONE|False
Wyvern Barbs|Wyvern Barbs|IT_MC_MATERIAL|IT_SC_MATERIAL_NORMAL IT_SC_MATERIAL_MIX IT_SC_NONE|Teeth and claws of a majestic wyvern, their power palpable even in these paltry remnants. Required to craft Lifepowder.|999|False|False|IT_RANK_NONE|False
Antidote Herb|Antidote Herb|IT_MC_MATERIAL|IT_SC_MATERIAL_NORMAL IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK|Effective against Poison. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Aloe Leaf|Aloe Leaf|IT_MC_MATERIAL|IT_SC_MATERIAL_NORMAL IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK|Effective against Burn. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Anesfreesia|Anesfreesia|IT_MC_MATERIAL|IT_SC_MATERIAL_NORMAL IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK|Effective against Paralysis. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Manyberry|Manyberry|IT_MC_MATERIAL|IT_SC_MATERIAL_NORMAL IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK|Effective against Darkness. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Hot Pepper|Hot Pepper|IT_MC_MATERIAL|IT_SC_MATERIAL_NORMAL IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK|Effective against Sleep. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Soapgrass|Soapgrass|IT_MC_MATERIAL|IT_SC_MATERIAL_NORMAL IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK|Effective against Blastblight. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Powerfruit|Powerfruit|IT_MC_MATERIAL|IT_SC_MATERIAL_NORMAL IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK|Effective against Exhaust. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Girthy Garlic|Girthy Garlic|IT_MC_MATERIAL|IT_SC_MATERIAL_NORMAL IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK|Effective against Skillseal. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Gloamgrass Bud|Gloamgrass Bud|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_NONE IT_SC_NONE|Gloamgrass Bud is sensitive to sunlight and only blooms in darkness. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Cactus Flower|Cactus Flower|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_NONE IT_SC_NONE|A vibrant flower taken from a cactus. Often collected and dried to be used as a combining material.|999|False|False|IT_RANK_NONE|False
Sap Plant|Sap Plant|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK IT_SC_NONE|A plant covered with a very strong adhesive. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Fire Herb|Fire Herb|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK IT_SC_NONE|A wondrous, flammable plant. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Ivy|Ivy|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK IT_SC_NONE|An extremely strong, lightweight plant. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Blue Mushroom|Blue Mushroom|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK IT_SC_NONE|A mushroom with regenerative properties. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Mandragora|Mandragora|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_NONE IT_SC_NONE|A dangerous mushroom believed to take the life of those who dare pick it. It is used to create all kinds of items.|999|False|False|IT_RANK_NONE|False
Nitroshroom|Nitroshroom|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK IT_SC_NONE|A mushroom emitting scorching heat. One should never breathe in its spores! Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Toadstool|Toadstool|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK IT_SC_NONE|A highly poisonous mushroom. While it cannot be eaten, it is used to create all kinds of items.|999|False|False|IT_RANK_NONE|False
Nulberry|Nulberry|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK IT_SC_NONE|A curious berry said to affect all elemental types. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Paintberry|Paintberry|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK IT_SC_NONE|A berry containing sap that oozes a formidable odor. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Godbug|Godbug|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK IT_SC_NONE|A bug said to live for up to one thousand years. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Bitterbug|Bitterbug|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK IT_SC_NONE|The bitter extract taken from these bugs accelerates the body's natural healing. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Flashbug|Flashbug|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_NONE IT_SC_NONE|A bug that releases a formidable flash upon death. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Thunderbug|Thunderbug|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_NONE IT_SC_NONE|An insect that discharges electricity when struck. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Scatterfish|Scatterfish|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK IT_SC_NONE|A shrapnel-spewing fish. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Sleepyfish|Sleepyfish|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK IT_SC_NONE|A fish that contains sleeping agents in its body. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Honey|Honey|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK IT_SC_NONE|Nutritious honey from a busy hive. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Spider Web|Spider Web|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_NONE IT_SC_NONE|A very sticky spider web that is used to create all kinds of items.|999|False|False|IT_RANK_NONE|False
Trap Tool|Trap Tool|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_NONE IT_SC_NONE|A must-have item for constructing traps of all sorts. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Big Barrel|Big Barrel|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_NONE IT_SC_NONE|A large, empty barrel. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Stone|Stone|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_NONE IT_SC_NONE|A small, palm-sized stone. Can be used to crush herbs, among other things.|999|False|False|IT_RANK_NONE|False
Dash Extract|Dash Extract|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_NONE IT_SC_NONE|A mysterious substance culled from certain monsters that increases endurance.|999|False|False|IT_RANK_NONE|False
Nourishing Extract|Nourishing Extract|IT_MC_MATERIAL|IT_SC_MATERIAL_MIX IT_SC_NONE IT_SC_NONE|Can be obtained from certain large monsters. Has the ability to amplify the effects of certain medicines.|999|False|False|IT_RANK_NONE|False
Rathian Shell|Rathian Shell|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|A hard shell formed from several Rathian scales layered together, making it much harder than a single scale alone.|999|False|False|IT_RANK_NONE|False
Rathian Spike|Rathian Spike|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|A razor-sharp barb that grows on a Rathian's back and wings. Contains deadly toxins, so take care when handling.|999|False|False|IT_RANK_NONE|False
Rathian Plate|Rathian Plate|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|A very rare scale said to be found on a Rathian's tail. It burns white-hot, a fierce reminder of who it belonged to.|999|False|False|IT_RANK_NONE|False
Pink Rathian Shell|Pink Rathian Shell|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|The shell of a Pink Rathian. As it grows, its scales become layered, eventually turning into a hardened shell.|999|False|False|IT_RANK_NONE|False
Pink Rathian Thorn|Pink Rathian Thorn|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|A razor-sharp barb that grows on a Pink Rathian. Pretty, but dripping in venom. Every rose has its thorn.|999|False|False|IT_RANK_NONE|False
Pink Rathian Plate|Pink Rathian Plate|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|A very rare pink scale said to be found on a Rathian's tail. Its beautiful coloring has a dangerous allure.|999|False|False|IT_RANK_NONE|False
Rathalos Scale|Rathalos Scale|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|A scale from a Rathalos, the King of the Skies. Indispensable in crafting multiple items.|999|False|False|IT_RANK_NONE|False
Rathalos Webbing|Rathalos Webbing|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|Webbing taken from a Rathalos wing. Excellent at enduring high temperatures, it has many applications.|999|False|False|IT_RANK_NONE|False
Rathalos Plate|Rathalos Plate|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|A very rare scale said to be found on a Rathalos' tail. It burns white-hot, a fierce reminder of who it belonged to.|999|False|False|IT_RANK_NONE|False
Azure Rathalos Scale|Azure Rathalos Scale|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|A scale from an Azure Rathalos. Indispensable in crafting a variety of items.|999|False|False|IT_RANK_NONE|False
Azure Rathalos Webbing|Azure Rathalos Web|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|Webbing from an Azure Rathalos wing. It glows a brilliant blue like the sky.|999|False|False|IT_RANK_NONE|False
Azure Rathalos Plate|Azure Rathalos Plate|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|A very rare blue scale found on a Rathalos' tail. Its color, reminiscent of the sea, stirs up the beholder.|999|False|False|IT_RANK_NONE|False
Flabby Hide|Flabby Hide|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|The skin of a Khezu. Challenging for even skilled artisans to work with.|999|False|False|IT_RANK_NONE|False
Flabby Webbing|Khezu Webbing|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|Webbing from a Khezu wing.|999|False|False|IT_RANK_NONE|False
Pale Bone|Pale Bone|IT_MC_MATERIAL|IT_SC_MATERIAL_WEAPON IT_SC_NONE IT_SC_NONE|The rib of a Khezu.|999|False|False|IT_RANK_NONE|False
